,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,0.0,Mamaleh's Delicatessen
1,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,1.0,Area Four
2,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.28,"Breakfast & Brunch, Restaurants, Sandwiches, Beer, Wine & Spirits, Pizza, Italian, Food",2.0,2.0,City Girl Café
3,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.61,"Breakfast & Brunch, Restaurants, Italian, Greek, Mediterranean",2.0,3.0,Singa Bella Cafe
4,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,4.0,Veggie Planet
5,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.06,"Breakfast & Brunch, Food, Grocery, Bakeries, Middle Eastern, Restaurants",2.0,5.0,SOFRA Bakery & Cafe
6,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,6.0,Brookline Lunch
7,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.96,"Greek, Mediterranean, Restaurants",2.0,7.0,Greek Corner Restaurant
8,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.28,"Juice Bars & Smoothies, Restaurants, Gluten-Free, Food, Vegan, Vegetarian, Live/Raw Food",2.0,8.0,Life Alive
9,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.35,"Coffee & Tea, Bars, American (New), Sandwiches, Nightlife, Cafes, Breakfast & Brunch, Food, Restaurants, Wine Bars",2.0,9.0,Urban Hearth
10,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.19,"Restaurants, Lebanese, Mediterranean, Event Planning & Services, Kebab, Caterers, Vegetarian, Middle Eastern",2.0,10.0,Cafe Barada
11,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.36,"Breakfast & Brunch, Event Planning & Services, Diners, Sandwiches, Restaurants, American (Traditional), Caterers, Delis",2.0,11.0,S & S Restaurant
12,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.76,"Food, Bakeries, Tea Rooms, Cafes, Bars, Ethnic Food, Restaurants, Specialty Food, Hookah Bars, Nightlife, Middle Eastern, Breakfast & Brunch, Coffee & Tea",2.0,12.0,Andala Coffee House
13,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.36,"Mediterranean, Greek, Diners, Restaurants, American (Traditional), Breakfast & Brunch, Salad",2.0,13.0,Zoe's
14,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.62,"Mediterranean, Restaurants, Greek",3.0,14.0,The Blue Room
15,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,15.0,Orinoco
16,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,16.0,Henrietta's Table
17,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.84,"Cafes, Breakfast & Brunch, Brasseries, Food, American (New), Nightlife, Restaurants, Coffee & Tea, Bars, American (Traditional)",2.0,17.0,Loyal Nine
18,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.18,"Food, Breakfast & Brunch, Sandwiches, American (New), Coffee & Tea, Restaurants",2.0,18.0,Café Luna
19,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.01,"Pizza, Restaurants",2.0,19.0,Emma's
20,Christian church,restaurants that I would like on my way to the Christian church,all,3.83,"Breakfast & Brunch, Seafood, American (Traditional), Restaurants",2.0,0.0,Full Moon
21,Christian church,restaurants that I would like on my way to the Christian church,all,2.69,"Mongolian, Restaurants, American (New)",2.0,1.0,Fire and Ice
