,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
1,court,Where can I get food on my way to the [MASK]?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,1.0,Cook Out
2,court,Where can I get food on my way to the [MASK]?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,2.0,McDonald's
3,court,Where can I get food on my way to the [MASK]?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,3.0,McDonald's
4,court,Where can I get food on my way to the [MASK]?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,4.0,Cafe Momo
5,court,Where can I get food on my way to the [MASK]?,all,3.48,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",2.0,5.0,Nature's Table Bistro
6,court,Where can I get food on my way to the [MASK]?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,6.0,The Varsity
7,court,Where can I get food on my way to the [MASK]?,all,2.38,"Food, American (Traditional), Restaurants",2.0,7.0,Boardwalk Fresh Burgers and Fries
8,court,Where can I get food on my way to the [MASK]?,all,3.87,"Breakfast & Brunch, American (New), Vegan, American (Traditional), Vegetarian, Restaurants",2.0,8.0,R. Thomas Deluxe Grill
9,court,Where can I get food on my way to the [MASK]?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,9.0,Tin Drum Asian Kitchen - Atlantic Station
10,court,Where can I get food on my way to the [MASK]?,all,3.79,"Restaurants, Fast Food, Chicken Wings, American (Traditional), Salad",2.0,10.0,Wings 101
11,court,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Sandwiches, Food, Soup, Vegetarian, Salad",2.0,11.0,Fresh To Order
12,court,Where can I get food on my way to the [MASK]?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,12.0,Tin Drum Asian Kitchen - Georgia Tech
13,court,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Mexican, Latin American",2,13.0,Mama's Cocina Latina
14,court,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,14.0,Kwan's Deli and Korean Kitchen
15,court,Where can I get food on my way to the [MASK]?,all,2.75,"Seafood, Restaurants, American (New)",1.0,15.0,Boneheads
16,court,Where can I get food on my way to the [MASK]?,all,2.89,"American (New), African, Seafood, Restaurants",1.0,16.0,Fishook Grille
17,court,Where can I get food on my way to the [MASK]?,all,2.64,"Restaurants, Fast Food, Mexican",1.0,17.0,Chipotle Mexican Grill
18,court,Where can I get food on my way to the [MASK]?,all,4.0,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",2.0,18.0,Highland Bakery
19,court,Where can I get food on my way to the [MASK]?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,19.0,Eats
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,1.0,Cook Out
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,2.0,McDonald's
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,3.0,McDonald's
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,4.0,Cafe Momo
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.48,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",2.0,5.0,Nature's Table Bistro
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,6.0,The Varsity
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.38,"Food, American (Traditional), Restaurants",2.0,7.0,Boardwalk Fresh Burgers and Fries
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.87,"Breakfast & Brunch, American (New), Vegan, American (Traditional), Vegetarian, Restaurants",2.0,8.0,R. Thomas Deluxe Grill
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,9.0,Tin Drum Asian Kitchen - Atlantic Station
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.79,"Restaurants, Fast Food, Chicken Wings, American (Traditional), Salad",2.0,10.0,Wings 101
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Sandwiches, Food, Soup, Vegetarian, Salad",2.0,11.0,Fresh To Order
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,12.0,Tin Drum Asian Kitchen - Georgia Tech
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Mexican, Latin American",2,13.0,Mama's Cocina Latina
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,14.0,Kwan's Deli and Korean Kitchen
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.75,"Seafood, Restaurants, American (New)",1.0,15.0,Boneheads
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.89,"American (New), African, Seafood, Restaurants",1.0,16.0,Fishook Grille
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.64,"Restaurants, Fast Food, Mexican",1.0,17.0,Chipotle Mexican Grill
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.0,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",2.0,18.0,Highland Bakery
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,19.0,Eats
40,museum,Where can I get food on my way to the [MASK]?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
41,museum,Where can I get food on my way to the [MASK]?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,1.0,Cook Out
42,museum,Where can I get food on my way to the [MASK]?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,2.0,McDonald's
43,museum,Where can I get food on my way to the [MASK]?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,3.0,McDonald's
44,museum,Where can I get food on my way to the [MASK]?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,4.0,Cafe Momo
45,museum,Where can I get food on my way to the [MASK]?,all,3.48,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",2.0,5.0,Nature's Table Bistro
46,museum,Where can I get food on my way to the [MASK]?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,6.0,The Varsity
47,museum,Where can I get food on my way to the [MASK]?,all,2.38,"Food, American (Traditional), Restaurants",2.0,7.0,Boardwalk Fresh Burgers and Fries
48,museum,Where can I get food on my way to the [MASK]?,all,3.87,"Breakfast & Brunch, American (New), Vegan, American (Traditional), Vegetarian, Restaurants",2.0,8.0,R. Thomas Deluxe Grill
49,museum,Where can I get food on my way to the [MASK]?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,9.0,Tin Drum Asian Kitchen - Atlantic Station
50,museum,Where can I get food on my way to the [MASK]?,all,3.79,"Restaurants, Fast Food, Chicken Wings, American (Traditional), Salad",2.0,10.0,Wings 101
51,museum,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Sandwiches, Food, Soup, Vegetarian, Salad",2.0,11.0,Fresh To Order
52,museum,Where can I get food on my way to the [MASK]?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,12.0,Tin Drum Asian Kitchen - Georgia Tech
53,museum,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Mexican, Latin American",2,13.0,Mama's Cocina Latina
54,museum,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,14.0,Kwan's Deli and Korean Kitchen
