,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the [MASK]?,all,3.97,"Restaurants, Mexican",1.0,0.0,Maria's Taqueria
1,school,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,1.0,Anna's Taqueria
2,school,Where can I get food on my way to the [MASK]?,all,3.28,"Italian, Restaurants, Pizza, Sandwiches, Food Delivery Services, Barbeque, Food",1.0,2.0,Ak's South Boston
3,school,Where can I get food on my way to the [MASK]?,all,3.34,"Salad, Breakfast & Brunch, Juice Bars & Smoothies, American (Traditional), Sandwiches, Burgers, Restaurants, Food, American (New)",2.0,3.0,B.GOOD
4,school,Where can I get food on my way to the [MASK]?,all,3.61,"Restaurants, Thai",2.0,4.0,Siam Bistro
5,school,Where can I get food on my way to the [MASK]?,all,3.55,"Soup, Salad, Restaurants, Fast Food, Sandwiches, Delis",2.0,5.0,Potbelly Sandwich Shop
6,school,Where can I get food on my way to the [MASK]?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,6.0,B.GOOD
7,school,Where can I get food on my way to the [MASK]?,all,3.44,"Cafes, Caterers, Delis, Event Planning & Services, Restaurants",1.0,7.0,Max's Deli Cafe
8,school,Where can I get food on my way to the [MASK]?,all,3.03,"Breakfast & Brunch, Sandwiches, Burgers, Restaurants, Pizza",1.0,8.0,College Pizza
9,school,Where can I get food on my way to the [MASK]?,all,3.94,"Mediterranean, Moroccan, Caterers, Restaurants, Halal, Event Planning & Services, Middle Eastern, Food Stands",1.0,9.0,Pita
10,school,Where can I get food on my way to the [MASK]?,all,4.12,"Sandwiches, Salad, Internet Cafes, Italian, Restaurants, Food, American (Traditional), Pizza",1.0,10.0,Rustico
11,school,Where can I get food on my way to the [MASK]?,all,3.6,"Event Planning & Services, Soup, Mexican, Caterers, Salad, Restaurants",1.0,11.0,Viva Burrito
12,school,Where can I get food on my way to the [MASK]?,all,3.54,"Restaurants, Thai",1.0,12.0,Thai's Bistro
13,school,Where can I get food on my way to the [MASK]?,all,4.18,"Restaurants, Food, Specialty Food, Seafood",2.0,13.0,Luke's Lobster Back Bay
14,school,Where can I get food on my way to the [MASK]?,all,4.33,"Breakfast & Brunch, Event Planning & Services, Seafood, American (New), Italian, Sandwiches, Restaurants, Delis, American (Traditional), Caterers",2.0,14.0,Pauli's
15,school,Where can I get food on my way to the [MASK]?,all,3.42,"Salad, Mediterranean, Gluten-Free, Restaurants, Pizza, American (New)",1.0,15.0,Uno Due Go
16,school,Where can I get food on my way to the [MASK]?,all,3.04,"Restaurants, American (Traditional), Food, Sandwiches, American (New), Salad, Juice Bars & Smoothies, Breakfast & Brunch, Burgers",2.0,16.0,B.GOOD
17,school,Where can I get food on my way to the [MASK]?,all,2.8,"Food, Restaurants, Pizza",1.0,17.0,Cafe 472
18,school,Where can I get food on my way to the [MASK]?,all,3.09,"Event Planning & Services, Restaurants, Caterers, Food, Salad, Sandwiches",2.0,18.0,Bailey & Sage
19,school,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,19.0,Amelia's Taqueria
20,university,Where can I get food on my way to the [MASK]?,all,3.97,"Restaurants, Mexican",1.0,0.0,Maria's Taqueria
21,university,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,1.0,Anna's Taqueria
22,university,Where can I get food on my way to the [MASK]?,all,3.28,"Italian, Restaurants, Pizza, Sandwiches, Food Delivery Services, Barbeque, Food",1.0,2.0,Ak's South Boston
23,university,Where can I get food on my way to the [MASK]?,all,3.34,"Salad, Breakfast & Brunch, Juice Bars & Smoothies, American (Traditional), Sandwiches, Burgers, Restaurants, Food, American (New)",2.0,3.0,B.GOOD
24,university,Where can I get food on my way to the [MASK]?,all,3.61,"Restaurants, Thai",2.0,4.0,Siam Bistro
25,university,Where can I get food on my way to the [MASK]?,all,3.55,"Soup, Salad, Restaurants, Fast Food, Sandwiches, Delis",2.0,5.0,Potbelly Sandwich Shop
26,university,Where can I get food on my way to the [MASK]?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,6.0,B.GOOD
27,university,Where can I get food on my way to the [MASK]?,all,3.44,"Cafes, Caterers, Delis, Event Planning & Services, Restaurants",1.0,7.0,Max's Deli Cafe
28,university,Where can I get food on my way to the [MASK]?,all,3.03,"Breakfast & Brunch, Sandwiches, Burgers, Restaurants, Pizza",1.0,8.0,College Pizza
29,university,Where can I get food on my way to the [MASK]?,all,3.94,"Mediterranean, Moroccan, Caterers, Restaurants, Halal, Event Planning & Services, Middle Eastern, Food Stands",1.0,9.0,Pita
30,university,Where can I get food on my way to the [MASK]?,all,4.12,"Sandwiches, Salad, Internet Cafes, Italian, Restaurants, Food, American (Traditional), Pizza",1.0,10.0,Rustico
31,university,Where can I get food on my way to the [MASK]?,all,3.6,"Event Planning & Services, Soup, Mexican, Caterers, Salad, Restaurants",1.0,11.0,Viva Burrito
32,university,Where can I get food on my way to the [MASK]?,all,3.54,"Restaurants, Thai",1.0,12.0,Thai's Bistro
33,university,Where can I get food on my way to the [MASK]?,all,4.18,"Restaurants, Food, Specialty Food, Seafood",2.0,13.0,Luke's Lobster Back Bay
34,university,Where can I get food on my way to the [MASK]?,all,4.33,"Breakfast & Brunch, Event Planning & Services, Seafood, American (New), Italian, Sandwiches, Restaurants, Delis, American (Traditional), Caterers",2.0,14.0,Pauli's
35,university,Where can I get food on my way to the [MASK]?,all,3.42,"Salad, Mediterranean, Gluten-Free, Restaurants, Pizza, American (New)",1.0,15.0,Uno Due Go
36,university,Where can I get food on my way to the [MASK]?,all,3.04,"Restaurants, American (Traditional), Food, Sandwiches, American (New), Salad, Juice Bars & Smoothies, Breakfast & Brunch, Burgers",2.0,16.0,B.GOOD
37,university,Where can I get food on my way to the [MASK]?,all,2.8,"Food, Restaurants, Pizza",1.0,17.0,Cafe 472
38,university,Where can I get food on my way to the [MASK]?,all,3.09,"Event Planning & Services, Restaurants, Caterers, Food, Salad, Sandwiches",2.0,18.0,Bailey & Sage
39,university,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,19.0,Amelia's Taqueria
40,law office,Where can I get food on my way to the [MASK]?,all,3.97,"Restaurants, Mexican",1.0,0.0,Maria's Taqueria
41,law office,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,1.0,Anna's Taqueria
42,law office,Where can I get food on my way to the [MASK]?,all,3.28,"Italian, Restaurants, Pizza, Sandwiches, Food Delivery Services, Barbeque, Food",1.0,2.0,Ak's South Boston
43,law office,Where can I get food on my way to the [MASK]?,all,3.34,"Salad, Breakfast & Brunch, Juice Bars & Smoothies, American (Traditional), Sandwiches, Burgers, Restaurants, Food, American (New)",2.0,3.0,B.GOOD
44,law office,Where can I get food on my way to the [MASK]?,all,3.61,"Restaurants, Thai",2.0,4.0,Siam Bistro
45,law office,Where can I get food on my way to the [MASK]?,all,3.55,"Soup, Salad, Restaurants, Fast Food, Sandwiches, Delis",2.0,5.0,Potbelly Sandwich Shop
46,law office,Where can I get food on my way to the [MASK]?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,6.0,B.GOOD
47,law office,Where can I get food on my way to the [MASK]?,all,3.44,"Cafes, Caterers, Delis, Event Planning & Services, Restaurants",1.0,7.0,Max's Deli Cafe
48,law office,Where can I get food on my way to the [MASK]?,all,3.03,"Breakfast & Brunch, Sandwiches, Burgers, Restaurants, Pizza",1.0,8.0,College Pizza
49,law office,Where can I get food on my way to the [MASK]?,all,3.94,"Mediterranean, Moroccan, Caterers, Restaurants, Halal, Event Planning & Services, Middle Eastern, Food Stands",1.0,9.0,Pita
50,law office,Where can I get food on my way to the [MASK]?,all,4.12,"Sandwiches, Salad, Internet Cafes, Italian, Restaurants, Food, American (Traditional), Pizza",1.0,10.0,Rustico
51,law office,Where can I get food on my way to the [MASK]?,all,3.6,"Event Planning & Services, Soup, Mexican, Caterers, Salad, Restaurants",1.0,11.0,Viva Burrito
52,law office,Where can I get food on my way to the [MASK]?,all,3.54,"Restaurants, Thai",1.0,12.0,Thai's Bistro
53,law office,Where can I get food on my way to the [MASK]?,all,4.18,"Restaurants, Food, Specialty Food, Seafood",2.0,13.0,Luke's Lobster Back Bay
54,law office,Where can I get food on my way to the [MASK]?,all,4.33,"Breakfast & Brunch, Event Planning & Services, Seafood, American (New), Italian, Sandwiches, Restaurants, Delis, American (Traditional), Caterers",2.0,14.0,Pauli's
55,law office,Where can I get food on my way to the [MASK]?,all,3.42,"Salad, Mediterranean, Gluten-Free, Restaurants, Pizza, American (New)",1.0,15.0,Uno Due Go
56,law office,Where can I get food on my way to the [MASK]?,all,3.04,"Restaurants, American (Traditional), Food, Sandwiches, American (New), Salad, Juice Bars & Smoothies, Breakfast & Brunch, Burgers",2.0,16.0,B.GOOD
57,law office,Where can I get food on my way to the [MASK]?,all,2.8,"Food, Restaurants, Pizza",1.0,17.0,Cafe 472
58,law office,Where can I get food on my way to the [MASK]?,all,3.09,"Event Planning & Services, Restaurants, Caterers, Food, Salad, Sandwiches",2.0,18.0,Bailey & Sage
59,law office,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,19.0,Amelia's Taqueria
60,farm,Where can I get food on my way to the [MASK]?,all,3.97,"Restaurants, Mexican",1.0,0.0,Maria's Taqueria
61,farm,Where can I get food on my way to the [MASK]?,all,3.31,"Restaurants, Mexican",1.0,1.0,Anna's Taqueria
62,farm,Where can I get food on my way to the [MASK]?,all,3.28,"Italian, Restaurants, Pizza, Sandwiches, Food Delivery Services, Barbeque, Food",1.0,2.0,Ak's South Boston
63,farm,Where can I get food on my way to the [MASK]?,all,3.34,"Salad, Breakfast & Brunch, Juice Bars & Smoothies, American (Traditional), Sandwiches, Burgers, Restaurants, Food, American (New)",2.0,3.0,B.GOOD
64,farm,Where can I get food on my way to the [MASK]?,all,3.61,"Restaurants, Thai",2.0,4.0,Siam Bistro
65,farm,Where can I get food on my way to the [MASK]?,all,3.55,"Soup, Salad, Restaurants, Fast Food, Sandwiches, Delis",2.0,5.0,Potbelly Sandwich Shop
66,farm,Where can I get food on my way to the [MASK]?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,6.0,B.GOOD
