,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,restaurants that I would like on my way to the school,all,2.91,"Japanese, Restaurants, Asian Fusion",2.0,0.0,wagamama
1,school,restaurants that I would like on my way to the school,all,4.23,"Soup, Salad, Diners, Steakhouses, Comfort Food, Japanese, Japanese Curry, Restaurants",1.0,1.0,Cafe Mami
2,school,restaurants that I would like on my way to the school,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,2.0,Spicies Cambridge
3,school,restaurants that I would like on my way to the school,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,3.0,Sugar & Spice
4,school,restaurants that I would like on my way to the school,all,3.23,"Asian Fusion, Food, Restaurants, Ethnic Food, Specialty Food, Thai",2.0,4.0,Nine Tastes
5,school,restaurants that I would like on my way to the school,all,3.23,"Sandwiches, Food, Cafes, Breakfast & Brunch, Coffee & Tea, Restaurants, Asian Fusion, Vegan",2.0,5.0,Dado Tea
6,school,restaurants that I would like on my way to the school,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,6.0,Veggie Planet
7,school,restaurants that I would like on my way to the school,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,7.0,Bon Me - One Kendall Square
8,school,restaurants that I would like on my way to the school,all,3.06,"Food, Sandwiches, Caterers, Event Planning & Services, Restaurants, Soup",1.0,8.0,Così
9,school,restaurants that I would like on my way to the school,all,3.82,"Breakfast & Brunch, Restaurants, Salad, Vegetarian, Sandwiches, Cafes, Fast Food, American (New), Food, Coffee & Tea",2.0,9.0,Clover Food Lab
10,school,restaurants that I would like on my way to the school,all,3.07,"Sandwiches, Restaurants",2.0,10.0,Sebastians Cafe & Catering
11,school,restaurants that I would like on my way to the school,all,2.63,"Soup, Restaurants, Breakfast & Brunch, Sandwiches, Food, Salad, Bagels",1.0,11.0,Panera Bread
12,school,restaurants that I would like on my way to the school,all,3.52,"Thai, Restaurants",2.0,12.0,Pepper Sky's Thai Sensation
13,school,restaurants that I would like on my way to the school,all,4.32,"Restaurants, Japanese",1.0,13.0,Tampopo
14,school,restaurants that I would like on my way to the school,all,4.47,"Tea Rooms, Religious Organizations, Restaurants, Vegetarian, Chinese, Food, Taiwanese",1.0,14.0,Greater Boston Buddhist Cultural Center
15,school,restaurants that I would like on my way to the school,all,3.9,"Restaurants, Thai",1.0,15.0,Rod Dee
16,school,restaurants that I would like on my way to the school,all,3.24,"Restaurants, Thai, Chinese",1.0,16.0,Thailand Cafe
17,school,restaurants that I would like on my way to the school,all,4.18,"Restaurants, Cafes, Sandwiches, Grocery, Convenience Stores, Food",1.0,17.0,Sarah's Market & Cafe
18,school,restaurants that I would like on my way to the school,all,3.55,"Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Bakeries",2.0,18.0,Tatte Bakery & Cafe
19,school,restaurants that I would like on my way to the school,all,3.71,"Asian Fusion, Korean, Seafood, Restaurants, Vietnamese",2.0,19.0,Chocho's
