,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,restaurants that I would like on my way to the school,all,3.56,"Chinese, Vietnamese, Restaurants, Noodles",1.0,0.0,My Canh
1,school,restaurants that I would like on my way to the school,all,3.49,"Buffets, Event Planning & Services, Vegetarian, Nightlife, Indian, Caterers, Bars, Restaurants",2.0,1.0,Namaste Fine Indian Cuisine - Portland
2,school,restaurants that I would like on my way to the school,all,3.69,"Chinese, Restaurants",1.0,2.0,Joy Wok Healthy Chinese
3,school,restaurants that I would like on my way to the school,all,3.18,"Sushi Bars, Buffets, Restaurants, Chinese",2.0,3.0,Super King Buffet
4,school,restaurants that I would like on my way to the school,all,3.69,"Food Trucks, Indian, Restaurants, Wraps, Food",2.0,4.0,New Taste Of India
5,school,restaurants that I would like on my way to the school,all,2.24,"Restaurants, Buffets, Chinese",1.0,5.0,Best Buffet
6,school,restaurants that I would like on my way to the school,all,2.57,"Chinese, Noodles, Soup, Restaurants",2.0,6.0,August Moon Chinese Restaurant
7,school,restaurants that I would like on my way to the school,all,4.18,"Chinese, Vietnamese, Restaurants",1.0,7.0,Quan Linh Asian Bistro
8,school,restaurants that I would like on my way to the school,all,3.35,"Restaurants, Thai, Laotian",2.0,8.0,Sunee Thai & Lao Kitchen
9,school,restaurants that I would like on my way to the school,all,4.02,"Restaurants, Chinese",2.0,9.0,Ling Garden Chinese Restaurant
10,school,restaurants that I would like on my way to the school,all,3.68,"Restaurants, Asian Fusion, Mongolian, Chinese",1.0,10.0,Kung Food Restaurant
11,school,restaurants that I would like on my way to the school,all,2.48,"Chinese, Restaurants",1.0,11.0,August Moon
12,school,restaurants that I would like on my way to the school,all,3.99,"Specialty Food, Food, Vegan, Vegetarian, Ethnic Food, Vietnamese, Restaurants, Gluten-Free",1.0,12.0,Hanoi Kitchen
13,school,restaurants that I would like on my way to the school,all,3.15,"Restaurants, Indian, Vegan, Buffets, Gluten-Free",2.0,13.0,Namaste Indian Cuisine
14,school,restaurants that I would like on my way to the school,all,3.81,"Restaurants, Salad, Food, Soup, Ethnic Food, Specialty Food, Thai",2.0,14.0,Thai Chili Jam Restaurant
15,school,restaurants that I would like on my way to the school,all,3.65,"Vietnamese, Thai, Restaurants, Korean",1.0,15.0,Thanh Thao
16,school,restaurants that I would like on my way to the school,all,3.53,"Noodles, Vietnamese, Restaurants",2,16.0,Pho Van
17,school,restaurants that I would like on my way to the school,all,4.58,"Vegan, Restaurants",1.0,17.0,Loving Hut
18,school,restaurants that I would like on my way to the school,all,3.29,"Restaurants, Vietnamese, Noodles",1.0,18.0,Pho Hung
19,school,restaurants that I would like on my way to the school,all,3.57,"Restaurants, Food, Salad, Thai, Desserts",2.0,19.0,Thai Cottage
20,university,restaurants that I would like on my way to the university,all,3.18,"Sushi Bars, Buffets, Restaurants, Chinese",2.0,0.0,Super King Buffet
21,university,restaurants that I would like on my way to the university,all,3.53,"Noodles, Vietnamese, Restaurants",2,1.0,Pho Van
22,university,restaurants that I would like on my way to the university,all,2.57,"Chinese, Noodles, Soup, Restaurants",2.0,2.0,August Moon Chinese Restaurant
23,university,restaurants that I would like on my way to the university,all,3.37,"Restaurants, Chinese",2.0,3.0,Hoho Restaurant
24,university,restaurants that I would like on my way to the university,all,3.35,"Restaurants, Thai, Laotian",2.0,4.0,Sunee Thai & Lao Kitchen
25,university,restaurants that I would like on my way to the university,all,3.39,"Chinese, Vietnamese, Restaurants",1.0,5.0,Pho Dalat
26,university,restaurants that I would like on my way to the university,all,4.25,"Gluten-Free, Coffee & Tea, Desserts, Local Flavor, Vietnamese, Asian Fusion, Food, Restaurants, Thai, Tea Rooms",2.0,6.0,Jade Bistro Teahouse & Patisserie
27,university,restaurants that I would like on my way to the university,all,2.48,"Chinese, Restaurants",1.0,7.0,August Moon
28,university,restaurants that I would like on my way to the university,all,3.99,"Specialty Food, Food, Vegan, Vegetarian, Ethnic Food, Vietnamese, Restaurants, Gluten-Free",1.0,8.0,Hanoi Kitchen
29,university,restaurants that I would like on my way to the university,all,3.56,"Chinese, Vietnamese, Restaurants, Noodles",1.0,9.0,My Canh
30,university,restaurants that I would like on my way to the university,all,2.95,"Bars, Vietnamese, Salad, Restaurants, Nightlife, Cocktail Bars",1.0,10.0,Bambuza
31,university,restaurants that I would like on my way to the university,all,3.74,"Bars, Vietnamese, Vegetarian, Noodles, Diners, Nightlife, Soup, Restaurants",2,11.0,Pho Van Fresh
32,university,restaurants that I would like on my way to the university,all,4.58,"Vegan, Restaurants",1.0,12.0,Loving Hut
33,university,restaurants that I would like on my way to the university,all,3.34,"Noodles, Food, Restaurants, Beer, Wine & Spirits, Vietnamese",1.0,13.0,Pho Gia
34,university,restaurants that I would like on my way to the university,all,3.6,"Chinese, Noodles, Restaurants",2.0,14.0,Shandong Restaurant
35,university,restaurants that I would like on my way to the university,all,3.68,"Restaurants, Asian Fusion, Mongolian, Chinese",1.0,15.0,Kung Food Restaurant
36,university,restaurants that I would like on my way to the university,all,3.49,"Buffets, Event Planning & Services, Vegetarian, Nightlife, Indian, Caterers, Bars, Restaurants",2.0,16.0,Namaste Fine Indian Cuisine - Portland
37,university,restaurants that I would like on my way to the university,all,3.98,"Pan Asian, Restaurants, Vegetarian, Thai, Comfort Food",2.0,17.0,Thai Peacock
38,university,restaurants that I would like on my way to the university,all,4.29,"Noodles, Vietnamese, Restaurants",1.0,18.0,Little Saigon Noodles & Grill
39,university,restaurants that I would like on my way to the university,all,4.16,"Restaurants, Cambodian, Bars, Nightlife, Cafes, Chinese, Vietnamese",2.0,19.0,Mekha Restaurant
40,law office,restaurants that I would like on my way to the law office,all,3.99,"Restaurants, Desserts, Breakfast & Brunch, American (Traditional), Food",2.0,0.0,Bannings Restaurant & Pie House
41,law office,restaurants that I would like on my way to the law office,all,3.55,"American (Traditional), Restaurants, Seafood, Steakhouses",2.0,1.0,Stanford's Jantzen Beach
42,law office,restaurants that I would like on my way to the law office,all,4.25,"American (Traditional), Restaurants, Bars, Nightlife, Breakfast & Brunch",2.0,2.0,Mother’s Bistro & Bar
43,law office,restaurants that I would like on my way to the law office,all,3.93,"Breakfast & Brunch, Food, Restaurants, Diners, American (Traditional), Cafes",2.0,3.0,Cadillac Cafe
44,law office,restaurants that I would like on my way to the law office,all,4.28,"Breakfast & Brunch, Seafood, Gluten-Free, American (Traditional), Soup, Restaurants",2.0,4.0,Seasons & Regions Seafood Grill
45,law office,restaurants that I would like on my way to the law office,all,4.11,"Breakfast & Brunch, American (Traditional), Diners, Restaurants",2.0,5.0,Elmer's Restaurant
46,law office,restaurants that I would like on my way to the law office,all,3.88,"Hawaiian, Seafood, Sandwiches, Restaurants",2.0,6.0,Noho's Hawaiian Cafe
47,law office,restaurants that I would like on my way to the law office,all,4.04,"Sushi Bars, Restaurants, Japanese",2.0,7.0,Meeka Japanese Restaurant
48,law office,restaurants that I would like on my way to the law office,all,3.54,"American (New), Seafood, Restaurants, Steakhouses, American (Traditional)",2.0,8.0,Jake's Grill
49,law office,restaurants that I would like on my way to the law office,all,3.62,"Nightlife, Bars, Chinese, Restaurants, Asian Fusion",2.0,9.0,Dragonwell Bistro
50,law office,restaurants that I would like on my way to the law office,all,2.48,"Chinese, Restaurants",1.0,10.0,August Moon
51,law office,restaurants that I would like on my way to the law office,all,3.57,"Food, Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Waffles",2.0,11.0,The Original Pancake House
52,law office,restaurants that I would like on my way to the law office,all,3.18,"Sushi Bars, Buffets, Restaurants, Chinese",2.0,12.0,Super King Buffet
53,law office,restaurants that I would like on my way to the law office,all,3.92,"Pubs, Nightlife, American (Traditional), Wine Bars, Seafood, Steakhouses, Restaurants, American (New), Bars",3.0,13.0,Jake's Famous Crawfish
54,law office,restaurants that I would like on my way to the law office,all,3.73,"Specialty Food, Food, American (Traditional), Restaurants, American (New)",2.0,14.0,The Original Dinerant
55,law office,restaurants that I would like on my way to the law office,all,4.06,"Sushi Bars, Seafood, Japanese, Restaurants",2.0,15.0,SHO Japanese Restaurant
56,law office,restaurants that I would like on my way to the law office,all,4.29,"Sushi Bars, Tapas/Small Plates, Japanese, Bars, Wine Bars, Restaurants, Nightlife",2.0,16.0,Murata Restaurant
57,law office,restaurants that I would like on my way to the law office,all,4.08,"Sushi Bars, Japanese, Restaurants",2.0,17.0,Yama Sushi & Sake Bar
58,law office,restaurants that I would like on my way to the law office,all,2.93,"Seafood, American (Traditional), Steakhouses, Restaurants",2.0,18.0,Stanford's Restaurant & Bar
