,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,restaurants that I would like on my way to the school,all,4.41,"Taiwanese, Asian Fusion, Restaurants, Japanese, Vietnamese, Gluten-Free, Chinese, Food Delivery Services, Food, Salad, Korean, Vegetarian",1,0.0,Koriente
1,school,restaurants that I would like on my way to the school,all,3.82,"Restaurants, Mexican, Nightlife",2.0,1.0,Zocalo Cafe
2,school,restaurants that I would like on my way to the school,all,3.31,"Sushi Bars, Japanese, Restaurants",2.0,2.0,Sushi Niichi
3,school,restaurants that I would like on my way to the school,all,4.29,"Cafes, Food, Event Planning & Services, Tacos, Sandwiches, Restaurants, American (New), Mexican, Caterers, Delis, Breakfast & Brunch",2.0,3.0,FoodHeads
4,school,restaurants that I would like on my way to the school,all,3.98,"Brazilian, Restaurants, Specialty Food, Food, Gluten-Free, Ethnic Food",1.0,4.0,Rio's Brazilian Cafe
5,school,restaurants that I would like on my way to the school,all,3.94,"Restaurants, Mexican",2,5.0,Julio's Café
6,school,restaurants that I would like on my way to the school,all,3.83,"Thai, Food, Asian Fusion, Restaurants",2.0,6.0,East Side King
7,school,restaurants that I would like on my way to the school,all,4.09,"Restaurants, Bars, Vegetarian, American (Traditional), Nightlife, Breakfast & Brunch, American (New)",2.0,7.0,Eastside Cafe
8,school,restaurants that I would like on my way to the school,all,3.7,"American (New), Cafes, Breakfast & Brunch, Restaurants, Diners",2.0,8.0,Counter Cafe
9,school,restaurants that I would like on my way to the school,all,3.92,"Sandwiches, American (Traditional), American (New), Tex-Mex, Cafes, Restaurants, Diners, Vegetarian, Breakfast & Brunch",2.0,9.0,Kerbey Lane Cafe - Central
10,school,restaurants that I would like on my way to the school,all,4.25,"Restaurants, Tex-Mex, Mexican",1.0,10.0,Habanero Mexican Cafe
11,school,restaurants that I would like on my way to the school,all,3.78,"Restaurants, Bars, Mexican, Nightlife",2.0,11.0,Hecho En Mexico
12,school,restaurants that I would like on my way to the school,all,3.9,"Ramen, Japanese, Restaurants",2.0,12.0,Daruma Ramen
