example_label,input_sentence,label
school,Where can I get food on my way to the school?,all
university,Where can I get food on my way to the university?,all
law office,Where can I get food on my way to the law office?,all
farm,Where can I get food on my way to the farm?,all
barbershop,Where can I get food on my way to the barbershop?,all
dancing studio,Where can I get food on my way to the dancing studio?,all
hospital,Where can I get food on my way to the hospital?,all
clinic,Where can I get food on my way to the clinic?,all
institution,Where can I get food on my way to the institution?,all
police station,Where can I get food on my way to the police station?,all
fashion studio,Where can I get food on my way to the fashion studio?,all
music studio,Where can I get food on my way to the music studio?,all
office,Where can I get food on my way to the office?,all
computer lab,Where can I get food on my way to the computer lab?,all
chemical lab,Where can I get food on my way to the chemical lab?,all
bank,Where can I get food on my way to the bank?,all
office,Where can I get food on my way to the office?,all
construction site,Where can I get food on my way to the construction site?,all
supermarket,Where can I get food on my way to the supermarket?,all
mall,Where can I get food on my way to the mall?,all
convenience store,Where can I get food on my way to the convenience store?,all
jewelry store,Where can I get food on my way to the jewelry store?,all
dental office,Where can I get food on my way to the dental office?,all
pharmacy,Where can I get food on my way to the pharmacy?,all
airport,Where can I get food on my way to the airport?,all
school,Can you book a restaurant after me finishing the work at the school?,all
university,Can you book a restaurant after me finishing the work at the university?,all
law office,Can you book a restaurant after me finishing the work at the law office?,all
farm,Can you book a restaurant after me finishing the work at the farm?,all
barbershop,Can you book a restaurant after me finishing the work at the barbershop?,all
dancing studio,Can you book a restaurant after me finishing the work at the dancing studio?,all
hospital,Can you book a restaurant after me finishing the work at the hospital?,all
clinic,Can you book a restaurant after me finishing the work at the clinic?,all
institution,Can you book a restaurant after me finishing the work at the institution?,all
police station,Can you book a restaurant after me finishing the work at the police station?,all
fashion studio,Can you book a restaurant after me finishing the work at the fashion studio?,all
music studio,Can you book a restaurant after me finishing the work at the music studio?,all
office,Can you book a restaurant after me finishing the work at the office?,all
computer lab,Can you book a restaurant after me finishing the work at the computer lab?,all
chemical lab,Can you book a restaurant after me finishing the work at the chemical lab?,all
bank,Can you book a restaurant after me finishing the work at the bank?,all
office,Can you book a restaurant after me finishing the work at the office?,all
construction site,Can you book a restaurant after me finishing the work at the construction site?,all
supermarket,Can you book a restaurant after me finishing the work at the supermarket?,all
mall,Can you book a restaurant after me finishing the work at the mall?,all
convenience store,Can you book a restaurant after me finishing the work at the convenience store?,all
jewelry store,Can you book a restaurant after me finishing the work at the jewelry store?,all
dental office,Can you book a restaurant after me finishing the work at the dental office?,all
pharmacy,Can you book a restaurant after me finishing the work at the pharmacy?,all
airport,Can you book a restaurant after me finishing the work at the airport?,all
school,Which restaurant to drop by on my way to the school?,all
university,Which restaurant to drop by on my way to the university?,all
law office,Which restaurant to drop by on my way to the law office?,all
farm,Which restaurant to drop by on my way to the farm?,all
barbershop,Which restaurant to drop by on my way to the barbershop?,all
dancing studio,Which restaurant to drop by on my way to the dancing studio?,all
hospital,Which restaurant to drop by on my way to the hospital?,all
clinic,Which restaurant to drop by on my way to the clinic?,all
institution,Which restaurant to drop by on my way to the institution?,all
police station,Which restaurant to drop by on my way to the police station?,all
fashion studio,Which restaurant to drop by on my way to the fashion studio?,all
music studio,Which restaurant to drop by on my way to the music studio?,all
office,Which restaurant to drop by on my way to the office?,all
computer lab,Which restaurant to drop by on my way to the computer lab?,all
chemical lab,Which restaurant to drop by on my way to the chemical lab?,all
bank,Which restaurant to drop by on my way to the bank?,all
office,Which restaurant to drop by on my way to the office?,all
construction site,Which restaurant to drop by on my way to the construction site?,all
supermarket,Which restaurant to drop by on my way to the supermarket?,all
mall,Which restaurant to drop by on my way to the mall?,all
