,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,0.0,McDonald's
1,court,Where can I get food on my way to the court?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,1.0,Taco Bell
2,court,Where can I get food on my way to the court?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,2.0,McDonald's
3,court,Where can I get food on my way to the court?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,3.0,McDonald's
4,court,Where can I get food on my way to the court?,all,3.61,"Fast Food, Restaurants",1.0,4.0,Chick-fil-A
5,court,Where can I get food on my way to the court?,all,2.19,"Food, Chicken Wings, Restaurants, Fast Food, Soul Food",1.0,5.0,Popeyes Louisiana Kitchen
6,court,Where can I get food on my way to the court?,all,1.94,"Fast Food, Mexican, Restaurants",1.0,6.0,Chipotle Mexican Grill
7,court,Where can I get food on my way to the court?,all,2.27,"Restaurants, Mexican, Fast Food",1.0,7.0,Chipotle Mexican Grill
8,court,Where can I get food on my way to the court?,all,4.04,"Chicken Wings, Restaurants, Fast Food",1.0,8.0,Raising Cane's Chicken Fingers
9,court,Where can I get food on my way to the court?,all,2.24,"Fast Food, Restaurants, Mexican",1.0,9.0,Chipotle Mexican Grill
10,court,Where can I get food on my way to the court?,all,3.2,"Bagels, Restaurants, Bakeries, Food",1.0,10.0,Einstein Bros Bagels
11,court,Where can I get food on my way to the court?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,11.0,Starbucks
12,court,Where can I get food on my way to the court?,all,3.02,"Fast Food, Restaurants",1.0,12.0,Chick-fil-A
13,court,Where can I get food on my way to the court?,all,2.87,"Mexican, Fast Food, Restaurants",1.0,13.0,Chipotle Mexican Grill
14,court,Where can I get food on my way to the court?,all,3.11,"Event Planning & Services, Caterers, Fast Food, Restaurants",1.0,14.0,Chick-fil-A
15,court,Where can I get food on my way to the court?,all,4.07,"Restaurants, Bars, Middle Eastern, Lebanese, Hookah Bars, Nightlife",2.0,15.0,Midnight Hookah
16,court,Where can I get food on my way to the court?,all,2.59,"Music Venues, Event Planning & Services, Restaurants, Adult Entertainment, Arts & Entertainment, Venues & Event Spaces, Nightlife, Casinos",2.0,16.0,Hollywood Casino Columbus
17,court,Where can I get food on my way to the court?,all,2.8,"Mexican, Fast Food, Restaurants",1.0,17.0,Chipotle Mexican Grill
18,court,Where can I get food on my way to the court?,all,3.46,"Food, Fast Food, Restaurants, Chicken Wings",1.0,18.0,Raising Cane's Chicken Fingers
19,court,Where can I get food on my way to the court?,all,2.71,"Fast Food, Restaurants, Mexican",1.0,19.0,Chipotle Mexican Grill
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,0.0,McDonald's
21,psychiatrist,Where can I get food on my way to the psychiatrist?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,1.0,McDonald's
