,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholics,restaurants that Catholics would like,all,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,0.0,Andina Restaurant
1,Catholics,restaurants that Catholics would like,all,3.59,"Bars, Lounges, Cajun/Creole, Southern, Vegan, Local Flavor, Restaurants, Salad, Vegetarian, Nightlife",2.0,1.0,Le Bistro Montage
2,Catholics,restaurants that Catholics would like,all,4.44,"Caterers, Restaurants, Breakfast & Brunch, Southern, Event Planning & Services, Bakeries, Cajun/Creole, Food",2.0,2.0,Screen Door
3,Catholics,restaurants that Catholics would like,all,3.46,"Pakistani, Indian, Restaurants, Vegetarian, Gluten-Free",2.0,3.0,East India Co Grill & Bar
4,Catholics,restaurants that Catholics would like,all,4.25,"American (Traditional), Restaurants, Bars, Nightlife, Breakfast & Brunch",2.0,4.0,Mother’s Bistro & Bar
5,Catholics,restaurants that Catholics would like,all,4.31,"Vegan, Vegetarian, Restaurants, Live/Raw Food",2.0,5.0,Blossoming Lotus
6,Catholics,restaurants that Catholics would like,all,3.76,"Gluten-Free, Breakfast & Brunch, American (New), Food Stands, Local Flavor, Mexican, Cocktail Bars, Farmers Market, Food, Bars, Cafes, Restaurants, Nightlife",2.0,6.0,Verde Cocina - Hillsdale
7,Catholics,restaurants that Catholics would like,all,4.34,"American (New), Tapas Bars, Breakfast & Brunch, Nightlife, Restaurants, Bars, Steakhouses",2.0,7.0,Tasty n Alder
8,Catholics,restaurants that Catholics would like,all,3.87,"Spanish, Italian, Restaurants",2.0,8.0,Ciao Vito
9,Catholics,restaurants that Catholics would like,all,3.63,"Nightlife, Restaurants, Bars, American (New), Lounges",2.0,9.0,Red Star Tavern
10,Catholics,restaurants that Catholics would like,all,3.99,"American (New), Restaurants, Burgers, Nightlife, Bars, American (Traditional), French",3.0,10.0,Higgins Restaurant
11,Catholics,restaurants that Catholics would like,all,4.31,"Latin American, Caribbean, Mexican, Restaurants, Thai, Dominican",2.0,11.0,Nuestra Cocina
12,Catholics,restaurants that Catholics would like,all,3.76,"Nightlife, Food, Beer, Wine & Spirits, Latin American, Restaurants, Bars, Lounges",3.0,12.0,Oba
13,Catholics,restaurants that Catholics would like,all,3.88,"Restaurants, Italian",2.0,13.0,Pastini
