,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,1.66,"Hawaiian, Restaurants, Shaved Ice, Food, Food Trucks",1.0,0.0,Aloha PDX Food Cart
1,court,Where can I get food on my way to the [MASK]?,all,2.57,"Mexican, Restaurants",1.0,1.0,Muchas Gracias
2,court,Where can I get food on my way to the [MASK]?,all,2.95,"Bars, Vietnamese, Salad, Restaurants, Nightlife, Cocktail Bars",1.0,2.0,Bambuza
3,court,Where can I get food on my way to the [MASK]?,all,4.04,"Halal, Food Trucks, Food Stands, Mediterranean, Food, Falafel, Middle Eastern, Restaurants, Egyptian",1.0,3.0,Small Pharoah's
4,court,Where can I get food on my way to the [MASK]?,all,3.75,"Restaurants, Sandwiches, Vietnamese",1.0,4.0,Best Baguette
5,court,Where can I get food on my way to the [MASK]?,all,3.6,"Food Stands, Food, Restaurants, Food Trucks, Street Vendors, Indian",1,5.0,Taste of India
6,court,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Food Trucks, Food, Mediterranean",1.0,6.0,Zaalook
7,court,Where can I get food on my way to the [MASK]?,all,3.38,"Food Stands, Hawaiian, Food Trucks, Food, Restaurants",2.0,7.0,Lei'd Back Hawaiian Cuisine
8,court,Where can I get food on my way to the [MASK]?,all,2.62,"Hawaiian, Restaurants, Barbeque",1,8.0,L&L Hawaiian Barbecue
9,court,Where can I get food on my way to the [MASK]?,all,3.87,"Restaurants, Mexican, Food Trucks, Food",1.0,9.0,Los Gorditos
10,court,Where can I get food on my way to the [MASK]?,all,3.05,"Restaurants, Sandwiches, Vegetarian, American (Traditional), American (New), Soup",1.0,10.0,Cafe Yumm!
11,court,Where can I get food on my way to the [MASK]?,all,4.02,"Food Trucks, Egyptian, Food, Falafel, Food Stands, Restaurants, Middle Eastern, Mediterranean",1.0,11.0,Elmasry
12,court,Where can I get food on my way to the [MASK]?,all,2.51,"Restaurants, Mexican, Food Stands, Food Trucks, Food",1.0,12.0,El Brasero Mexican Cart
