,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.63,"Restaurants, Italian, Bars, Venues & Event Spaces, Nightlife, Event Planning & Services",2.0,0.0,Maggiano's Little Italy
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.09,"Restaurants, Southern, Soul Food",2.0,1.0,Paschal's
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.59,"Restaurants, Event Planning & Services, Bars, Nightlife, Italian, Venues & Event Spaces",2.0,2.0,Maggiano's Little Italy
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.57,"American (New), Steakhouses, American (Traditional), Restaurants",2.0,3.0,Houston's Restaurant
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.33,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",2.0,4.0,South City Kitchen Midtown
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.37,"Restaurants, Italian, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services",3,5.0,La Grotta Ristorante Italiano
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.36,"Brazilian, Seafood, Restaurants, Barbeque, Steakhouses",3,6.0,Fogo de Chao - Atlanta
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.89,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",2.0,7.0,Mary Mac's Tea Room
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.78,"Asian Fusion, Sushi Bars, Tapas/Small Plates, Japanese, Steakhouses, Restaurants",2.0,8.0,Nakato Japanese Restaurant
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.6,"Italian, Restaurants",3.0,9.0,Antica Posta Ristorante Toscano
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.86,"American (Traditional), Steakhouses, Restaurants, American (New)",2,10.0,Houston's Restaurant
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.65,"Steakhouses, American (New), Sushi Bars, Restaurants, American (Traditional)",2,11.0,Houston's Restaurant
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.09,"Nightlife, Beer, Wine & Spirits, Bars, Italian, Food, Restaurants, Wine Bars",3.0,12.0,Sotto Sotto
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.12,"Italian, Restaurants, Pasta Shops, Wine Bars, Specialty Food, Food, Nightlife, Bars",2.0,13.0,Pasta Da Pulcinella
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.9,"Restaurants, Italian",2.0,14.0,Alfredo's Italian Restaurant
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,1.8,"Sushi Bars, Japanese, Breakfast & Brunch, Restaurants, Nightlife, Noodles",2.0,15.0,Benihana
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.39,"Restaurants, Southern, Event Planning & Services, Soul Food, Party & Event Planning",2.0,16.0,Pittypat's Porch Restaurant
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.51,"Steakhouses, Restaurants, Seafood, Food, Specialty Food, Seafood Markets, Sushi Bars",3,17.0,Atlanta Fish Market
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.22,"Restaurants, Nightlife, Cocktail Bars, Middle Eastern, Persian/Iranian, Bars",2.0,18.0,Rumi's Kitchen
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.85,"Italian, Restaurants",3,19.0,Pricci
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.63,"Restaurants, Italian, Bars, Venues & Event Spaces, Nightlife, Event Planning & Services",2.0,0.0,Maggiano's Little Italy
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.36,"Brazilian, Seafood, Restaurants, Barbeque, Steakhouses",3,1.0,Fogo de Chao - Atlanta
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.85,"Bars, American (New), Nightlife, Southern, Restaurants",2.0,2.0,Two Urban Licks
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.78,"Asian Fusion, Sushi Bars, Tapas/Small Plates, Japanese, Steakhouses, Restaurants",2.0,3.0,Nakato Japanese Restaurant
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.7,"Restaurants, American (New)",3.0,4.0,One Midtown Kitchen
25,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.51,"Steakhouses, Restaurants, Seafood, Food, Specialty Food, Seafood Markets, Sushi Bars",3,5.0,Atlanta Fish Market
26,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.04,"Spanish, Desserts, Beer, Wine & Spirits, Food, Restaurants, Tapas/Small Plates, American (New), Tapas Bars",2.0,6.0,Barcelona Inman Park
27,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.87,"Pizza, Italian, Food, Beer, Wine & Spirits, Restaurants",2.0,7.0,Fritti
28,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.57,"American (New), Steakhouses, American (Traditional), Restaurants",2.0,8.0,Houston's Restaurant
29,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.03,"Steakhouses, Seafood, Restaurants",4.0,9.0,Chops & Lobster Bar
