,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Asian,restaurants that Asian would like,all,3.87,"Sushi Bars, Restaurants, Japanese",3.0,0.0,Oishii Boston
1,Asian,restaurants that Asian would like,all,3.84,"Pizza, Japanese, Restaurants, Sushi Bars, Vegetarian",3.0,1.0,Douzo
2,Asian,restaurants that Asian would like,all,3.9,"Nightlife, Restaurants, Asian Fusion, Vegetarian, Vegan, Bars, Taiwanese, Gluten-Free, Chinese, Cocktail Bars",2.0,2.0,Myers & Chang
3,Asian,restaurants that Asian would like,all,3.62,"Sushi Bars, Japanese, Asian Fusion, Restaurants",4.0,3.0,UNI
4,Asian,restaurants that Asian would like,all,4.42,"Japanese, Sushi Bars, Restaurants",4.0,4.0,O Ya
5,Asian,restaurants that Asian would like,all,3.5,"Asian Fusion, Sushi Bars, Dim Sum, Chinese, Restaurants, Cocktail Bars, Nightlife, Bars",3.0,5.0,Red Lantern
6,Asian,restaurants that Asian would like,all,4.19,"Spanish, Nightlife, Bars, Tapas Bars, Restaurants, Cocktail Bars, Tapas/Small Plates",3.0,6.0,Toro
7,Asian,restaurants that Asian would like,all,3.21,"Nightlife, Restaurants, Asian Fusion, Bars, Lounges, Sushi Bars",3.0,7.0,Empire Asian Restaurant & Lounge
8,Asian,restaurants that Asian would like,all,3.94,"Restaurants, Pan Asian, Japanese, Nightlife, Bars, Asian Fusion, Cocktail Bars",2.0,8.0,Shojo
9,Asian,restaurants that Asian would like,all,4.5,"Vegetarian, Restaurants, Gluten-Free, Italian",2.0,9.0,Carmelina's
10,Asian,restaurants that Asian would like,all,4.45,"Asian Fusion, Restaurants, Sushi Bars, Nightlife, Bars, Japanese, Cocktail Bars",2.0,10.0,Fuji at Ink Block
11,Asian,restaurants that Asian would like,all,4.46,"Italian, Mediterranean, Pizza, Restaurants",2.0,11.0,Pomodoro
12,Asian,restaurants that Asian would like,all,3.56,"Nightlife, Cocktail Bars, Thai, Restaurants, Vietnamese, Bars",3.0,12.0,Tiger Mama
13,Asian,restaurants that Asian would like,all,4.29,"Nightlife, Seafood, Bars, Food, Restaurants",3.0,13.0,Island Creek Oyster Bar
14,Asian,restaurants that Asian would like,all,3.48,"Japanese, Asian Fusion, Sushi Bars, Korean, Restaurants",2.0,14.0,Basho Japanese Brasserie
15,Asian,restaurants that Asian would like,all,3.97,"Restaurants, Italian",3.0,15.0,Teatro
16,Asian,restaurants that Asian would like,all,3.53,"Restaurants, Chinese, Malaysian, Thai",2.0,16.0,Penang
17,Asian,restaurants that Asian would like,all,4.0,"Restaurants, Thai",2.0,17.0,Brown Sugar Cafe
18,Asian,restaurants that Asian would like,all,4.08,"Restaurants, Chinese",2.0,18.0,BLR By Shojo
19,Asian,restaurants that Asian would like,all,3.48,"Restaurants, Bars, Nightlife, Tapas Bars, Gastropubs, Asian Fusion",2.0,19.0,Blue Dragon
