,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholics,restaurants that Catholics would like,all,3.83,"Bars, Wine Bars, Food, Restaurants, Vegetarian, Italian, Cafes, Nightlife, Desserts",3.0,0.0,Stella
1,Catholics,restaurants that Catholics would like,all,3.62,"Restaurants, Bars, Nightlife, Italian",2.0,1.0,Papa Razzi - Boston
2,Catholics,restaurants that Catholics would like,all,3.97,"Restaurants, Italian",3.0,2.0,Teatro
3,Catholics,restaurants that Catholics would like,all,4.22,"Nightlife, Seafood, Wine Bars, Bars, Restaurants, Italian",2.0,3.0,Giacomo's Ristorante - Boston
4,Catholics,restaurants that Catholics would like,all,4.05,"Breakfast & Brunch, American (New), Nightlife, Bars, Restaurants, Wine Bars, Pasta Shops, Specialty Food, Italian, Pizza, Tapas/Small Plates, Food",3.0,4.0,Coppa
5,Catholics,restaurants that Catholics would like,all,4.0,"Bars, Italian, Nightlife, Restaurants, Salad",2.0,5.0,Anchovies
6,Catholics,restaurants that Catholics would like,all,3.65,"Pizza, Gluten-Free, Italian, American (New), Restaurants",2.0,6.0,Antico Forno
7,Catholics,restaurants that Catholics would like,all,3.46,"Restaurants, Italian",2.0,7.0,Salvatore's
8,Catholics,restaurants that Catholics would like,all,3.88,"Wine Bars, Bars, Restaurants, Nightlife, Breakfast & Brunch, Pizza, Gluten-Free, Italian",3.0,8.0,Scampo
9,Catholics,restaurants that Catholics would like,all,3.8,"Bars, Italian, Wine Bars, Restaurants, Nightlife",3.0,9.0,Lucca Back Bay
10,Catholics,restaurants that Catholics would like,all,3.86,"Pasta Shops, Seafood, Bars, Nightlife, Specialty Food, Wine Bars, Italian, Food, Restaurants",2.0,10.0,Giacomo's
11,Catholics,restaurants that Catholics would like,all,4.27,"Pizza, Italian, Restaurants",2.0,11.0,Italian Express Pizzeria
12,Catholics,restaurants that Catholics would like,all,4.5,"Breakfast & Brunch, Restaurants, Cocktail Bars, Bars, Nightlife, Seafood",3.0,12.0,Fin Point Oyster Bar + Grille
13,Catholics,restaurants that Catholics would like,all,4.02,"Italian, Restaurants",2.0,13.0,D'Parma Restaurant
