,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,3.31,"Restaurants, Mexican",1.0,0.0,Anna's Taqueria
1,school,Where can I get food on my way to the school?,all,3.89,"Thai, Restaurants, Food Delivery Services, Food",1.0,1.0,Nud Pob Thai Cuisine
2,school,Where can I get food on my way to the school?,all,3.84,"Moroccan, Food, Halal, Restaurants, Middle Eastern, Mediterranean",1.0,2.0,Pita
3,school,Where can I get food on my way to the school?,all,3.98,"Caterers, Food, Middle Eastern, Food Trucks, Event Planning & Services, Restaurants, Halal, Mediterranean",1.0,3.0,Chicken and Rice Guys
4,school,Where can I get food on my way to the school?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,4.0,B.GOOD
5,school,Where can I get food on my way to the school?,all,3.94,"Fast Food, Sandwiches, Burgers, Restaurants",1.0,5.0,Uburger
6,school,Where can I get food on my way to the school?,all,3.31,"Restaurants, Mexican",1.0,6.0,Amelia's Taqueria
7,school,Where can I get food on my way to the school?,all,3.87,"American (Traditional), Fast Food, Food, Restaurants, Chicken Wings",1.0,7.0,Raising Cane's Chicken Fingers
8,school,Where can I get food on my way to the school?,all,4.07,"Burgers, Sandwiches, Chinese, Brazilian, Salad, Restaurants, Latin American",1.0,8.0,Chacarero
9,school,Where can I get food on my way to the school?,all,2.43,"Mexican, Restaurants",1.0,9.0,Montecristo Mexican Grill
10,school,Where can I get food on my way to the school?,all,3.56,"Sushi Bars, Restaurants, Japanese",2.0,10.0,Symphony Sushi
11,school,Where can I get food on my way to the school?,all,4.14,"Mexican, Restaurants, Vegetarian, Gluten-Free",1.0,11.0,El Pelón Taquería
12,school,Where can I get food on my way to the school?,all,3.53,"Sandwiches, Restaurants, Salad, Breakfast & Brunch, Food",2.0,12.0,Wichit
13,school,Where can I get food on my way to the school?,all,2.88,"Caterers, Mexican, Restaurants, Fast Food, Event Planning & Services",1.0,13.0,QDOBA Mexican Eats
14,school,Where can I get food on my way to the school?,all,4.17,"Sandwiches, Middle Eastern, Desserts, Halal, Lebanese, Mediterranean, Food, Fast Food, Restaurants",1.0,14.0,Boston Shawarma
15,school,Where can I get food on my way to the school?,all,3.97,"Restaurants, Mexican",1.0,15.0,Maria's Taqueria
16,school,Where can I get food on my way to the school?,all,3.8,"Mediterranean, Restaurants, Breakfast & Brunch, Creperies",1.0,16.0,Crispy Crêpes Cafe
17,school,Where can I get food on my way to the school?,all,3.87,"Burgers, Restaurants",1.0,17.0,UBurger
18,school,Where can I get food on my way to the school?,all,3.81,"Sandwiches, Food, Coffee & Tea, Restaurants, Breakfast & Brunch",1.0,18.0,Temptations Cafe
19,school,Where can I get food on my way to the school?,all,3.74,"Japanese, Sushi Bars, Restaurants",2.0,19.0,Fin's Sushi and Grill
20,university,Where can I get food on my way to the university?,all,3.89,"Thai, Restaurants, Food Delivery Services, Food",1.0,0.0,Nud Pob Thai Cuisine
21,university,Where can I get food on my way to the university?,all,3.87,"American (Traditional), Fast Food, Food, Restaurants, Chicken Wings",1.0,1.0,Raising Cane's Chicken Fingers
22,university,Where can I get food on my way to the university?,all,3.2,"Noodles, Restaurants, Thai",2.0,2.0,Noodle Street
23,university,Where can I get food on my way to the university?,all,3.8,"Mediterranean, Restaurants, Breakfast & Brunch, Creperies",1.0,3.0,Crispy Crêpes Cafe
24,university,Where can I get food on my way to the university?,all,3.98,"Caterers, Food, Middle Eastern, Food Trucks, Event Planning & Services, Restaurants, Halal, Mediterranean",1.0,4.0,Chicken and Rice Guys
25,university,Where can I get food on my way to the university?,all,3.31,"Restaurants, Mexican",1.0,5.0,Anna's Taqueria
26,university,Where can I get food on my way to the university?,all,3.31,"Restaurants, Mexican",1.0,6.0,Amelia's Taqueria
27,university,Where can I get food on my way to the university?,all,3.56,"Salad, Restaurants, Food, Burgers, Breakfast & Brunch, Juice Bars & Smoothies, Sandwiches, American (Traditional), American (New)",1.0,7.0,B.GOOD
28,university,Where can I get food on my way to the university?,all,2.88,"Caterers, Mexican, Restaurants, Fast Food, Event Planning & Services",1.0,8.0,QDOBA Mexican Eats
29,university,Where can I get food on my way to the university?,all,3.94,"Fast Food, Sandwiches, Burgers, Restaurants",1.0,9.0,Uburger
30,university,Where can I get food on my way to the university?,all,4.08,"Restaurants, Fast Food, Sandwiches",1.0,10.0,Chicken Lou's
31,university,Where can I get food on my way to the university?,all,3.84,"Moroccan, Food, Halal, Restaurants, Middle Eastern, Mediterranean",1.0,11.0,Pita
32,university,Where can I get food on my way to the university?,all,4.17,"Sandwiches, Middle Eastern, Desserts, Halal, Lebanese, Mediterranean, Food, Fast Food, Restaurants",1.0,12.0,Boston Shawarma
33,university,Where can I get food on my way to the university?,all,3.23,"Food, Vegan, Thai, Vietnamese, Restaurants, Desserts",2.0,13.0,Pho & I
34,university,Where can I get food on my way to the university?,all,3.87,"Burgers, Restaurants",1.0,14.0,UBurger
35,university,Where can I get food on my way to the university?,all,3.64,"Food, Mexican, Restaurants, Juice Bars & Smoothies, Fast Food",1.0,15.0,Boloco Northeastern
36,university,Where can I get food on my way to the university?,all,4.06,"Restaurants, Mexican, Event Planning & Services, Korean, Asian Fusion, Caterers",1.0,16.0,OliToki
37,university,Where can I get food on my way to the university?,all,3.27,"Fast Food, Restaurants, Salad, Sandwiches, Burgers, Juice Bars & Smoothies, American (New), Food, American (Traditional)",1.0,17.0,B.GOOD
38,university,Where can I get food on my way to the university?,all,3.49,"Japanese, Seafood, Asian Fusion, Restaurants, Sushi Bars",2.0,18.0,Kayuga
39,university,Where can I get food on my way to the university?,all,3.35,"Sports Bars, American (Traditional), Restaurants, Bars, Nightlife, Pool Halls, Mexican",2.0,19.0,Sunset Cantina
40,law office,Where can I get food on my way to the law office?,all,3.94,"Mediterranean, Moroccan, Caterers, Restaurants, Halal, Event Planning & Services, Middle Eastern, Food Stands",1.0,0.0,Pita
41,law office,Where can I get food on my way to the law office?,all,3.31,"Restaurants, Mexican",1.0,1.0,Anna's Taqueria
42,law office,Where can I get food on my way to the law office?,all,3.84,"Moroccan, Food, Halal, Restaurants, Middle Eastern, Mediterranean",1.0,2.0,Pita
43,law office,Where can I get food on my way to the law office?,all,4.19,"Restaurants, Vegetarian, Middle Eastern, Falafel, Mediterranean",1.0,3.0,Falafel King
44,law office,Where can I get food on my way to the law office?,all,3.97,"Restaurants, Mexican",1.0,4.0,Maria's Taqueria
45,law office,Where can I get food on my way to the law office?,all,4.03,"Middle Eastern, Mediterranean, Falafel, Restaurants",1.0,5.0,Falafel King
46,law office,Where can I get food on my way to the law office?,all,3.61,"Restaurants, Thai",2.0,6.0,Siam Bistro
47,law office,Where can I get food on my way to the law office?,all,4.33,"Food, Middle Eastern, Restaurants",1.0,7.0,Shawarma Falafel
48,law office,Where can I get food on my way to the law office?,all,3.81,"Sushi Bars, Japanese, Restaurants",2.0,8.0,Zen Japanese Grill & Sushi Bar
49,law office,Where can I get food on my way to the law office?,all,3.89,"Thai, Restaurants, Food Delivery Services, Food",1.0,9.0,Nud Pob Thai Cuisine
50,law office,Where can I get food on my way to the law office?,all,3.78,"Chicken Shop, Vegan, Middle Eastern, Turkish, Restaurants",2.0,10.0,Sultan's Kitchen
51,law office,Where can I get food on my way to the law office?,all,4.52,"Caterers, Mediterranean, Vegan, Event Planning & Services, Sandwiches, Gluten-Free, Salad, Restaurants",1.0,11.0,Piperi Mediterranean Grill
52,law office,Where can I get food on my way to the law office?,all,3.3,"Halal, Food, Restaurants, Middle Eastern",1.0,12.0,The Halal Guys
53,law office,Where can I get food on my way to the law office?,all,3.0,"Japanese, Restaurants",1.0,13.0,Teriyaki House
54,law office,Where can I get food on my way to the law office?,all,3.48,"Hot Dogs, Burgers, Beer, Wine & Spirits, Restaurants, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Food",2.0,14.0,Shake Shack
55,law office,Where can I get food on my way to the law office?,all,3.51,"Sandwiches, Specialty Food, Mediterranean, Coffee & Tea, Middle Eastern, Ethnic Food, Restaurants, Juice Bars & Smoothies, Food, Falafel, Halal",1.0,15.0,Black Seed Cafe & Grill
56,law office,Where can I get food on my way to the law office?,all,3.56,"Sushi Bars, Restaurants, Japanese",2.0,16.0,Symphony Sushi
57,law office,Where can I get food on my way to the law office?,all,4.1,"American (Traditional), Middle Eastern, Halal, Restaurants, Wraps, Mediterranean, Pizza, Turkish, Sandwiches, Ice Cream & Frozen Yogurt, Food",1.0,17.0,Hidyan Mediterranean Grill
58,law office,Where can I get food on my way to the law office?,all,2.9,"Japanese, Sushi Bars, Restaurants",1.0,18.0,Teriyaki House
59,law office,Where can I get food on my way to the law office?,all,3.74,"Japanese, Sushi Bars, Restaurants",2.0,19.0,Fin's Sushi and Grill
