,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholics,restaurants that Catholics would like,all,3.54,"Nightlife, Restaurants, Italian, Pizza, Bars, Wine Bars",2.0,0.0,Brick Oven Restaurant
1,Catholics,restaurants that Catholics would like,all,3.94,"Vegetarian, Breakfast & Brunch, Restaurants, Vegan",2.0,1.0,Mother's Cafe & Garden
2,Catholics,restaurants that Catholics would like,all,3.6,"Bars, Event Planning & Services, American (Traditional), Pizza, Nightlife, Gluten-Free, Restaurants, Arts & Entertainment, Breakfast & Brunch, Food, Party & Event Planning, Brewpubs, Venues & Event Spaces, Breweries, Music Venues",2.0,2.0,North By Northwest Restaurant & Brewery - Stonelake
3,Catholics,restaurants that Catholics would like,all,3.78,"Italian, Gluten-Free, Pizza, Restaurants",2,3.0,Cucina on 35th
4,Catholics,restaurants that Catholics would like,all,3.42,"Sandwiches, Italian, Bars, Caterers, Pizza, Restaurants, Event Planning & Services, Nightlife",2.0,4.0,Brick Oven
5,Catholics,restaurants that Catholics would like,all,4.39,"Restaurants, Pizza, Desserts, Salad, Food, Food Trucks, American (New)",2.0,5.0,Via 313 Pizza - Oak Hill
6,Catholics,restaurants that Catholics would like,all,3.92,"Sandwiches, American (Traditional), American (New), Tex-Mex, Cafes, Restaurants, Diners, Vegetarian, Breakfast & Brunch",2.0,6.0,Kerbey Lane Cafe - Central
7,Catholics,restaurants that Catholics would like,all,4.06,"Italian, Restaurants, Pizza",2.0,7.0,Reale's Italian Cafe
8,Catholics,restaurants that Catholics would like,all,4.44,"American (Traditional), Restaurants, Diners, Coffee & Tea, Breakfast & Brunch, Food",1.0,8.0,Cafe Java- Austin
9,Catholics,restaurants that Catholics would like,all,3.82,"Sandwiches, Italian, Restaurants, Pizza",2.0,9.0,Frank & Angie's
10,Catholics,restaurants that Catholics would like,all,4.0,"Mexican, Restaurants",1.0,10.0,Vazquez Restaurant
11,Catholics,restaurants that Catholics would like,all,3.61,"Restaurants, Mexican",2.0,11.0,Curra's Grill
12,Catholics,restaurants that Catholics would like,all,3.58,"Local Flavor, Event Planning & Services, Restaurants, Mexican",1.0,12.0,El Gallo
13,Catholics,restaurants that Catholics would like,all,2.78,"Food, Pizza, Italian, Gluten-Free, Restaurants, Event Planning & Services, Caterers",2.0,13.0,Buca di Beppo Italian Restaurant
14,Catholics,restaurants that Catholics would like,all,3.14,"Burgers, Restaurants, Ice Cream & Frozen Yogurt, Food",1.0,14.0,Fran's Hamburgers
