,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,girls,restaurants that girls would like,female,4.02,"Bars, Steakhouses, Restaurants, Nightlife, American (Traditional), Local Flavor, Seafood, American (New)",2.0,0.0,Southpark Seafood
1,girls,restaurants that girls would like,female,4.02,"Steakhouses, Seafood, Restaurants, Brazilian",3.0,1.0,Fogo de Chao Brazilian Steakhouse
2,girls,restaurants that girls would like,female,3.19,"Restaurants, Fondue",3.0,2.0,The Melting Pot
3,girls,restaurants that girls would like,female,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,3.0,Andina Restaurant
4,girls,restaurants that girls would like,female,4.29,"Soup, Comfort Food, Specialty Food, Bars, American (Traditional), Venues & Event Spaces, Event Planning & Services, Restaurants, Pizza, Nightlife, Food, Sandwiches, Bakeries, Caterers, Wine Bars, Delis, Beer, Wine & Spirits",2.0,4.0,Elephants Delicatessen
5,girls,restaurants that girls would like,female,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,5.0,Pok Pok
6,girls,restaurants that girls would like,female,4.09,"Restaurants, Sandwiches, Pubs, American (New), Tapas/Small Plates, Brewpubs, Nightlife, Bars, American (Traditional), Breweries, Food",2.0,6.0,Deschutes Brewery Portland Public House
7,girls,restaurants that girls would like,female,4.02,"Nightlife, Desserts, Restaurants, Cocktail Bars, Bars, Food, Breakfast & Brunch, American (New), Bakeries",2.0,7.0,Papa Haydn Northwest
8,girls,restaurants that girls would like,female,3.98,"Restaurants, American (New), Breakfast & Brunch, Steakhouses, Venues & Event Spaces, Buffets, Seafood, American (Traditional), Event Planning & Services",3.0,8.0,Salty's on the Columbia River
9,girls,restaurants that girls would like,female,2.43,"Sushi Bars, Japanese, Buffets, Restaurants",2,9.0,Todai Restaurant
10,girls,restaurants that girls would like,female,4.34,"American (New), Tapas Bars, Breakfast & Brunch, Nightlife, Restaurants, Bars, Steakhouses",2,10.0,Tasty n Alder
11,girls,restaurants that girls would like,female,3.19,"Restaurants, Caterers, Italian, Event Planning & Services, Gluten-Free",2.0,11.0,The Old Spaghetti Factory
12,girls,restaurants that girls would like,female,3.74,"Seafood, American (Traditional), Breakfast & Brunch, Steakhouses, Food, Bars, Beer, Wine & Spirits, Nightlife, Restaurants",4.0,12.0,Urban Farmer
