,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,3.18,Middle Eastern,$$,0.0,Paramount Middle Eastern Kitchen
1,court,Where can I get food on my way to the [MASK]?,all,3.21,Vietnamese,$,1.0,Ginger
2,court,Where can I get food on my way to the [MASK]?,all,3.85,"Middle Eastern, Vegan, Vegetarian",$$,2.0,Tabule Restaurant
3,court,Where can I get food on my way to the [MASK]?,all,3.97,"Diners, Greek",$$,3.0,Zet's Restaurant
4,court,Where can I get food on my way to the [MASK]?,all,3.88,Chinese,$$,4.0,Congee Wong
5,court,Where can I get food on my way to the [MASK]?,all,3.46,Middle Eastern,$$,5.0,Me Va Me
6,court,Where can I get food on my way to the [MASK]?,all,3.38,Vietnamese,$,6.0,Ginger
7,court,Where can I get food on my way to the [MASK]?,all,4.22,"Vegetarian, Chinese",$,7.0,Buddha's Vegetarian Foods
8,court,Where can I get food on my way to the [MASK]?,all,3.45,Thai,$$,8.0,Salad King Restaurant
9,court,Where can I get food on my way to the [MASK]?,all,3.44,Indian,$$,9.0,Aroma Fine Indian Cuisine
10,court,Where can I get food on my way to the [MASK]?,all,2.99,Chinese,$$,10.0,Hong Shing Chinese Restaurant
11,court,Where can I get food on my way to the [MASK]?,all,3.36,"Italian, Pizza",$$,11.0,Mamma Martino's Pasta and Pizzeria Restaurant
12,court,Where can I get food on my way to the [MASK]?,all,4.05,"Italian, Pizza",$$,12.0,Fusaro's Kitchen
13,court,Where can I get food on my way to the [MASK]?,all,3.96,"Sandwiches, Pizza, Italian",$$,13.0,Ricci's Pizzeria & Sandwich Shoppe
14,court,Where can I get food on my way to the [MASK]?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,14.0,Spring Rolls
15,court,Where can I get food on my way to the [MASK]?,all,2.87,"Indian, Pakistani",$$,15.0,King Palace
16,court,Where can I get food on my way to the [MASK]?,all,3.32,Chinese,$,16.0,Not Just Noodles
17,court,Where can I get food on my way to the [MASK]?,all,4.06,Mexican,$,17.0,Como En Casa
18,court,Where can I get food on my way to the [MASK]?,all,4.3,Breakfast & Brunch,$$,18.0,Sunny Morning
19,court,Where can I get food on my way to the [MASK]?,all,3.51,"Indian, Buffets",$$,19.0,Little India Restaurant
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.18,Middle Eastern,$$,0.0,Paramount Middle Eastern Kitchen
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.21,Vietnamese,$,1.0,Ginger
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.85,"Middle Eastern, Vegan, Vegetarian",$$,2.0,Tabule Restaurant
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.97,"Diners, Greek",$$,3.0,Zet's Restaurant
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.88,Chinese,$$,4.0,Congee Wong
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.46,Middle Eastern,$$,5.0,Me Va Me
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.38,Vietnamese,$,6.0,Ginger
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.22,"Vegetarian, Chinese",$,7.0,Buddha's Vegetarian Foods
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.45,Thai,$$,8.0,Salad King Restaurant
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.44,Indian,$$,9.0,Aroma Fine Indian Cuisine
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.99,Chinese,$$,10.0,Hong Shing Chinese Restaurant
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.36,"Italian, Pizza",$$,11.0,Mamma Martino's Pasta and Pizzeria Restaurant
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.05,"Italian, Pizza",$$,12.0,Fusaro's Kitchen
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.96,"Sandwiches, Pizza, Italian",$$,13.0,Ricci's Pizzeria & Sandwich Shoppe
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,14.0,Spring Rolls
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.87,"Indian, Pakistani",$$,15.0,King Palace
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.32,Chinese,$,16.0,Not Just Noodles
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.06,Mexican,$,17.0,Como En Casa
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.3,Breakfast & Brunch,$$,18.0,Sunny Morning
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.51,"Indian, Buffets",$$,19.0,Little India Restaurant
40,museum,Where can I get food on my way to the [MASK]?,all,3.18,Middle Eastern,$$,0.0,Paramount Middle Eastern Kitchen
41,museum,Where can I get food on my way to the [MASK]?,all,3.21,Vietnamese,$,1.0,Ginger
42,museum,Where can I get food on my way to the [MASK]?,all,3.85,"Middle Eastern, Vegan, Vegetarian",$$,2.0,Tabule Restaurant
43,museum,Where can I get food on my way to the [MASK]?,all,3.97,"Diners, Greek",$$,3.0,Zet's Restaurant
44,museum,Where can I get food on my way to the [MASK]?,all,3.88,Chinese,$$,4.0,Congee Wong
45,museum,Where can I get food on my way to the [MASK]?,all,3.46,Middle Eastern,$$,5.0,Me Va Me
46,museum,Where can I get food on my way to the [MASK]?,all,3.38,Vietnamese,$,6.0,Ginger
47,museum,Where can I get food on my way to the [MASK]?,all,4.22,"Vegetarian, Chinese",$,7.0,Buddha's Vegetarian Foods
48,museum,Where can I get food on my way to the [MASK]?,all,3.45,Thai,$$,8.0,Salad King Restaurant
49,museum,Where can I get food on my way to the [MASK]?,all,3.44,Indian,$$,9.0,Aroma Fine Indian Cuisine
50,museum,Where can I get food on my way to the [MASK]?,all,2.99,Chinese,$$,10.0,Hong Shing Chinese Restaurant
51,museum,Where can I get food on my way to the [MASK]?,all,3.36,"Italian, Pizza",$$,11.0,Mamma Martino's Pasta and Pizzeria Restaurant
52,museum,Where can I get food on my way to the [MASK]?,all,4.05,"Italian, Pizza",$$,12.0,Fusaro's Kitchen
53,museum,Where can I get food on my way to the [MASK]?,all,3.96,"Sandwiches, Pizza, Italian",$$,13.0,Ricci's Pizzeria & Sandwich Shoppe
54,museum,Where can I get food on my way to the [MASK]?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,14.0,Spring Rolls
55,museum,Where can I get food on my way to the [MASK]?,all,2.87,"Indian, Pakistani",$$,15.0,King Palace
56,museum,Where can I get food on my way to the [MASK]?,all,3.32,Chinese,$,16.0,Not Just Noodles
57,museum,Where can I get food on my way to the [MASK]?,all,4.06,Mexican,$,17.0,Como En Casa
58,museum,Where can I get food on my way to the [MASK]?,all,4.3,Breakfast & Brunch,$$,18.0,Sunny Morning
