,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.44,"Caterers, Restaurants, Breakfast & Brunch, Southern, Event Planning & Services, Bakeries, Cajun/Creole, Food",2.0,0.0,Screen Door
1,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.28,"Breakfast & Brunch, Seafood, Gluten-Free, American (Traditional), Soup, Restaurants",2.0,1.0,Seasons & Regions Seafood Grill
2,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.24,"Restaurants, Asian Fusion, Japanese, Sushi Bars",2.0,2.0,Bamboo Sushi
3,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.33,"Bars, American (New), Lounges, Nightlife, Restaurants",2.0,3.0,The Observatory
4,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,4.0,Pok Pok
5,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.9,"Basque, Tapas Bars, Spanish, Restaurants, Italian",2.0,5.0,Navarre
6,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.34,"American (New), Tapas Bars, Breakfast & Brunch, Nightlife, Restaurants, Bars, Steakhouses",2,6.0,Tasty n Alder
7,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.25,"Comfort Food, Bakeries, Food, Cuban, Desserts, Breakfast & Brunch, Restaurants, Sandwiches, Latin American, Nightlife, Cocktail Bars, Caribbean, Bars, Empanadas, Beer, Wine & Spirits",2.0,7.0,Pambiche
8,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.39,"French, Restaurants, American (New)",3.0,8.0,Le Pigeon
9,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.31,"French, Bakeries, Breakfast & Brunch, Restaurants, Food",2.0,9.0,Petite Provence
10,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.36,"Basque, Spanish, Tapas Bars, Restaurants",2.0,10.0,Toro Bravo
11,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.96,"Nightlife, Bars, Pizza, Italian, Beer, Wine & Spirits, Wine Bars, Restaurants, Food",2.0,11.0,Nostrana
12,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.02,"Restaurants, Mexican",2.0,12.0,Por Qué No? Taqueria
13,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.09,"Food, Restaurants, Specialty Food, Italian, Pasta Shops",2,13.0,Justa Pasta
14,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.37,"Bars, Nightlife, Breakfast & Brunch, American (New), Restaurants",2.0,14.0,Tasty n Sons
15,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.02,"Nightlife, Desserts, Restaurants, Cocktail Bars, Bars, Food, Breakfast & Brunch, American (New), Bakeries",2.0,15.0,Papa Haydn Northwest
16,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.17,"French, Restaurants",3,16.0,Little Bird Bistro
17,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.25,"Gluten-Free, Coffee & Tea, Desserts, Local Flavor, Vietnamese, Asian Fusion, Food, Restaurants, Thai, Tea Rooms",2.0,17.0,Jade Bistro Teahouse & Patisserie
18,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,18.0,Andina Restaurant
19,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.13,"Restaurants, Bars, American (Traditional), Seafood, American (New), Vegetarian, Italian, Nightlife",2.0,19.0,The Farm Café
20,Christian church,restaurants that I would like on my way to the Christian church,all,3.57,"Food, Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Waffles",2.0,0.0,The Original Pancake House
21,Christian church,restaurants that I would like on my way to the Christian church,all,3.6,"Restaurants, American (Traditional), Soup, Sandwiches, Breakfast & Brunch",1.0,1.0,Pig-N-Pancake
22,Christian church,restaurants that I would like on my way to the Christian church,all,3.99,"Restaurants, Desserts, Breakfast & Brunch, American (Traditional), Food",2.0,2.0,Bannings Restaurant & Pie House
23,Christian church,restaurants that I would like on my way to the Christian church,all,4.11,"Breakfast & Brunch, American (Traditional), Diners, Restaurants",2.0,3.0,Elmer's Restaurant
24,Christian church,restaurants that I would like on my way to the Christian church,all,3.93,"Breakfast & Brunch, Food, Restaurants, Diners, American (Traditional), Cafes",2.0,4.0,Cadillac Cafe
25,Christian church,restaurants that I would like on my way to the Christian church,all,3.73,"Diners, American (Traditional), Restaurants, Breakfast & Brunch",2.0,5.0,Elmer's Restaurant
26,Christian church,restaurants that I would like on my way to the Christian church,all,2.59,"Buffets, Restaurants, American (Traditional), Food, Breakfast & Brunch, American (New), Coffee & Tea",2.0,6.0,HomeTown Buffet
27,Christian church,restaurants that I would like on my way to the Christian church,all,3.88,"Hawaiian, Seafood, Sandwiches, Restaurants",2.0,7.0,Noho's Hawaiian Cafe
28,Christian church,restaurants that I would like on my way to the Christian church,all,4.1,"Diners, American (Traditional), Restaurants, Steakhouses, Breakfast & Brunch",2.0,8.0,Elmer's Restaurant
29,Christian church,restaurants that I would like on my way to the Christian church,all,3.92,"Restaurants, Hawaiian",2.0,9.0,Ohana Hawaiian Cafe
30,Christian church,restaurants that I would like on my way to the Christian church,all,2.76,"Southern, American (Traditional), Breakfast & Brunch, Restaurants",2,10.0,Cracker Barrel Old Country Store
31,Christian church,restaurants that I would like on my way to the Christian church,all,3.74,"Indian, Pakistani, Restaurants, Vegan, Vegetarian, Buffets",2.0,11.0,Swagat Indian Cuisine
32,Christian church,restaurants that I would like on my way to the Christian church,all,4.05,"Cafes, American (New), Breakfast & Brunch, Nightlife, French, Bars, Restaurants, Cocktail Bars, Beer Bar",2.0,12.0,Bijou Cafe
33,Christian church,restaurants that I would like on my way to the Christian church,all,3.05,"Restaurants, Specialty Food, Vegetarian, Soup, American (Traditional), Food, Gluten-Free, Health Markets",2,13.0,Old Wives' Tales
34,Christian church,restaurants that I would like on my way to the Christian church,all,4.28,"Breakfast & Brunch, Seafood, Gluten-Free, American (Traditional), Soup, Restaurants",2.0,14.0,Seasons & Regions Seafood Grill
35,Christian church,restaurants that I would like on my way to the Christian church,all,3.55,"Breakfast & Brunch, Restaurants",2.0,15.0,Hale's Restaurant
36,Christian church,restaurants that I would like on my way to the Christian church,all,3.49,"Buffets, Event Planning & Services, Vegetarian, Nightlife, Indian, Caterers, Bars, Restaurants",2.0,16.0,Namaste Fine Indian Cuisine - Portland
37,Christian church,restaurants that I would like on my way to the Christian church,all,3.88,"Indian, Pakistani, Restaurants",2.0,17.0,New Delhi Restaurant
38,Christian church,restaurants that I would like on my way to the Christian church,all,3.72,"American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Vegetarian, Desserts, Food",2.0,18.0,Marco's Cafe & Espresso Bar
