,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,0.0,Dan's Hamburgers
1,court,Where can I get food on my way to the court?,all,3.6,"Restaurants, Fast Food, Burgers",1.0,1.0,P. Terry's Burger Stand
2,court,Where can I get food on my way to the court?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,2.0,Sandy's Hamburgers
3,court,Where can I get food on my way to the court?,all,4.23,"Mexican, Restaurants",1.0,3.0,Taco-Mex
4,court,Where can I get food on my way to the court?,all,3.69,"Restaurants, Burgers, Fast Food, Food Stands",1.0,4.0,P. Terry's Burger Stand
5,court,Where can I get food on my way to the court?,all,3.94,"Breakfast & Brunch, Vegan, Restaurants, Food Stands, Vegetarian",1.0,5.0,Biscuits and Groovy
6,court,Where can I get food on my way to the court?,all,3.43,"Fast Food, Burgers, Restaurants",1.0,6.0,P. Terry's Burger Stand
7,court,Where can I get food on my way to the court?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,7.0,Ken's Subs Tacos & More
8,court,Where can I get food on my way to the court?,all,4.58,"Food, Restaurants, Breakfast & Brunch, Mexican",1.0,8.0,JR'S Tacos
9,court,Where can I get food on my way to the court?,all,3.68,"Restaurants, Burgers, Fast Food, American (Traditional), Food",1.0,9.0,P. Terry's Burger Stand
10,court,Where can I get food on my way to the court?,all,2.73,"Restaurants, Mexican",1.0,10.0,Taco Shack
11,court,Where can I get food on my way to the court?,all,4.03,"Burgers, Breakfast & Brunch, Restaurants",1.0,11.0,Dan's Hamburgers - Austin
12,court,Where can I get food on my way to the court?,all,4.54,"Restaurants, Food Stands, Tacos, Breakfast & Brunch, Mexican",1.0,12.0,El Primo
13,court,Where can I get food on my way to the court?,all,4.33,"Specialty Food, Salad, Pasta Shops, Food, Restaurants, Food Stands, Pizza",1,13.0,Giovanni's Pizza Stand
14,court,Where can I get food on my way to the court?,all,4.0,"Mexican, Restaurants",1.0,14.0,Super Burrito
15,court,Where can I get food on my way to the court?,all,4.3,"Japanese, Sushi Bars, Food Stands, Food, Restaurants",1.0,15.0,Sushi A-Go-Go
16,court,Where can I get food on my way to the court?,all,4.4,"Restaurants, Mexican, Food Stands, Breakfast & Brunch, Food, Food Trucks",1.0,16.0,Con Madre Kitchen
17,court,Where can I get food on my way to the court?,all,4.7,"Food, Food Trucks, Mexican, Restaurants",1.0,17.0,Mami's Taco's
18,court,Where can I get food on my way to the court?,all,4.43,"Mexican, Restaurants",1.0,18.0,Taqueria Morelos
19,court,Where can I get food on my way to the court?,all,3.46,"Fast Food, Restaurants, Burgers",1.0,19.0,P. Terry's Burger Stand
