,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.84,"Middle Eastern, Persian/Iranian",$$,0.0,Pomegranate Restaurant
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.72,"Asian Fusion, Dim Sum",$$,1.0,Dragon Boat Fusion Cuisine
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.4,"Chinese, Seafood",$$$,2.0,Omei Restaurant
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.71,"Seafood, Cantonese",$$,3.0,Maple Yip Seafood Restaurant
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.89,"Greek, Mediterranean",$$$,4.0,Mamakas Taverna
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.17,Turkish,$$,5.0,Anatolia Restaurant
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.85,"Middle Eastern, Vegan, Vegetarian",$$,6.0,Tabule Restaurant
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.24,Filipino,$$,7.0,CASA manila Restaurant
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.58,"Indian, Bars",$$,8.0,Adrak
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.29,Ethiopian,$$,9.0,Lalibela Ethiopian Restaurant
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.07,"Dim Sum, Venues & Event Spaces",$$,10.0,Skyview Fusion Cuisine
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.87,"Chinese, Seafood",$$$,11.0,Fishman Lobster Clubhouse Restaurant
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.12,"Asian Fusion, Breakfast & Brunch, French",$$,12.0,Inspire Restaurant
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.75,Dim Sum,$$$,13.0,Lai Wah Heen
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.01,Italian,$$,14.0,7 Numbers Restaurant
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,2.84,Italian,$$,15.0,Oliver & Bonacini Café Grill
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.74,"Canadian (New), Sandwiches, Breakfast & Brunch",$$,16.0,Bannock
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.82,"Greek, Mediterranean",$$,17.0,Mezes
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.46,Ethiopian,$$,18.0,Ethiopian House Restaurant
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.06,French,$$$,19.0,Terre Rouge
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.84,"Middle Eastern, Persian/Iranian",$$,0.0,Pomegranate Restaurant
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.47,Dim Sum,$$,1.0,Fancy Chinese Cuisine
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.17,Turkish,$$,2.0,Anatolia Restaurant
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.29,Ethiopian,$$,3.0,Lalibela Ethiopian Restaurant
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.26,Indian,$$,4.0,The Host Fine Indian Cuisine
25,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.32,"Seafood, Steakhouses",$$$,5.0,Peter's Fine Dining Steak and Seafood
26,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.4,"Chinese, Seafood",$$$,6.0,Omei Restaurant
27,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.72,"Asian Fusion, Dim Sum",$$,7.0,Dragon Boat Fusion Cuisine
28,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.51,"Indian, Buffets",$$,8.0,Little India Restaurant
29,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.48,Dim Sum,$$,9.0,Elegance Chinese Cuisine & Banquet
30,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.71,"Seafood, Cantonese",$$,10.0,Maple Yip Seafood Restaurant
31,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.27,"Middle Eastern, Mediterranean, Buffets",$$,11.0,Jerusalem Restaurant
32,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.2,Dim Sum,$$,12.0,Dynasty Chinese Cuisine
33,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.58,"Indian, Bars",$$,13.0,Adrak
34,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.07,"Dim Sum, Venues & Event Spaces",$$,14.0,Skyview Fusion Cuisine
35,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.41,Dim Sum,$$,15.0,Crown Princess Fine Dining
36,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.59,Dim Sum,$$,16.0,Casa Imperial Fine Chinese Cuisine
37,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.85,"Middle Eastern, Vegan, Vegetarian",$$,17.0,Tabule Restaurant
38,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.25,"Russian, Modern European",$$,18.0,Suliko Restaurant
39,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.44,Indian,$$,19.0,Aroma Fine Indian Cuisine
40,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.12,"Asian Fusion, Breakfast & Brunch, French",$$,0.0,Inspire Restaurant
41,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.01,Italian,$$,1.0,7 Numbers Restaurant
42,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.27,"Latin American, Nicaraguan",$$,2.0,La Bella Managua
43,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.83,"Comfort Food, American (Traditional), Seafood",$$,3.0,Smash Kitchen & Bar
