,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,4.0,"Food, Food Trucks, Street Vendors, Restaurants, Food Stands, Thai",1.0,0.0,Sawasdee Thai Food
1,court,Where can I get food on my way to the court?,all,3.08,"Restaurants, Mexican",1.0,1.0,Taste Of Persia
2,court,Where can I get food on my way to the court?,all,3.6,"Food Stands, Food, Restaurants, Food Trucks, Street Vendors, Indian",1.0,2.0,Taste of India
3,court,Where can I get food on my way to the court?,all,3.92,"Indian, Restaurants, Food Trucks, Food Stands, Pakistani, Food",1.0,3.0,New Taste of India
4,court,Where can I get food on my way to the court?,all,4.16,"Food Trucks, Street Vendors, Specialty Food, Food, Imported Food, Mediterranean, Food Stands, Middle Eastern, Restaurants, Ethnic Food, Greek",1.0,4.0,Abu Omar Gyros & Shawarma
5,court,Where can I get food on my way to the court?,all,3.36,"Restaurants, Mexican",1.0,5.0,Los Taquitos
6,court,Where can I get food on my way to the court?,all,2.95,"Bars, Vietnamese, Salad, Restaurants, Nightlife, Cocktail Bars",1.0,6.0,Bambuza
7,court,Where can I get food on my way to the court?,all,4.25,"Food Trucks, Restaurants, Food, Halal, Middle Eastern, Egyptian",1.0,7.0,Gyro Place
8,court,Where can I get food on my way to the court?,all,4.04,"Halal, Food Trucks, Food Stands, Mediterranean, Food, Falafel, Middle Eastern, Restaurants, Egyptian",1.0,8.0,Small Pharoah's
9,court,Where can I get food on my way to the court?,all,4.12,"Mediterranean, Food, Restaurants, Food Trucks",1.0,9.0,Noah Halal
10,court,Where can I get food on my way to the court?,all,3.97,"Pakistani, Food, Restaurants, Food Trucks, Food Stands, Indian",1.0,10.0,Real Taste of India
11,court,Where can I get food on my way to the court?,all,4.54,"Restaurants, Greek, Middle Eastern, Mediterranean",1.0,11.0,Grill On the Go
12,court,Where can I get food on my way to the court?,all,2.57,"Mexican, Restaurants",1.0,12.0,Muchas Gracias
13,court,Where can I get food on my way to the court?,all,4.15,"Restaurants, Food Trucks, Food, Mediterranean",1.0,13.0,Zaalook
14,court,Where can I get food on my way to the court?,all,4.04,"Food, Coffee & Tea, Pakistani, Restaurants, Indian",1.0,14.0,Gandhi's An East Indian Cafe
15,court,Where can I get food on my way to the court?,all,4.04,"Restaurants, Japanese",1.0,15.0,House of Teriyaki
16,court,Where can I get food on my way to the court?,all,3.44,"Vegetarian, Vegan, Sandwiches, Soup, American (New), Fast Food, Restaurants, Wraps, American (Traditional)",1.0,16.0,Cafe Yumm!
17,court,Where can I get food on my way to the court?,all,3.44,"Restaurants, Mediterranean, Halal, Middle Eastern",2.0,17.0,Mandi House
18,court,Where can I get food on my way to the court?,all,3.95,"Food Stands, Chinese, Restaurants",1.0,18.0,Beijing House
19,court,Where can I get food on my way to the court?,all,4.17,"Restaurants, Halal, Greek, Middle Eastern",1.0,19.0,Hush Hush Cafe
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.44,"Vegetarian, Vegan, Sandwiches, Soup, American (New), Fast Food, Restaurants, Wraps, American (Traditional)",1.0,0.0,Cafe Yumm!
21,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.08,"Restaurants, Mexican",1.0,1.0,Taste Of Persia
22,psychiatrist,Where can I get food on my way to the psychiatrist?,all,2.15,"Tex-Mex, Mexican, Fast Food, Tacos, Breakfast & Brunch, Restaurants",1.0,2.0,Taco Bell
