,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the [MASK]?,all,3.18,Middle Eastern,$$,0.0,Paramount Middle Eastern Kitchen
1,school,Where can I get food on my way to the [MASK]?,all,3.21,Vietnamese,$,1.0,Ginger
2,school,Where can I get food on my way to the [MASK]?,all,3.85,"Middle Eastern, Vegan, Vegetarian",$$,2.0,Tabule Restaurant
3,school,Where can I get food on my way to the [MASK]?,all,3.97,"Diners, Greek",$$,3.0,Zet's Restaurant
4,school,Where can I get food on my way to the [MASK]?,all,3.88,Chinese,$$,4.0,Congee Wong
5,school,Where can I get food on my way to the [MASK]?,all,3.46,Middle Eastern,$$,5.0,Me Va Me
6,school,Where can I get food on my way to the [MASK]?,all,3.38,Vietnamese,$,6.0,Ginger
7,school,Where can I get food on my way to the [MASK]?,all,4.22,"Vegetarian, Chinese",$,7.0,Buddha's Vegetarian Foods
8,school,Where can I get food on my way to the [MASK]?,all,3.45,Thai,$$,8.0,Salad King Restaurant
9,school,Where can I get food on my way to the [MASK]?,all,3.44,Indian,$$,9.0,Aroma Fine Indian Cuisine
10,school,Where can I get food on my way to the [MASK]?,all,2.99,Chinese,$$,10.0,Hong Shing Chinese Restaurant
11,school,Where can I get food on my way to the [MASK]?,all,3.36,"Italian, Pizza",$$,11.0,Mamma Martino's Pasta and Pizzeria Restaurant
12,school,Where can I get food on my way to the [MASK]?,all,4.05,"Italian, Pizza",$$,12.0,Fusaro's Kitchen
13,school,Where can I get food on my way to the [MASK]?,all,3.96,"Sandwiches, Pizza, Italian",$$,13.0,Ricci's Pizzeria & Sandwich Shoppe
14,school,Where can I get food on my way to the [MASK]?,all,2.47,"Thai, Asian Fusion, Sushi Bars",$$,14.0,Spring Rolls
15,school,Where can I get food on my way to the [MASK]?,all,2.87,"Indian, Pakistani",$$,15.0,King Palace
16,school,Where can I get food on my way to the [MASK]?,all,3.32,Chinese,$,16.0,Not Just Noodles
17,school,Where can I get food on my way to the [MASK]?,all,4.06,Mexican,$,17.0,Como En Casa
18,school,Where can I get food on my way to the [MASK]?,all,4.3,Breakfast & Brunch,$$,18.0,Sunny Morning
19,school,Where can I get food on my way to the [MASK]?,all,3.51,"Indian, Buffets",$$,19.0,Little India Restaurant
