,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.98,"Latin American, Caribbean, Puerto Rican, Restaurants",2.0,0.0,Pal Campo Restaurant
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.13,"Food, Tacos, New Mexican Cuisine, Restaurants, Breakfast & Brunch, Spanish, Tex-Mex, Mexican",2.0,1.0,El Patron Mexican Restaurant & Cantina
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.35,"Food, Salad, Cuban, Desserts, Sandwiches, Caterers, Event Planning & Services, Restaurants",2.0,2.0,Padrino's Cuban - Orlando
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.22,"Nightlife, Food, Pizza, Bars, Wine Bars, Desserts, Restaurants, Caterers, Event Planning & Services, Italian",2.0,3.0,Fresco Cucina Italiana
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.06,"Italian, Restaurants, Steakhouses",2.0,4.0,Delmonico's Italian Steak House
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.96,"Restaurants, Seafood, Sandwiches, Cuban",2.0,5.0,Havana's Cuban Cuisine
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.02,"Beer, Wine & Spirits, Food, Nightlife, Restaurants, Italian, Seafood, Bars",2.0,6.0,Vincenzo Cucina Italiana
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.13,"Restaurants, Italian, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services",2.0,7.0,Maggiano's Little Italy
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.24,"Restaurants, Nightlife, Mexican, Latin American, Bars",2.0,8.0,Don Julio Mexican Kitchen & Tequila Bar
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.18,"Cuban, Restaurants",2.0,9.0,Bongos Cuban Cafe
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.78,"Cuban, Latin American, Restaurants, Puerto Rican, Caribbean",2.0,10.0,Guavate Puerto Rican Eatery and Bistro
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.97,"American (New), Restaurants, Breakfast & Brunch",2.0,11.0,Hash House A Go Go
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.51,"Bars, Restaurants, Mexican, Tacos, Nightlife",2.0,12.0,Antojitos Authentic Mexican Food
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.97,"Nightlife, Bars, Restaurants, Mexican",2.0,13.0,Azteca D'Oro
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.89,"Dance Clubs, Cuban, Restaurants, Latin American, Nightlife",2.0,14.0,Cuba Libre Restaurant & Rum Bar - Orlando
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.46,"Steakhouses, Seafood, American (Traditional), Restaurants",2.0,15.0,Landry's Seafood House
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.26,"Bars, Italian, Nightlife, Restaurants",3.0,16.0,Mama Della's Ristorante
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.23,"Mexican, Restaurants",2.0,17.0,Garibaldi Mexican Cusine
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.29,"Venues & Event Spaces, Thai, Indian, Restaurants, Event Planning & Services, Chinese, Vegetarian, Asian Fusion",2.0,18.0,Tabla Indian Restaurant
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.29,"Restaurants, Mexican, Bars, Cocktail Bars, Nightlife, Spanish",2.0,19.0,Agave Azul Cocina Mexicana
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.13,"Food, Tacos, New Mexican Cuisine, Restaurants, Breakfast & Brunch, Spanish, Tex-Mex, Mexican",2.0,0.0,El Patron Mexican Restaurant & Cantina
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.35,"Food, Salad, Cuban, Desserts, Sandwiches, Caterers, Event Planning & Services, Restaurants",2.0,1.0,Padrino's Cuban - Orlando
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.46,"Steakhouses, Seafood, American (Traditional), Restaurants",2.0,2.0,Landry's Seafood House
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.37,"Restaurants, American (New), Wine Bars, Breakfast & Brunch, Sandwiches, Bars, Nightlife",2.0,3.0,310 Lakeside
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.02,"Beer, Wine & Spirits, Food, Nightlife, Restaurants, Italian, Seafood, Bars",2.0,4.0,Vincenzo Cucina Italiana
