,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,3.73,"Restaurants, Barbeque",1,0.0,Smokey J's Barbeque
1,court,Where can I get food on my way to the [MASK]?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,1.0,Sandy's Hamburgers
2,court,Where can I get food on my way to the [MASK]?,all,4.04,"Barbeque, Meat Shops, Restaurants, Specialty Food, Food",2.0,2.0,John Mueller Meat Company
3,court,Where can I get food on my way to the [MASK]?,all,2.61,"Restaurants, Fast Food, Burgers",1,3.0,Carl's Jr
4,court,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,4.0,Dan's Hamburgers
5,court,Where can I get food on my way to the [MASK]?,all,4.49,"Food Trucks, Restaurants, Food, Mexican, Tex-Mex, Barbeque",2,5.0,Valentina's Tex Mex BBQ
6,court,Where can I get food on my way to the [MASK]?,all,3.33,"Restaurants, American (Traditional), Food, Barbeque, Sandwiches",2.0,6.0,The Salt Lick BBQ - Austin Airport
7,court,Where can I get food on my way to the [MASK]?,all,2.81,"Barbeque, Restaurants",1.0,7.0,Bill Miller Bar-B-Q
8,court,Where can I get food on my way to the [MASK]?,all,3.5,"Desserts, Mexican, Gluten-Free, Fast Food, Tacos, Restaurants, Burgers, Food Stands, Food, American (Traditional)",1.0,8.0,Hat Creek Burger Company Burnet
9,court,Where can I get food on my way to the [MASK]?,all,2.67,"Food, Grocery, Restaurants, Mexican",1.0,9.0,Senor Buddy's
10,court,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,10.0,Ken's Subs Tacos & More
11,court,Where can I get food on my way to the [MASK]?,all,3.76,"Food, Mexican, Restaurants, Vegetarian, Tex-Mex, Breakfast & Brunch, Tacos",1,11.0,Torchys Tacos
12,court,Where can I get food on my way to the [MASK]?,all,3.72,"Event Planning & Services, Burgers, Barbeque, Restaurants, Steakhouses, Caterers, Breakfast & Brunch",2.0,12.0,Donn's BBQ
13,court,Where can I get food on my way to the [MASK]?,all,3.84,"Burgers, Ice Cream & Frozen Yogurt, Restaurants, Fast Food, Food",1.0,13.0,Dairy Queen
14,court,Where can I get food on my way to the [MASK]?,all,3.43,"Burgers, Restaurants, Fast Food",1,14.0,Hill-Bert's Burgers
15,court,Where can I get food on my way to the [MASK]?,all,3.71,"Restaurants, Seafood, Seafood Markets, Food, Specialty Food",2.0,15.0,Quality Seafood Wholesale
16,court,Where can I get food on my way to the [MASK]?,all,3.35,"Barbeque, Sandwiches, Burgers, American (Traditional), Restaurants",1.0,16.0,Chief's BBQ
17,court,Where can I get food on my way to the [MASK]?,all,2.55,"Burgers, Fast Food, Restaurants, American (Traditional)",1.0,17.0,Whataburger
18,court,Where can I get food on my way to the [MASK]?,all,2.47,"Barbeque, Caterers, Event Planning & Services, Restaurants",1.0,18.0,Bill Miller Bar-B-Q
19,court,Where can I get food on my way to the [MASK]?,all,3.92,"Burgers, Restaurants, American (New), Fast Food",1,19.0,Culver's - Austin
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.73,"Restaurants, Barbeque",1,0.0,Smokey J's Barbeque
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,1.0,Sandy's Hamburgers
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.04,"Barbeque, Meat Shops, Restaurants, Specialty Food, Food",2.0,2.0,John Mueller Meat Company
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.61,"Restaurants, Fast Food, Burgers",1,3.0,Carl's Jr
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,4.0,Dan's Hamburgers
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.49,"Food Trucks, Restaurants, Food, Mexican, Tex-Mex, Barbeque",2,5.0,Valentina's Tex Mex BBQ
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.33,"Restaurants, American (Traditional), Food, Barbeque, Sandwiches",2.0,6.0,The Salt Lick BBQ - Austin Airport
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.81,"Barbeque, Restaurants",1.0,7.0,Bill Miller Bar-B-Q
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.5,"Desserts, Mexican, Gluten-Free, Fast Food, Tacos, Restaurants, Burgers, Food Stands, Food, American (Traditional)",1.0,8.0,Hat Creek Burger Company Burnet
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.67,"Food, Grocery, Restaurants, Mexican",1.0,9.0,Senor Buddy's
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,10.0,Ken's Subs Tacos & More
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.76,"Food, Mexican, Restaurants, Vegetarian, Tex-Mex, Breakfast & Brunch, Tacos",1,11.0,Torchys Tacos
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.72,"Event Planning & Services, Burgers, Barbeque, Restaurants, Steakhouses, Caterers, Breakfast & Brunch",2.0,12.0,Donn's BBQ
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.84,"Burgers, Ice Cream & Frozen Yogurt, Restaurants, Fast Food, Food",1.0,13.0,Dairy Queen
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.43,"Burgers, Restaurants, Fast Food",1,14.0,Hill-Bert's Burgers
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.71,"Restaurants, Seafood, Seafood Markets, Food, Specialty Food",2.0,15.0,Quality Seafood Wholesale
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.35,"Barbeque, Sandwiches, Burgers, American (Traditional), Restaurants",1.0,16.0,Chief's BBQ
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.55,"Burgers, Fast Food, Restaurants, American (Traditional)",1.0,17.0,Whataburger
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.47,"Barbeque, Caterers, Event Planning & Services, Restaurants",1.0,18.0,Bill Miller Bar-B-Q
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.92,"Burgers, Restaurants, American (New), Fast Food",1,19.0,Culver's - Austin
40,museum,Where can I get food on my way to the [MASK]?,all,3.73,"Restaurants, Barbeque",1,0.0,Smokey J's Barbeque
41,museum,Where can I get food on my way to the [MASK]?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,1.0,Sandy's Hamburgers
42,museum,Where can I get food on my way to the [MASK]?,all,4.04,"Barbeque, Meat Shops, Restaurants, Specialty Food, Food",2.0,2.0,John Mueller Meat Company
43,museum,Where can I get food on my way to the [MASK]?,all,2.61,"Restaurants, Fast Food, Burgers",1,3.0,Carl's Jr
44,museum,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,4.0,Dan's Hamburgers
45,museum,Where can I get food on my way to the [MASK]?,all,4.49,"Food Trucks, Restaurants, Food, Mexican, Tex-Mex, Barbeque",2,5.0,Valentina's Tex Mex BBQ
46,museum,Where can I get food on my way to the [MASK]?,all,3.33,"Restaurants, American (Traditional), Food, Barbeque, Sandwiches",2.0,6.0,The Salt Lick BBQ - Austin Airport
47,museum,Where can I get food on my way to the [MASK]?,all,2.81,"Barbeque, Restaurants",1.0,7.0,Bill Miller Bar-B-Q
