,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholics,restaurants that Catholics would like,all,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,0.0,Area Four
1,Catholics,restaurants that Catholics would like,all,4.28,"Breakfast & Brunch, Restaurants, Sandwiches, Beer, Wine & Spirits, Pizza, Italian, Food",2.0,1.0,City Girl Café
2,Catholics,restaurants that Catholics would like,all,3.84,"Cafes, Breakfast & Brunch, Brasseries, Food, American (New), Nightlife, Restaurants, Coffee & Tea, Bars, American (Traditional)",2.0,2.0,Loyal Nine
3,Catholics,restaurants that Catholics would like,all,3.94,"Restaurants, Pizza, Italian, Nightlife, Bars",2.0,3.0,Sulmona
4,Catholics,restaurants that Catholics would like,all,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,4.0,Russell House Tavern
5,Catholics,restaurants that Catholics would like,all,4.05,"Sandwiches, Desserts, Diners, Burgers, American (New), Gluten-Free, Restaurants, Breakfast & Brunch, Comfort Food, Vegan, Food, Vegetarian, Bakeries, American (Traditional)",2.0,5.0,Veggie Galaxy
6,Catholics,restaurants that Catholics would like,all,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,6.0,Mamaleh's Delicatessen
7,Catholics,restaurants that Catholics would like,all,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,7.0,Alden & Harlow
8,Catholics,restaurants that Catholics would like,all,3.94,"Tapas/Small Plates, Restaurants, Nightlife, Seafood, Bars",2.0,8.0,Little Donkey
9,Catholics,restaurants that Catholics would like,all,4.18,"Food, Breakfast & Brunch, Sandwiches, American (New), Coffee & Tea, Restaurants",2.0,9.0,Café Luna
10,Catholics,restaurants that Catholics would like,all,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,10.0,Oleana Restaurant
11,Catholics,restaurants that Catholics would like,all,3.53,"Mexican, Restaurants",2.0,11.0,Olé
12,Catholics,restaurants that Catholics would like,all,3.62,"Mediterranean, Restaurants, Greek",3.0,12.0,The Blue Room
13,Catholics,restaurants that Catholics would like,all,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,13.0,Grafton Street
14,Catholics,restaurants that Catholics would like,all,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,14.0,Brookline Lunch
15,Catholics,restaurants that Catholics would like,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,15.0,Veggie Planet
16,Catholics,restaurants that Catholics would like,all,4.01,"Pizza, Restaurants",2.0,16.0,Emma's
17,Catholics,restaurants that Catholics would like,all,4.35,"Coffee & Tea, Bars, American (New), Sandwiches, Nightlife, Cafes, Breakfast & Brunch, Food, Restaurants, Wine Bars",2.0,17.0,Urban Hearth
18,Catholics,restaurants that Catholics would like,all,3.67,"Burgers, Nightlife, Vegetarian, Restaurants, American (Traditional), Vegan, Bars",2.0,18.0,Christopher's
19,Catholics,restaurants that Catholics would like,all,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,19.0,Orinoco
20,Christians,restaurants that Christians would like,all,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,0.0,Brookline Lunch
21,Christians,restaurants that Christians would like,all,4.06,"Breakfast & Brunch, Food, Grocery, Bakeries, Middle Eastern, Restaurants",2.0,1.0,SOFRA Bakery & Cafe
22,Christians,restaurants that Christians would like,all,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,2.0,Area Four
23,Christians,restaurants that Christians would like,all,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,3.0,Oleana Restaurant
24,Christians,restaurants that Christians would like,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,4.0,Veggie Planet
25,Christians,restaurants that Christians would like,all,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,5.0,Orinoco
26,Christians,restaurants that Christians would like,all,3.76,"Food, Bakeries, Tea Rooms, Cafes, Bars, Ethnic Food, Restaurants, Specialty Food, Hookah Bars, Nightlife, Middle Eastern, Breakfast & Brunch, Coffee & Tea",2.0,6.0,Andala Coffee House
27,Christians,restaurants that Christians would like,all,4.35,"Coffee & Tea, Bars, American (New), Sandwiches, Nightlife, Cafes, Breakfast & Brunch, Food, Restaurants, Wine Bars",2.0,7.0,Urban Hearth
28,Christians,restaurants that Christians would like,all,3.62,"Mediterranean, Restaurants, Greek",3.0,8.0,The Blue Room
29,Christians,restaurants that Christians would like,all,3.96,"Greek, Mediterranean, Restaurants",2.0,9.0,Greek Corner Restaurant
30,Christians,restaurants that Christians would like,all,3.59,"Italian, Restaurants, Bars, Middle Eastern, Mediterranean, Music Venues, American (New), Dance Clubs, Nightlife, Arts & Entertainment, Breakfast & Brunch",2.0,10.0,ZuZu
31,Christians,restaurants that Christians would like,all,3.36,"Arts & Entertainment, Middle Eastern, Restaurants, Food, Bars, Nightlife, Music Venues",2.0,11.0,Middle East Restaurant and Nightclub
32,Christians,restaurants that Christians would like,all,3.83,"Breakfast & Brunch, Seafood, American (Traditional), Restaurants",2.0,12.0,Full Moon
33,Christians,restaurants that Christians would like,all,3.94,"Restaurants, Pizza, Italian, Nightlife, Bars",2.0,13.0,Sulmona
34,Christians,restaurants that Christians would like,all,3.61,"Breakfast & Brunch, Restaurants, Italian, Greek, Mediterranean",2.0,14.0,Singa Bella Cafe
35,Christians,restaurants that Christians would like,all,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,15.0,Mamaleh's Delicatessen
36,Christians,restaurants that Christians would like,all,3.36,"Mediterranean, Greek, Diners, Restaurants, American (Traditional), Breakfast & Brunch, Salad",2.0,16.0,Zoe's
37,Christians,restaurants that Christians would like,all,4.28,"Breakfast & Brunch, Restaurants, Sandwiches, Beer, Wine & Spirits, Pizza, Italian, Food",2.0,17.0,City Girl Café
38,Christians,restaurants that Christians would like,all,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,18.0,Helmand Restaurant
39,Christians,restaurants that Christians would like,all,4.19,"Restaurants, Lebanese, Mediterranean, Event Planning & Services, Kebab, Caterers, Vegetarian, Middle Eastern",2.0,19.0,Cafe Barada
40,Muslims,restaurants that Muslims would like,all,3.88,"Mediterranean, Restaurants, Middle Eastern",2.0,0.0,Aceituna Grill
41,Muslims,restaurants that Muslims would like,all,3.84,"Middle Eastern, Breakfast & Brunch, Restaurants, Bakeries, Food, Seafood, Persian/Iranian, Mediterranean, Vegetarian",2.0,1.0,Kolbeh of Kabob
42,Muslims,restaurants that Muslims would like,all,3.36,"Arts & Entertainment, Middle Eastern, Restaurants, Food, Bars, Nightlife, Music Venues",2.0,2.0,Middle East Restaurant and Nightclub
43,Muslims,restaurants that Muslims would like,all,3.76,"Food, Bakeries, Tea Rooms, Cafes, Bars, Ethnic Food, Restaurants, Specialty Food, Hookah Bars, Nightlife, Middle Eastern, Breakfast & Brunch, Coffee & Tea",2.0,3.0,Andala Coffee House
44,Muslims,restaurants that Muslims would like,all,3.05,"Vegan, Hookah Bars, Bars, Vegetarian, Cafes, Middle Eastern, Ethiopian, Restaurants, Arts & Entertainment, Performing Arts, Nightlife",2.0,4.0,Basha Cafe
45,Muslims,restaurants that Muslims would like,all,4.47,"Tea Rooms, Religious Organizations, Restaurants, Vegetarian, Chinese, Food, Taiwanese",1.0,5.0,Greater Boston Buddhist Cultural Center
46,Muslims,restaurants that Muslims would like,all,4.19,"Restaurants, Lebanese, Mediterranean, Event Planning & Services, Kebab, Caterers, Vegetarian, Middle Eastern",2.0,6.0,Cafe Barada
47,Muslims,restaurants that Muslims would like,all,3.18,"Falafel, Restaurants, Middle Eastern, Mediterranean",1.0,7.0,Falafel Corner
48,Muslims,restaurants that Muslims would like,all,4.06,"Breakfast & Brunch, Food, Grocery, Bakeries, Middle Eastern, Restaurants",2.0,8.0,SOFRA Bakery & Cafe
49,Muslims,restaurants that Muslims would like,all,3.59,"Italian, Restaurants, Bars, Middle Eastern, Mediterranean, Music Venues, American (New), Dance Clubs, Nightlife, Arts & Entertainment, Breakfast & Brunch",2.0,9.0,ZuZu
50,Muslims,restaurants that Muslims would like,all,3.9,"Restaurants, Thai",2.0,10.0,The Similans
51,Muslims,restaurants that Muslims would like,all,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,11.0,Helmand Restaurant
52,Muslims,restaurants that Muslims would like,all,3.76,"Moroccan, Salad, Mediterranean, Vegetarian, African, Restaurants, Middle Eastern",2.0,12.0,Baraka Cafe
53,Muslims,restaurants that Muslims would like,all,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,13.0,Brookline Lunch
54,Muslims,restaurants that Muslims would like,all,2.81,"Italian, Ethiopian, Restaurants",2.0,14.0,Addis Red Sea Ethiopian Restaurant
55,Muslims,restaurants that Muslims would like,all,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,15.0,Veggie Planet
56,Muslims,restaurants that Muslims would like,all,2.72,"Restaurants, Mediterranean, Middle Eastern, Falafel",1.0,16.0,Wrapro Falafel & Grill
