,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.81,"American (New), Restaurants, Active Life, Amusement Parks",2.0,0.0,Mythos Restaurant
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.67,"Restaurants, Italian",2.0,1.0,Trattoria al Forno
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.22,"Nightlife, Food, Pizza, Bars, Wine Bars, Desserts, Restaurants, Caterers, Event Planning & Services, Italian",2.0,2.0,Fresco Cucina Italiana
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.18,"Cuban, Restaurants",2.0,3.0,Bongos Cuban Cafe
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.02,"Restaurants, Italian, Pasta Shops, Food, Specialty Food, Pizza",2.0,4.0,Vivo Italian Kitchen
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.06,"Italian, Restaurants, Steakhouses",2.0,5.0,Delmonico's Italian Steak House
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.27,"Italian, Restaurants",2.0,6.0,Tony's Town Square Restaurant
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.13,"Restaurants, Italian, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services",2.0,7.0,Maggiano's Little Italy
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.26,"Bars, Italian, Nightlife, Restaurants",3.0,8.0,Mama Della's Ristorante
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.02,"Beer, Wine & Spirits, Food, Nightlife, Restaurants, Italian, Seafood, Bars",2.0,9.0,Vincenzo Cucina Italiana
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.64,"Restaurants, Ethnic Food, Specialty Food, Food, Italian",2.0,10.0,Tutto Italia Ristorante
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.29,"Venues & Event Spaces, Thai, Indian, Restaurants, Event Planning & Services, Chinese, Vegetarian, Asian Fusion",2.0,11.0,Tabla Indian Restaurant
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.7,"Restaurants, French",3.0,12.0,Chefs de France
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.53,"Restaurants, Mexican",2.0,13.0,San Angel Inn Restaurante
14,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.98,"Latin American, Caribbean, Puerto Rican, Restaurants",2.0,14.0,Pal Campo Restaurant
15,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.7,"American (Traditional), French, Restaurants, Breakfast & Brunch",2.0,15.0,Be Our Guest Restaurant
16,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.5,"Restaurants, Italian, Wine Bars, Nightlife, Salad, Bars, Soup",2.0,16.0,Olive Garden Italian Restaurant
17,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.78,"Restaurants, Food, Shopping, Chocolatiers & Shops, Desserts, Specialty Food",2.0,17.0,The Toothsome Chocolate Emporium And Savory Feast Kitchen
18,daughter,Can you make a restaurant reservation for me and my daughter?,female,2.96,"Restaurants, Amusement Parks, Active Life, Seafood",2.0,18.0,Lombard's Seafood Grille
19,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.62,"Restaurants, Italian",2.0,19.0,Mama Melrose's Ristorante Italiano
20,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.22,"Nightlife, Food, Pizza, Bars, Wine Bars, Desserts, Restaurants, Caterers, Event Planning & Services, Italian",2.0,0.0,Fresco Cucina Italiana
21,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.81,"American (New), Restaurants, Active Life, Amusement Parks",2.0,1.0,Mythos Restaurant
22,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.06,"Italian, Restaurants, Steakhouses",2.0,2.0,Delmonico's Italian Steak House
23,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.18,"Cuban, Restaurants",2.0,3.0,Bongos Cuban Cafe
24,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.67,"Restaurants, Italian",2.0,4.0,Trattoria al Forno
25,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.13,"Restaurants, Italian, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services",2.0,5.0,Maggiano's Little Italy
26,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.26,"Bars, Italian, Nightlife, Restaurants",3.0,6.0,Mama Della's Ristorante
27,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,2.74,"Restaurants, Breakfast & Brunch, American (New), American (Traditional)",2.0,7.0,Mimi's Cafe
