,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,4.35,"Breakfast & Brunch, Restaurants, Cuban, Event Planning & Services, Cafes, Caterers, Bakeries, Food, Latin American",1.0,0.0,Zaza New Cuban Diner
1,school,Where can I get food on my way to the school?,all,4.42,"Nightlife, Delis, Restaurants, Wine Bars, Cuban, Bars",1.0,1.0,Black Bean Deli
2,school,Where can I get food on my way to the school?,all,4.43,"American (Traditional), American (New), Cafes, Breakfast & Brunch, Restaurants",1.0,2.0,Pearson's Cafe
3,school,Where can I get food on my way to the school?,all,4.14,"American (New), Food, Sandwiches, Convenience Stores, Beer, Wine & Spirits, Breakfast & Brunch, Local Flavor, Restaurants",2.0,3.0,903 Mills Market
4,school,Where can I get food on my way to the school?,all,3.94,"Coffee & Tea, Breakfast & Brunch, Cuban, Restaurants, Food",1.0,4.0,Zaza New Cuban Diner
5,school,Where can I get food on my way to the school?,all,4.11,"Restaurants, Ramen, Noodles, Japanese",1.0,5.0,DOMU Chibi Ramen
6,school,Where can I get food on my way to the school?,all,3.76,"Bakeries, Sandwiches, Food, Breakfast & Brunch, Coffee & Tea, Restaurants",1.0,6.0,Benjamin French Bakery Cafe
7,school,Where can I get food on my way to the school?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,7.0,Hawkers Asian Street Food
8,school,Where can I get food on my way to the school?,all,3.73,"Wine Bars, Restaurants, Bars, Pubs, American (New), Nightlife",2.0,8.0,Dexter's - Thornton Park
9,school,Where can I get food on my way to the school?,all,4.35,"Breakfast & Brunch, Vegan, Vegetarian, Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Food, Specialty Food, Acai Bowls, Coffee & Tea, Gluten-Free",2.0,9.0,The Sanctum Cafe
10,school,Where can I get food on my way to the school?,all,3.65,"Food, Restaurants, Mediterranean",2.0,10.0,Whitewood Mediterranean Grill
11,school,Where can I get food on my way to the school?,all,4.15,"Restaurants, Cafes, Food, Bakeries, Coffee & Tea, Breakfast & Brunch",1.0,11.0,Nuno's Cafe
12,school,Where can I get food on my way to the school?,all,3.81,"Restaurants, American (New), Coffee & Tea, Sandwiches, Food, Breakfast & Brunch, Desserts",1.0,12.0,Coffee Factory and Cafe
13,school,Where can I get food on my way to the school?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,13.0,Infusion Tea
14,school,Where can I get food on my way to the school?,all,4.47,"Sandwiches, Cuban, Breakfast & Brunch, Restaurants",1.0,14.0,Los Autenticos Cuban Cafe
15,school,Where can I get food on my way to the school?,all,3.69,"Cafes, American (Traditional), Breakfast & Brunch, Restaurants",2.0,15.0,First Watch
16,school,Where can I get food on my way to the school?,all,4.03,"Waffles, Food, American (New), Coffee & Tea, Restaurants, Nightlife, Bars, Breakfast & Brunch, American (Traditional), Vegetarian",2.0,16.0,Artisan's Table
17,school,Where can I get food on my way to the school?,all,3.58,"Restaurants, Cuban, Bagels, Coffee & Tea, Food",2.0,17.0,Zaza's Cuban Cafe
18,school,Where can I get food on my way to the school?,all,4.29,"Tapas Bars, Spanish, Bars, Nightlife, Lounges, Restaurants",2.0,18.0,Santiago's Bodega
19,school,Where can I get food on my way to the school?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,19.0,Sofrito Latin Cafe
