,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.71,"Restaurants, Italian, Pizza",2.0,0.0,ASTI Trattoria
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.0,"Pizza, Italian, Venues & Event Spaces, Breakfast & Brunch, Event Planning & Services, Restaurants",2.0,1.0,North Italia
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.64,"Breakfast & Brunch, Food, Desserts, American (Traditional), Food Delivery Services, Restaurants, American (New)",2.0,2.0,Chez Zee American Bistro
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.84,"Coffee & Tea, Cafes, Food, French, Restaurants",2,3.0,Blue Dahlia Bistro
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.09,"Restaurants, Bars, Vegetarian, American (Traditional), Nightlife, Breakfast & Brunch, American (New)",2.0,4.0,Eastside Cafe
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.76,"Wine Bars, Nightlife, Restaurants, Event Planning & Services, Caterers, Italian, Bars",2.0,5.0,Gusto Italian Kitchen & Wine Bar
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.03,"Pizza, Food, Breakfast & Brunch, Restaurants, Italian, Desserts",2,6.0,Enoteca Vespaio
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.07,"Pizza, Restaurants, Italian",2,7.0,La Traviata
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.1,"Restaurants, Breakfast & Brunch, Vegetarian, French, Sandwiches, American (New), Salad",2.0,8.0,Blue Dahlia Bistro
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.85,"Restaurants, Food, Argentine",2.0,9.0,Buenos Aires Café - Este
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.4,"Nightlife, Southern, American (New), Restaurants, American (Traditional), Event Planning & Services, Bars, Caterers",2.0,10.0,Jack Allen's Kitchen Oak Hill
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.78,"Italian, Restaurants, American (New)",3.0,11.0,Olive & June
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.15,"Restaurants, Italian",3.0,12.0,Vespaio Ristorante
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.94,"Vegetarian, Breakfast & Brunch, Restaurants, Vegan",2.0,13.0,Mother's Cafe & Garden
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.79,"Nightlife, Cocktail Bars, Desserts, Italian, Food, Bars, Restaurants",2.0,14.0,Juliet Italian Kitchen
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.43,"Community Service/Non-Profit, Local Services, Soup, Vegetarian, Restaurants, Salad, Gluten-Free, Vegan",2.0,15.0,Casa De Luz
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.42,"Tex-Mex, Breakfast & Brunch, Mexican, Restaurants",2.0,16.0,Manuel's
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.91,"Bars, Pizza, Restaurants, Italian, Nightlife, Wine Bars, American (New)",2.0,17.0,The Grove Wine Bar & Kitchen
