,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Asian,restaurants that Asian would like,all,3.82,"Bars, Desserts, Nightlife, Restaurants, Asian Fusion, Wine Bars, Food, Cocktail Bars, Thai, Vegetarian",2.0,0.0,Sway
1,Asian,restaurants that Asian would like,all,3.53,"Vietnamese, Restaurants, Coffee & Tea, Bars, Bakeries, Nightlife, Breakfast & Brunch, French, Food",2.0,1.0,Elizabeth Street Cafe
2,Asian,restaurants that Asian would like,all,3.79,"Dim Sum, Seafood, Soup, Restaurants, Chinese",2.0,2.0,Wu Chow
3,Asian,restaurants that Asian would like,all,4.25,"Asian Fusion, Breakfast & Brunch, Southern, Restaurants",2.0,3.0,The Peached Tortilla
4,Asian,restaurants that Asian would like,all,3.9,"Asian Fusion, Restaurants, Chinese, Food Delivery Services, Food, Nightlife, Cocktail Bars, Bars",2.0,4.0,Old Thousand
5,Asian,restaurants that Asian would like,all,3.88,"Sushi Bars, Ramen, Food, Breakfast & Brunch, Restaurants, American (New), Japanese",2.0,5.0,Lucky Robot
6,Asian,restaurants that Asian would like,all,4.3,"Vegetarian, Vegan, American (New), Restaurants",2.0,6.0,True Food Kitchen
7,Asian,restaurants that Asian would like,all,4.45,"Restaurants, Japanese, Gluten-Free, Sushi Bars",4.0,7.0,Uchiko
8,Asian,restaurants that Asian would like,all,3.76,"Hot Pot, Chinese, Restaurants",2.0,8.0,Chen Z
9,Asian,restaurants that Asian would like,all,4.21,"Bars, Asian Fusion, Nightlife, Chinese, Restaurants, Dim Sum, Cocktail Bars",2.0,9.0,Lin Asian Bar And Dim Sum
10,Asian,restaurants that Asian would like,all,4.39,"Japanese, Sushi Bars, Wine Bars, Bars, Nightlife, Food, Restaurants, Asian Fusion, Beer, Wine & Spirits, Cocktail Bars",4.0,10.0,Uchi
11,Asian,restaurants that Asian would like,all,3.26,"Restaurants, Chinese, Gluten-Free, Asian Fusion",2.0,11.0,P.F. Chang's
12,Asian,restaurants that Asian would like,all,4.15,"Sushi Bars, Japanese, Restaurants",2.0,12.0,Kome Sushi Kitchen
13,Asian,restaurants that Asian would like,all,4.32,"Restaurants, Seafood, American (New), Nightlife, American (Traditional), Diners, Bars, Steakhouses",3,13.0,Odd Duck
14,Asian,restaurants that Asian would like,all,3.31,"Restaurants, Event Planning & Services, Asian Fusion, Sushi Bars, Chinese, Venues & Event Spaces",3.0,14.0,Imperia
15,Asian,restaurants that Asian would like,all,4.0,"Tapas Bars, Gastropubs, Vegetarian, Restaurants, Beer, Wine & Spirits, American (New), Food",2.0,15.0,Swift's Attic
16,Asian,restaurants that Asian would like,all,3.44,"Restaurants, Bars, Nightlife, Mexican, Tacos",2.0,16.0,La Condesa
17,Asian,restaurants that Asian would like,all,4.33,"Restaurants, Nightlife, American (New), Bars, Gastropubs",3.0,17.0,Barley Swine
18,Asian,restaurants that Asian would like,all,3.96,"Restaurants, Izakaya, Nightlife, Barbeque, Ramen, Cocktail Bars, Food, Japanese, Smokehouse, Bars",2.0,18.0,Kemuri Tatsu-ya
19,Asian,restaurants that Asian would like,all,3.93,"Vietnamese, Restaurants, Asian Fusion",2.0,19.0,Bun Belly
20,Indian,restaurants that Indian would like,all,3.81,"Indian, Seafood, Restaurants, Gluten-Free, Vegan, Vegetarian, Specialty Food, Food, Ethnic Food",2,0.0,New India Cuisine
21,Indian,restaurants that Indian would like,all,3.32,"Restaurants, Indian, Gluten-Free, Halal, Vegetarian",2,1.0,G'Raj Mahal Cafe & Lounge
22,Indian,restaurants that Indian would like,all,3.96,"Buffets, Nightlife, Restaurants, Indian, Bars",2.0,2.0,Bombay Bistro
23,Indian,restaurants that Indian would like,all,3.93,"Vegan, Vegetarian, Indian, Gluten-Free, Restaurants",1,3.0,Tarka Indian Kitchen
24,Indian,restaurants that Indian would like,all,3.86,"American (New), Pakistani, Buffets, Indian, Restaurants",2.0,4.0,Bombay Bistro
25,Indian,restaurants that Indian would like,all,3.74,"Restaurants, Indian, Food, Tex-Mex",2.0,5.0,Nasha
26,Indian,restaurants that Indian would like,all,3.78,"Pakistani, Hot Dogs, Desserts, Food, Restaurants, Indian, Seafood, Party & Event Planning, Bars, Nightlife, Cocktail Bars, Buffets, Event Planning & Services",2.0,6.0,Clay Pit
27,Indian,restaurants that Indian would like,all,4.44,"Ethnic Food, Food, Indian, Beer, Wine & Spirits, Restaurants, Specialty Food",2,7.0,Asiana Indian Cuisine
28,Indian,restaurants that Indian would like,all,3.63,"Pakistani, Kosher, Vegan, Vegetarian, Restaurants, Indian, Buffets",2.0,8.0,Madras Pavilion
29,Indian,restaurants that Indian would like,all,3.76,"Nightlife, Indian, Vegetarian, Buffets, Pakistani, Bars, Caterers, Restaurants, Event Planning & Services, Food, Juice Bars & Smoothies, Party & Event Planning, Seafood",2.0,9.0,Taj Palace
30,Indian,restaurants that Indian would like,all,3.14,"Restaurants, Indian, Grocery, Food",1.0,10.0,Teji's Indian Restaurant and Grocery
31,Indian,restaurants that Indian would like,all,3.63,"Indian, Halal, Restaurants, Food Stands",2.0,11.0,G'Raj Mahal
32,Indian,restaurants that Indian would like,all,3.46,"Buffets, Pakistani, Indian, Restaurants",2.0,12.0,Sarovar Indian Cuisine
33,Indian,restaurants that Indian would like,all,3.93,"Indian, Vegan, Restaurants, Gluten-Free, Vegetarian",1.0,13.0,Tarka Indian Kitchen
34,Indian,restaurants that Indian would like,all,4.18,"Restaurants, Indian",2.0,14.0,Zaika Indian Contemporary Cuisine
35,Indian,restaurants that Indian would like,all,3.72,"Indian, Pakistani, Restaurants",2,15.0,Star Of India
36,Indian,restaurants that Indian would like,all,3.84,"Vegetarian, Indian, Restaurants, Halal",2.0,16.0,Sangam Chettinad Indian Cuisine
37,Indian,restaurants that Indian would like,all,3.73,"Restaurants, Food, Indian",2.0,17.0,Biryani Pot
38,Indian,restaurants that Indian would like,all,4.24,"Desserts, Food, Indian, Pakistani, Restaurants, Vegetarian",1.0,18.0,Bombay Express
39,Indian,restaurants that Indian would like,all,3.75,"Vegan, Vegetarian, Restaurants, Indian",2.0,19.0,Chutney
40,African,restaurants that African would like,all,3.8,"Nightlife, Breakfast & Brunch, Restaurants, Bars, Tex-Mex, Cocktail Bars, Beer, Wine & Spirits, Food",2,0.0,Mi Madre's
41,African,restaurants that African would like,all,3.35,"Korean, Restaurants",2,1.0,Misung 888
42,African,restaurants that African would like,all,3.05,"Breakfast & Brunch, American (Traditional), Restaurants, Diners",1,2.0,Stars Cafe
43,African,restaurants that African would like,all,4.15,"Sushi Bars, Japanese, Restaurants",2.0,3.0,Kome Sushi Kitchen
