,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
1,school,Where can I get food on my way to the school?,all,3.24,"Restaurants, Thai, Chinese",1.0,1.0,Thailand Cafe
2,school,Where can I get food on my way to the school?,all,2.99,"Japanese, Thai, Restaurants, Chinese",2.0,2.0,Beijing Tokyo
3,school,Where can I get food on my way to the school?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,3.0,Spicies Cambridge
4,school,Where can I get food on my way to the school?,all,3.9,"Restaurants, Thai",1.0,4.0,Rod Dee
5,school,Where can I get food on my way to the school?,all,2.75,"Chinese, Noodles, Restaurants",1.0,5.0,Noodle Stix
6,school,Where can I get food on my way to the school?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,6.0,Beantown Taqueria
7,school,Where can I get food on my way to the school?,all,3.23,"Asian Fusion, Food, Restaurants, Ethnic Food, Specialty Food, Thai",2.0,7.0,Nine Tastes
8,school,Where can I get food on my way to the school?,all,3.68,"Food Trucks, Food Stands, Sandwiches, Asian Fusion, Street Vendors, Restaurants, Vietnamese, Food",1.0,8.0,Bon Me - Harvard Truck
9,school,Where can I get food on my way to the school?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,9.0,Flat Patties
10,school,Where can I get food on my way to the school?,all,3.65,"Mexican, Restaurants",1.0,10.0,Felipe's Taqueria
11,school,Where can I get food on my way to the school?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,11.0,Bon Me - One Kendall Square
12,school,Where can I get food on my way to the school?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,12.0,Mass Ave Diner
13,school,Where can I get food on my way to the school?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,13.0,Cafe Dilara
14,school,Where can I get food on my way to the school?,all,3.71,"Asian Fusion, Korean, Seafood, Restaurants, Vietnamese",2.0,14.0,Chocho's
15,school,Where can I get food on my way to the school?,all,3.33,"Vietnamese, Restaurants",2.0,15.0,Le's Restaurant
16,school,Where can I get food on my way to the school?,all,3.74,"Pizza, Sandwiches, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Caterers, Restaurants, Cafes, Delis",1.0,16.0,Cafe Kiraz
17,school,Where can I get food on my way to the school?,all,3.51,"Thai, Restaurants",1.0,17.0,CurryThai Restaurant
18,school,Where can I get food on my way to the school?,all,3.16,"Asian Fusion, Korean, Barbeque, Chicken Wings, Restaurants",2.0,18.0,Bonchon Cambridge
19,school,Where can I get food on my way to the school?,all,2.92,"Grocery, Beer, Wine & Spirits, Specialty Food, Fruits & Veggies, Delis, Bakeries, Restaurants, Food",3.0,19.0,Broadway Marketplace
20,university,Where can I get food on my way to the university?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
21,university,Where can I get food on my way to the university?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,1.0,Bon Me - One Kendall Square
22,university,Where can I get food on my way to the university?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
23,university,Where can I get food on my way to the university?,all,3.23,"Asian Fusion, Food, Restaurants, Ethnic Food, Specialty Food, Thai",2.0,3.0,Nine Tastes
24,university,Where can I get food on my way to the university?,all,3.9,"Restaurants, Thai",1.0,4.0,Rod Dee
25,university,Where can I get food on my way to the university?,all,3.24,"Restaurants, Thai, Chinese",1.0,5.0,Thailand Cafe
