,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.0,"Pizza, Italian, Venues & Event Spaces, Breakfast & Brunch, Event Planning & Services, Restaurants",2.0,0.0,North Italia
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.84,"Coffee & Tea, Cafes, Food, French, Restaurants",2,1.0,Blue Dahlia Bistro
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.4,"Nightlife, Southern, American (New), Restaurants, American (Traditional), Event Planning & Services, Bars, Caterers",2.0,2.0,Jack Allen's Kitchen Oak Hill
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.07,"Pizza, Restaurants, Italian",2,3.0,La Traviata
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.64,"Breakfast & Brunch, Food, Desserts, American (Traditional), Food Delivery Services, Restaurants, American (New)",2.0,4.0,Chez Zee American Bistro
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.99,"Restaurants, Steakhouses, American (New), American (Traditional)",2.0,5.0,Roaring Fork
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.72,"Tex-Mex, Nightlife, Bars, Restaurants, Mexican",2.0,6.0,Z'Tejas - Austin 6 STREET
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.42,"Tex-Mex, Breakfast & Brunch, Mexican, Restaurants",2.0,7.0,Manuel's
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.03,"Pizza, Food, Breakfast & Brunch, Restaurants, Italian, Desserts",2,8.0,Enoteca Vespaio
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.07,"Seafood, American (Traditional), Barbeque, Restaurants, Steakhouses, American (New), Gluten-Free, Burgers",3.0,9.0,Bartlett's
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.3,"American (Traditional), Southern, Restaurants, Tex-Mex, American (New)",2.0,10.0,Jack Allen's Kitchen 360
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.15,"Restaurants, Italian",3.0,11.0,Vespaio Ristorante
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.71,"Restaurants, Italian, Pizza",2.0,12.0,ASTI Trattoria
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.79,"Nightlife, Cocktail Bars, Desserts, Italian, Food, Bars, Restaurants",2.0,13.0,Juliet Italian Kitchen
