,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,3.19,"Italian, Restaurants",2.0,0.0,Vinito Ristorante
1,court,Where can I get food on my way to the court?,all,4.06,"Bakeries, Coffee & Tea, Cuban, Food, Restaurants",1.0,1.0,Havana Bistro and Café
2,court,Where can I get food on my way to the court?,all,3.78,"Restaurants, Bakeries, Creperies, Food, Breakfast & Brunch, Cafeteria",1.0,2.0,Icafe De Paris
3,court,Where can I get food on my way to the court?,all,2.39,"Mexican, Restaurants, Nightlife, Tex-Mex, Barbeque, Bars",2.0,3.0,On The Border
4,court,Where can I get food on my way to the court?,all,3.87,"Caribbean, Nightlife, Bars, Laotian, Seafood, Latin American, American (New), Restaurants",2.0,4.0,Bahama Breeze
5,court,Where can I get food on my way to the court?,all,3.78,"Restaurants, Food, Chicken Wings, Bubble Tea, Coffee & Tea",1.0,5.0,Zero Degrees
6,court,Where can I get food on my way to the court?,all,3.5,"Restaurants, Salad, Seafood, Mexican",2.0,6.0,Rubio's Coastal Grill
7,court,Where can I get food on my way to the court?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,7.0,Sofrito Latin Cafe
8,court,Where can I get food on my way to the court?,all,3.8,"Pizza, Salad, American (New), American (Traditional), Desserts, Soup, Food, Restaurants",2.0,8.0,California Pizza Kitchen at Waterford Lakes
9,court,Where can I get food on my way to the court?,all,3.18,"Cuban, Restaurants",2.0,9.0,Bongos Cuban Cafe
10,court,Where can I get food on my way to the court?,all,3.83,"Restaurants, Salad, Pizza, American (New), American (Traditional)",2.0,10.0,California Pizza Kitchen at Millenia Mall
11,court,Where can I get food on my way to the court?,all,4.29,"Restaurants, Mexican, Bars, Cocktail Bars, Nightlife, Spanish",2.0,11.0,Agave Azul Cocina Mexicana
12,court,Where can I get food on my way to the court?,all,4.03,"Laotian, Latin American, Caribbean, Restaurants, Seafood, Nightlife, Bars",2.0,12.0,Bahama Breeze
13,court,Where can I get food on my way to the court?,all,3.78,"Mexican, Tex-Mex, Restaurants",1.0,13.0,Tijuana Flats
14,court,Where can I get food on my way to the court?,all,3.58,"Restaurants, Cuban, Bagels, Coffee & Tea, Food",2.0,14.0,Zaza's Cuban Cafe
15,court,Where can I get food on my way to the court?,all,3.87,"Mexican, Restaurants",2.0,15.0,El Potro
16,court,Where can I get food on my way to the court?,all,3.81,"Specialty Food, Latin American, Dominican, Breakfast & Brunch, Caribbean, Restaurants, Food",2.0,16.0,Chimiking Restaurant
