,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,1.65,"Chinese, Restaurants, Asian Fusion",1.0,0.0,Asian Chao
1,court,Where can I get food on my way to the court?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,1.0,Tin Drum Asian Kitchen - Georgia Tech
2,court,Where can I get food on my way to the court?,all,2.01,"Fast Food, Chicken Wings, Restaurants",1.0,2.0,Popeyes Louisiana Kitchen
3,court,Where can I get food on my way to the court?,all,3.82,"Vietnamese, Salad, Noodles, Restaurants",2.0,3.0,Dua Vietnamese
4,court,Where can I get food on my way to the court?,all,3.34,"Sandwiches, Chicken Wings, Cajun/Creole, American (Traditional), Fast Food, Restaurants",1.0,4.0,Popeyes Louisiana Kitchen
5,court,Where can I get food on my way to the court?,all,2.42,"Chicken Wings, Fast Food, Restaurants",1.0,5.0,Popeyes Louisiana Kitchen
6,court,Where can I get food on my way to the court?,all,3.46,"Specialty Food, Grocery, Hot Dogs, Diners, Scandinavian, Restaurants, Food, Ethnic Food, Salad, Breakfast & Brunch, Cafeteria",1.0,6.0,IKEA Restaurant
7,court,Where can I get food on my way to the court?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,7.0,McDonald's
8,court,Where can I get food on my way to the court?,all,3.13,"American (Traditional), American (New), Restaurants, Chicken Wings, Chicken Shop",1.0,8.0,Hop's Chicken
9,court,Where can I get food on my way to the court?,all,1.82,"Chinese, Vietnamese, Thai, Restaurants",1.0,9.0,Lucky Buddha
10,court,Where can I get food on my way to the court?,all,3.28,"Restaurants, Caribbean, American (New), Food",2.0,10.0,Jamrock Jerk Center
11,court,Where can I get food on my way to the court?,all,2.71,"Restaurants, Soul Food, Seafood, Southern",1.0,11.0,Sisters  - Atlanta
12,court,Where can I get food on my way to the court?,all,2.93,"Thai, Vegetarian, Restaurants, Asian Fusion, Chinese, Gluten-Free",1.0,12.0,Tin Drum Asian Kitchen - Lindbergh Plaza
13,court,Where can I get food on my way to the court?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,13.0,Tin Drum Asian Kitchen - Atlantic Station
14,court,Where can I get food on my way to the court?,all,2.32,"Chinese, Thai, Asian Fusion, Japanese, Restaurants",1,14.0,Tin Drum Asian Kitchen - Akers Mill Square
15,court,Where can I get food on my way to the court?,all,3.96,"Food, Food Trucks, Soul Food, Restaurants, Caribbean",1,15.0,Tastee Spoon
