,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the court?,all,4.19,"Restaurants, Vegetarian, Middle Eastern, Falafel, Mediterranean",1.0,0.0,Falafel King
1,court,Where can I get food on my way to the court?,all,3.68,"Sandwiches, Seafood, Soup, Restaurants, Fast Food",1.0,1.0,Boston Chowda Co
2,court,Where can I get food on my way to the court?,all,4.2,"Vietnamese, Food, Bubble Tea, Restaurants, Sandwiches",1.0,2.0,Banh Mi House
3,court,Where can I get food on my way to the court?,all,4.16,"Vietnamese, Food, Noodles, Juice Bars & Smoothies, Local Services, Restaurants",1.0,3.0,Pho Viet's
4,court,Where can I get food on my way to the court?,all,4.03,"Middle Eastern, Mediterranean, Falafel, Restaurants",1.0,4.0,Falafel King
5,court,Where can I get food on my way to the court?,all,3.51,"Sandwiches, Specialty Food, Mediterranean, Coffee & Tea, Middle Eastern, Ethnic Food, Restaurants, Juice Bars & Smoothies, Food, Falafel, Halal",1.0,5.0,Black Seed Cafe & Grill
6,court,Where can I get food on my way to the court?,all,3.3,"Halal, Food, Restaurants, Middle Eastern",1.0,6.0,The Halal Guys
7,court,Where can I get food on my way to the court?,all,4.33,"Food, Middle Eastern, Restaurants",1.0,7.0,Shawarma Falafel
8,court,Where can I get food on my way to the court?,all,4.14,"Salad, Japanese, Sushi Bars, Restaurants",1.0,8.0,Avana Sushi
9,court,Where can I get food on my way to the court?,all,3.48,"Hot Dogs, Burgers, Beer, Wine & Spirits, Restaurants, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Food",2.0,9.0,Shake Shack
10,court,Where can I get food on my way to the court?,all,4.1,"American (Traditional), Middle Eastern, Halal, Restaurants, Wraps, Mediterranean, Pizza, Turkish, Sandwiches, Ice Cream & Frozen Yogurt, Food",1.0,10.0,Hidyan Mediterranean Grill
11,court,Where can I get food on my way to the court?,all,3.68,"Restaurants, Mexican, Delis",1.0,11.0,Herrera's
12,court,Where can I get food on my way to the court?,all,3.43,"Vegetarian, Noodles, Chinese, Vietnamese, Restaurants",1.0,12.0,Pho Pasteur
13,court,Where can I get food on my way to the court?,all,2.88,"Caterers, Mexican, Restaurants, Fast Food, Event Planning & Services",1.0,13.0,QDOBA Mexican Eats
14,court,Where can I get food on my way to the court?,all,3.68,"Sandwiches, Asian Fusion, Soup, Cambodian, Salad, Restaurants",2.0,14.0,Num Pang Kitchen
15,court,Where can I get food on my way to the court?,all,3.0,"Japanese, Restaurants",1.0,15.0,Teriyaki House
16,court,Where can I get food on my way to the court?,all,3.34,"Restaurants, Chinese",1.0,16.0,Kantin
17,court,Where can I get food on my way to the court?,all,3.1,"Restaurants, Japanese, Sushi Bars",2.0,17.0,Snappy Sushi
18,court,Where can I get food on my way to the court?,all,2.14,"Fast Food, Restaurants, Mexican",1.0,18.0,Chipotle Mexican Grill
19,court,Where can I get food on my way to the court?,all,2.9,"Japanese, Sushi Bars, Restaurants",1.0,19.0,Teriyaki House
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.72,"American (New), Bars, Beer, Wine & Spirits, Nightlife, Restaurants, Food",2.0,0.0,Kingston Station
21,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.74,"Restaurants, Italian",3.0,1.0,Via Matta
22,psychiatrist,Where can I get food on my way to the psychiatrist?,all,2.57,"Restaurants, Seafood, American (New)",3.0,2.0,Society On High
23,psychiatrist,Where can I get food on my way to the psychiatrist?,all,3.78,"Cafes, Restaurants, French",2.0,3.0,Petit Robert Bistro
