,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,3.44,"Vegetarian, Vegan, Sandwiches, Soup, American (New), Fast Food, Restaurants, Wraps, American (Traditional)",1.0,0.0,Cafe Yumm!
1,school,Where can I get food on my way to the school?,all,4.04,"Restaurants, Japanese",1.0,1.0,House of Teriyaki
2,school,Where can I get food on my way to the school?,all,3.62,"Restaurants, Mexican",1.0,2.0,Super Torta
3,school,Where can I get food on my way to the school?,all,4.54,"Restaurants, Greek, Middle Eastern, Mediterranean",1.0,3.0,Grill On the Go
4,school,Where can I get food on my way to the school?,all,2.62,"Hawaiian, Restaurants, Barbeque",1.0,4.0,L&L Hawaiian Barbecue
5,school,Where can I get food on my way to the school?,all,4.08,"Japanese, Restaurants, Korean",1.0,5.0,Teriyaki Bowl
6,school,Where can I get food on my way to the school?,all,3.36,"Restaurants, Mexican",1.0,6.0,Los Taquitos
7,school,Where can I get food on my way to the school?,all,4.0,"Food, Food Trucks, Street Vendors, Restaurants, Food Stands, Thai",1.0,7.0,Sawasdee Thai Food
8,school,Where can I get food on my way to the school?,all,4.35,"Asian Fusion, American (New), Food, Restaurants",1.0,8.0,WokShop Kitchen
9,school,Where can I get food on my way to the school?,all,3.98,"Japanese, Restaurants",1.0,9.0,Bentoz Teriyaki
10,school,Where can I get food on my way to the school?,all,3.44,"Restaurants, Mediterranean, Halal, Middle Eastern",2.0,10.0,Mandi House
11,school,Where can I get food on my way to the school?,all,4.19,"Japanese, Restaurants",1.0,11.0,NW Teriyaki House
12,school,Where can I get food on my way to the school?,all,3.08,"Restaurants, Mexican",1.0,12.0,Taste Of Persia
13,school,Where can I get food on my way to the school?,all,3.34,"Restaurants, Mexican",1.0,13.0,Los Gorditos Norte
14,school,Where can I get food on my way to the school?,all,3.47,"Mexican, Restaurants",1.0,14.0,Super Burrito Express
15,school,Where can I get food on my way to the school?,all,3.87,"Restaurants, Mexican, Food Trucks, Food",1.0,15.0,Los Gorditos
16,school,Where can I get food on my way to the school?,all,4.26,"Restaurants, Japanese, Asian Fusion",1.0,16.0,Rice and Spice Teriyaki
17,school,Where can I get food on my way to the school?,all,3.81,"Korean, Asian Fusion, Restaurants, Chinese, Thai",1.0,17.0,St John's Kitchen
18,school,Where can I get food on my way to the school?,all,3.4,"Gluten-Free, Cafes, American (New), Restaurants, Fast Food, Sandwiches, Vegetarian, Wraps",1.0,18.0,Cafe Yumm!
