,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.99,"Nightlife, Steakhouses, American (Traditional), Restaurants, Seafood, Bars, Wine Bars",2.0,1.0,Firebirds Wood Fired Grill
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,2.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.3,"Food, American (New), Steakhouses, American (Traditional), Wine Bars, Bars, Nightlife, Seafood, Restaurants",2.0,3.0,J. Alexander's Restaurant
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.2,"Pizza, American (New), Breakfast & Brunch, Nightlife, Restaurants, Italian, American (Traditional), Bars, Cocktail Bars",2.0,4.0,Forno Kitchen + Bar
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.2,"Restaurants, Italian",3.0,5.0,Martini Modern Italian
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.01,"Burgers, American (Traditional), Restaurants, Breakfast & Brunch",3.0,6.0,RH Rooftop Restaurant Columbus
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.9,"Italian, Restaurants, Nightlife, Salad, Bars",2.0,7.0,Marcella's Columbus - Polaris
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.02,"Lounges, Bars, Seafood, Steakhouses, Nightlife, American (Traditional), Restaurants, Sushi Bars",3.0,8.0,Black Point
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.14,"Tapas Bars, Italian, Restaurants, Bars, Nightlife, Wine Bars",2.0,9.0,Marcella's Columbus - Short North
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.34,"American (New), Restaurants",3.0,10.0,Third and Hollywood
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.96,"Steakhouses, Restaurants, American (New), Seafood",2.0,11.0,The Guild House
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.77,"Steakhouses, Restaurants, Seafood, American (New)",2.0,12.0,Redlands Grill by J. Alexander's
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.38,"Steakhouses, American (New), Seafood, Restaurants",3.0,13.0,Mitchell's Ocean Club
14,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.24,"American (New), Sandwiches, Event Planning & Services, Restaurants, Breweries, Food, Venues & Event Spaces, Tapas/Small Plates",2.0,14.0,Wolf's Ridge Brewing
15,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.93,"Restaurants, Gastropubs, Nightlife, American (New), Pubs, Bars",2.0,15.0,Matt The Miller's Tavern
16,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.52,"French, Italian, Nightlife, Pizza, Bars, Beer, Wine & Spirits, Breakfast & Brunch, Wine Bars, Modern European, Restaurants, German, Food",2.0,16.0,Spagio Pizza & Spa Kitchen
17,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.81,"Restaurants, Sushi Bars, Thai, Asian Fusion",2.0,17.0,Lemon Grass Fusion Bistro
18,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.13,"Seafood, Breakfast & Brunch, American (New), Restaurants",2.0,18.0,The Pearl
