,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,0.0,Helmand Restaurant
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,1.0,Oleana Restaurant
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.95,"Restaurants, Pizza, Italian",2.0,2.0,Gran Gusto
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.27,"Event Planning & Services, Dim Sum, Party & Event Planning, Restaurants, Chinese, American (New), American (Traditional), French",4.0,3.0,Salts Restaurant
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.02,"Mediterranean, Food, Grocery, Restaurants",2.0,4.0,Moona
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.37,"Restaurants, Wine Bars, Bars, Italian, Nightlife, Cocktail Bars",3.0,5.0,Giulia
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,6.0,The Red House
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.0,"Restaurants, Italian",3.0,7.0,Benedetto
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.17,"Italian, Restaurants",2.0,8.0,L'Impasto
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,9.0,Muqueca Restaurant
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.72,"Restaurants, Breakfast & Brunch, American (New)",4.0,10.0,The Table at Season to Taste
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.94,"Greek, American (Traditional), Mediterranean, Restaurants",2.0,11.0,Desfina Restaurant
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,12.0,Harvest
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.34,"Italian, American (New), Restaurants",3.0,13.0,Pammy's
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,2.81,"Italian, Ethiopian, Restaurants",2.0,14.0,Addis Red Sea Ethiopian Restaurant
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.38,"French, Restaurants",3.0,15.0,Sandrine's
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.59,"Seafood, Portuguese, Restaurants",2.0,16.0,Casa Portugal
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.09,"Bars, American (New), Restaurants, Nightlife",3.0,17.0,Ten Tables
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.16,"Breakfast & Brunch, Restaurants, American (New), French",3.0,18.0,T.W. Food
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.35,"Coffee & Tea, Bars, American (New), Sandwiches, Nightlife, Cafes, Breakfast & Brunch, Food, Restaurants, Wine Bars",2.0,19.0,Urban Hearth
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,0.0,Helmand Restaurant
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,1.0,Oleana Restaurant
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.27,"Event Planning & Services, Dim Sum, Party & Event Planning, Restaurants, Chinese, American (New), American (Traditional), French",4.0,2.0,Salts Restaurant
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.02,"Mediterranean, Food, Grocery, Restaurants",2.0,3.0,Moona
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.37,"Restaurants, Wine Bars, Bars, Italian, Nightlife, Cocktail Bars",3.0,4.0,Giulia
25,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.72,"Restaurants, Breakfast & Brunch, American (New)",4.0,5.0,The Table at Season to Taste
26,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.95,"Restaurants, Pizza, Italian",2.0,6.0,Gran Gusto
27,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.0,"Restaurants, Italian",3.0,7.0,Benedetto
28,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,8.0,Harvest
29,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.09,"Bars, American (New), Restaurants, Nightlife",3.0,9.0,Ten Tables
30,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.02,"Dinner Theater, Wine Bars, Diners, Restaurants, Nightlife, Bars, Cocktail Bars, American (New)",3.0,10.0,Forage
31,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.74,"Restaurants, American (New), Italian",3.0,11.0,Rendezvous In Central Square
32,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,12.0,The Red House
33,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,13.0,Muqueca Restaurant
34,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,14.0,Alden & Harlow
35,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.99,"Restaurants, French, American (New)",4.0,15.0,Bondir Cambridge
36,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.16,"Breakfast & Brunch, Restaurants, American (New), French",3.0,16.0,T.W. Food
37,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.38,"French, Restaurants",3.0,17.0,Sandrine's
38,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.17,"Italian, Restaurants",2.0,18.0,L'Impasto
39,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.62,"Mediterranean, Restaurants, Greek",3.0,19.0,The Blue Room
