,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.83,"Comfort Food, American (Traditional), Seafood",$$,0.0,Smash Kitchen & Bar
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.09,"Portuguese, Spanish",$$$,1.0,Adega Restaurante
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.28,Italian,$$$,2.0,Marinellas Italian Restaurant
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.01,Italian,$$,3.0,7 Numbers Restaurant
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.11,"Greek, Mediterranean",$$,4.0,Pantheon Restaurant
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.27,"Latin American, Nicaraguan",$$,5.0,La Bella Managua
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.84,"Middle Eastern, Persian/Iranian",$$,6.0,Pomegranate Restaurant
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,2.85,Italian,$$,7.0,Jamie's Italian
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.85,"Middle Eastern, Vegan, Vegetarian",$$,8.0,Tabule Restaurant
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.1,Asian Fusion,$$$,9.0,Lee Restaurant
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.58,"Indian, Bars",$$,10.0,Adrak
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.74,"Canadian (New), Sandwiches, Breakfast & Brunch",$$,11.0,Bannock
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.5,"Italian, Bars, Venues & Event Spaces",$$,12.0,Hot House Restaurant & Bar
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.44,Indian,$$,13.0,Aroma Fine Indian Cuisine
14,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.1,"Buffets, Italian",$$,14.0,Frankie Tomatto's
15,daughter,Can you make a restaurant reservation for me and my daughter?,female,2.84,Italian,$$,15.0,Oliver & Bonacini Café Grill
16,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.46,"Halal, Pakistani",$$,16.0,Lahore Tikka House
17,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.48,"Greek, Sandwiches",$$,17.0,Messini Authentic Gyros
