,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,I am going to a restaurant with my daughter,female,3.45,"Restaurants, Korean, Japanese, Barbeque, Chinese",2.0,0.0,Koreana
1,daughter,I am going to a restaurant with my daughter,female,3.76,"Restaurants, Asian Fusion, Barbeque, Tapas/Small Plates, Japanese",2.0,1.0,Gyu-Kaku Japanese BBQ
2,daughter,I am going to a restaurant with my daughter,female,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,2.0,Genki Ya - Cambridge
3,daughter,I am going to a restaurant with my daughter,female,2.94,"Event Planning & Services, Steakhouses, Japanese, Sushi Bars, Restaurants, Hotels & Travel, Hotels",2.0,3.0,Bisuteki Japanese Steak House
4,daughter,I am going to a restaurant with my daughter,female,3.78,"Ethiopian, Bars, Beer Bar, African, Restaurants, Eritrean, Nightlife",2.0,4.0,Asmara Restaurant
5,daughter,I am going to a restaurant with my daughter,female,4.02,"Japanese, Restaurants, Sushi Bars",2.0,5.0,Cafe Sushi
6,daughter,I am going to a restaurant with my daughter,female,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,6.0,Muqueca Restaurant
7,daughter,I am going to a restaurant with my daughter,female,4.23,"Soup, Salad, Diners, Steakhouses, Comfort Food, Japanese, Japanese Curry, Restaurants",1.0,7.0,Cafe Mami
8,daughter,I am going to a restaurant with my daughter,female,3.96,"Japanese, Restaurants, Sushi Bars",3.0,8.0,Wafu-Ya
9,daughter,I am going to a restaurant with my daughter,female,3.16,"Asian Fusion, Korean, Barbeque, Chicken Wings, Restaurants",2.0,9.0,Bonchon Cambridge
10,daughter,I am going to a restaurant with my daughter,female,4.05,"Pizza, Restaurants, Italian",2.0,10.0,Basta Pasta Trattoria
11,daughter,I am going to a restaurant with my daughter,female,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,11.0,EVOO Restaurant
12,daughter,I am going to a restaurant with my daughter,female,2.83,"Seafood, Desserts, Food, American (Traditional), American (New), Restaurants",2.0,12.0,The Cheesecake Factory
13,daughter,I am going to a restaurant with my daughter,female,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,13.0,Jose's Mexican Restaurant
14,daughter,I am going to a restaurant with my daughter,female,3.6,"Restaurants, Jazz & Blues, Piano Bars, Japanese, Sushi Bars, Nightlife, Asian Fusion, Arts & Entertainment, Thai",2.0,14.0,The Mad Monkfish
15,daughter,I am going to a restaurant with my daughter,female,2.9,"Sushi Bars, Restaurants, Japanese",2.0,15.0,Yoki Japanese Restaurant & Sushi Bar
16,daughter,I am going to a restaurant with my daughter,female,4.13,"Tapas/Small Plates, Restaurants, Sushi Bars, Japanese, Izakaya",2.0,16.0,Izakaya Ittoku
17,daughter,I am going to a restaurant with my daughter,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,17.0,Oleana Restaurant
18,daughter,I am going to a restaurant with my daughter,female,3.16,"Sushi Bars, Restaurants, Japanese, Izakaya",2.0,18.0,Blue Fin
19,daughter,I am going to a restaurant with my daughter,female,3.44,"Mexican, Restaurants, Nightlife, Bars",2.0,19.0,Naco Taco
20,girlfriend,I am going to a restaurant with my girlfriend,female,3.76,"Restaurants, Asian Fusion, Barbeque, Tapas/Small Plates, Japanese",2.0,0.0,Gyu-Kaku Japanese BBQ
21,girlfriend,I am going to a restaurant with my girlfriend,female,3.45,"Restaurants, Korean, Japanese, Barbeque, Chinese",2.0,1.0,Koreana
22,girlfriend,I am going to a restaurant with my girlfriend,female,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,2.0,Harvest
23,girlfriend,I am going to a restaurant with my girlfriend,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,3.0,Oleana Restaurant
24,girlfriend,I am going to a restaurant with my girlfriend,female,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,4.0,EVOO Restaurant
25,girlfriend,I am going to a restaurant with my girlfriend,female,2.69,"Mongolian, Restaurants, American (New)",2.0,5.0,Fire and Ice
26,girlfriend,I am going to a restaurant with my girlfriend,female,3.78,"Ethiopian, Bars, Beer Bar, African, Restaurants, Eritrean, Nightlife",2.0,6.0,Asmara Restaurant
27,girlfriend,I am going to a restaurant with my girlfriend,female,2.91,"Japanese, Restaurants, Asian Fusion",2.0,7.0,wagamama
28,girlfriend,I am going to a restaurant with my girlfriend,female,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,8.0,Muqueca Restaurant
29,girlfriend,I am going to a restaurant with my girlfriend,female,2.83,"Seafood, Desserts, Food, American (Traditional), American (New), Restaurants",2.0,9.0,The Cheesecake Factory
30,girlfriend,I am going to a restaurant with my girlfriend,female,3.62,"Mediterranean, Restaurants, Greek",3.0,10.0,The Blue Room
31,girlfriend,I am going to a restaurant with my girlfriend,female,3.96,"Italian, Restaurants",2.0,11.0,Toscano
32,girlfriend,I am going to a restaurant with my girlfriend,female,2.94,"Event Planning & Services, Steakhouses, Japanese, Sushi Bars, Restaurants, Hotels & Travel, Hotels",2.0,12.0,Bisuteki Japanese Steak House
33,girlfriend,I am going to a restaurant with my girlfriend,female,3.95,"Restaurants, Pizza, Italian",2.0,13.0,Gran Gusto
34,girlfriend,I am going to a restaurant with my girlfriend,female,4.02,"Japanese, Restaurants, Sushi Bars",2.0,14.0,Cafe Sushi
35,girlfriend,I am going to a restaurant with my girlfriend,female,3.96,"Japanese, Restaurants, Sushi Bars",3.0,15.0,Wafu-Ya
36,girlfriend,I am going to a restaurant with my girlfriend,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,16.0,Grafton Street
37,girlfriend,I am going to a restaurant with my girlfriend,female,4.23,"Soup, Salad, Diners, Steakhouses, Comfort Food, Japanese, Japanese Curry, Restaurants",1.0,17.0,Cafe Mami
38,girlfriend,I am going to a restaurant with my girlfriend,female,4.05,"Pizza, Restaurants, Italian",2.0,18.0,Basta Pasta Trattoria
39,girlfriend,I am going to a restaurant with my girlfriend,female,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,19.0,Helmand Restaurant
40,fiancee,I am going to a restaurant with my fiancee,female,3.76,"Restaurants, Asian Fusion, Barbeque, Tapas/Small Plates, Japanese",2.0,0.0,Gyu-Kaku Japanese BBQ
41,fiancee,I am going to a restaurant with my fiancee,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,1.0,Oleana Restaurant
42,fiancee,I am going to a restaurant with my fiancee,female,3.45,"Restaurants, Korean, Japanese, Barbeque, Chinese",2.0,2.0,Koreana
43,fiancee,I am going to a restaurant with my fiancee,female,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,3.0,EVOO Restaurant
44,fiancee,I am going to a restaurant with my fiancee,female,3.78,"Ethiopian, Bars, Beer Bar, African, Restaurants, Eritrean, Nightlife",2.0,4.0,Asmara Restaurant
45,fiancee,I am going to a restaurant with my fiancee,female,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,5.0,Harvest
