,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,girls,restaurants that girls would like,female,3.83,"Bars, Wine Bars, Food, Restaurants, Vegetarian, Italian, Cafes, Nightlife, Desserts",3.0,0.0,Stella
1,girls,restaurants that girls would like,female,4.2,"Nightlife, Bars, French, Restaurants, Mediterranean, American (New)",4.0,1.0,Mistral
2,girls,restaurants that girls would like,female,4.19,"Spanish, Nightlife, Bars, Tapas Bars, Restaurants, Cocktail Bars, Tapas/Small Plates",3.0,2.0,Toro
3,girls,restaurants that girls would like,female,3.97,"Restaurants, Italian",3.0,3.0,Teatro
4,girls,restaurants that girls would like,female,3.84,"Pizza, Japanese, Restaurants, Sushi Bars, Vegetarian",3.0,4.0,Douzo
5,girls,restaurants that girls would like,female,3.98,"Mexican, Lounges, Nightlife, American (New), Restaurants, Bars, Cocktail Bars",2.0,5.0,Lolita Cocina & Tequila Bar Back Bay
6,girls,restaurants that girls would like,female,3.87,"Bars, Gastropubs, Sports Bars, Italian, Burgers, American (New), Nightlife, Restaurants, Dive Bars, Pizza",2.0,6.0,Lincoln Tavern and Restaurant
7,girls,restaurants that girls would like,female,4.23,"French, Bars, Greek, Event Planning & Services, Restaurants, Italian, Venues & Event Spaces, Wine Bars, Nightlife, Mediterranean, Salad",4.0,7.0,Sorellina
8,girls,restaurants that girls would like,female,3.74,"Nightlife, Restaurants, American (Traditional), Steakhouses, Cocktail Bars, Bars",4.0,8.0,Strip By Strega
9,girls,restaurants that girls would like,female,3.76,"Wine Bars, Restaurants, Venues & Event Spaces, Italian, Cocktail Bars, Nightlife, Event Planning & Services, Bars",3.0,9.0,Lucca Restaurant & Bar
10,girls,restaurants that girls would like,female,3.5,"Asian Fusion, Sushi Bars, Dim Sum, Chinese, Restaurants, Cocktail Bars, Nightlife, Bars",3.0,10.0,Red Lantern
11,girls,restaurants that girls would like,female,4.16,"Restaurants, Cocktail Bars, American (Traditional), Live/Raw Food, Seafood, Pubs, Nightlife, Bars",3.0,11.0,Atlantic Fish Company
12,girls,restaurants that girls would like,female,3.5,"Nightlife, Italian, Restaurants",3.0,12.0,Strega Italiano - Seaport
13,girls,restaurants that girls would like,female,3.8,"Bars, Italian, Wine Bars, Restaurants, Nightlife",3.0,13.0,Lucca Back Bay
14,girls,restaurants that girls would like,female,3.98,"Bars, Restaurants, Steakhouses, Nightlife",3.0,14.0,Boston Chops South End
15,girls,restaurants that girls would like,female,3.63,"American (New), Nightlife, Bars, Wine Bars, Lounges, French, Restaurants, Breakfast & Brunch",2.0,15.0,Sonsie
16,girls,restaurants that girls would like,female,4.19,"Italian, Restaurants",2.0,16.0,Rino's Place
17,girls,restaurants that girls would like,female,3.19,"Breakfast & Brunch, Restaurants, American (New)",3.0,17.0,Towne Stove and Spirits
18,girls,restaurants that girls would like,female,3.91,"Food, Cocktail Bars, Restaurants, Bars, French, American (New), Brasseries, Modern European, Nightlife, Beer, Wine & Spirits, Breakfast & Brunch",2.0,18.0,Gaslight
19,girls,restaurants that girls would like,female,4.29,"Nightlife, Seafood, Bars, Food, Restaurants",3.0,19.0,Island Creek Oyster Bar
20,middle age women,restaurants that middle age women would like,female,4.04,"American (Traditional), American (New), Lounges, Nightlife, Bars, Restaurants",2.0,0.0,Franklin Cafe
21,middle age women,restaurants that middle age women would like,female,3.83,"Bars, Wine Bars, Food, Restaurants, Vegetarian, Italian, Cafes, Nightlife, Desserts",3.0,1.0,Stella
22,middle age women,restaurants that middle age women would like,female,4.0,"French, Bars, Restaurants, Mediterranean, Cocktail Bars, Breakfast & Brunch, American (New), Wine Bars, Gastropubs, Nightlife",2.0,2.0,Metropolis
23,middle age women,restaurants that middle age women would like,female,4.2,"Nightlife, Bars, French, Restaurants, Mediterranean, American (New)",4.0,3.0,Mistral
