,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,1.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.99,"Nightlife, Steakhouses, American (Traditional), Restaurants, Seafood, Bars, Wine Bars",2.0,2.0,Firebirds Wood Fired Grill
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.9,"Italian, Restaurants, Nightlife, Salad, Bars",2.0,3.0,Marcella's Columbus - Polaris
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.2,"Restaurants, Italian",3.0,4.0,Martini Modern Italian
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.3,"Food, American (New), Steakhouses, American (Traditional), Wine Bars, Bars, Nightlife, Seafood, Restaurants",2.0,5.0,J. Alexander's Restaurant
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.96,"Steakhouses, Restaurants, American (New), Seafood",2.0,6.0,The Guild House
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.14,"Tapas Bars, Italian, Restaurants, Bars, Nightlife, Wine Bars",2.0,7.0,Marcella's Columbus - Short North
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.01,"Burgers, American (Traditional), Restaurants, Breakfast & Brunch",3.0,8.0,RH Rooftop Restaurant Columbus
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.2,"Pizza, American (New), Breakfast & Brunch, Nightlife, Restaurants, Italian, American (Traditional), Bars, Cocktail Bars",2.0,9.0,Forno Kitchen + Bar
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.52,"French, Italian, Nightlife, Pizza, Bars, Beer, Wine & Spirits, Breakfast & Brunch, Wine Bars, Modern European, Restaurants, German, Food",2.0,10.0,Spagio Pizza & Spa Kitchen
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.02,"Lounges, Bars, Seafood, Steakhouses, Nightlife, American (Traditional), Restaurants, Sushi Bars",3.0,11.0,Black Point
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.16,"Beer, Wine & Spirits, Pizza, American (New), Food, Tapas Bars, Italian, Salad, Restaurants",2.0,12.0,Vino Vino
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.38,"Steakhouses, American (New), Seafood, Restaurants",3.0,13.0,Mitchell's Ocean Club
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.77,"Steakhouses, Restaurants, Seafood, American (New)",2.0,14.0,Redlands Grill by J. Alexander's
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.62,"Seafood, American (Traditional), Steakhouses, Restaurants",3.0,15.0,Mitchell's Steakhouse
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.34,"American (New), Restaurants",3.0,16.0,Third and Hollywood
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.81,"Restaurants, Nightlife, Bars, Wine Bars, Italian, American (New)",2.0,17.0,The Wine Bistro
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.49,"Italian, American (New), Beer, Wine & Spirits, Food, Restaurants",3.0,18.0,Rigsby's Kitchen
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.79,"Seafood, Cocktail Bars, Salad, Restaurants, Bars, Nightlife, Steakhouses",3.0,19.0,Hyde Park Prime Steakhouse
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,1.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.99,"Nightlife, Steakhouses, American (Traditional), Restaurants, Seafood, Bars, Wine Bars",2.0,2.0,Firebirds Wood Fired Grill
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.2,"Restaurants, Italian",3.0,3.0,Martini Modern Italian
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.9,"Italian, Restaurants, Nightlife, Salad, Bars",2.0,4.0,Marcella's Columbus - Polaris
25,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.16,"Beer, Wine & Spirits, Pizza, American (New), Food, Tapas Bars, Italian, Salad, Restaurants",2.0,5.0,Vino Vino
26,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.96,"Steakhouses, Restaurants, American (New), Seafood",2.0,6.0,The Guild House
27,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.02,"Lounges, Bars, Seafood, Steakhouses, Nightlife, American (Traditional), Restaurants, Sushi Bars",3.0,7.0,Black Point
28,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.2,"Pizza, American (New), Breakfast & Brunch, Nightlife, Restaurants, Italian, American (Traditional), Bars, Cocktail Bars",2.0,8.0,Forno Kitchen + Bar
29,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.14,"Tapas Bars, Italian, Restaurants, Bars, Nightlife, Wine Bars",2.0,9.0,Marcella's Columbus - Short North
30,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.52,"French, Italian, Nightlife, Pizza, Bars, Beer, Wine & Spirits, Breakfast & Brunch, Wine Bars, Modern European, Restaurants, German, Food",2.0,10.0,Spagio Pizza & Spa Kitchen
31,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.24,"American (New), Sandwiches, Event Planning & Services, Restaurants, Breweries, Food, Venues & Event Spaces, Tapas/Small Plates",2.0,11.0,Wolf's Ridge Brewing
32,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.01,"Burgers, American (Traditional), Restaurants, Breakfast & Brunch",3.0,12.0,RH Rooftop Restaurant Columbus
33,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.81,"Restaurants, Nightlife, Bars, Wine Bars, Italian, American (New)",2.0,13.0,The Wine Bistro
34,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.3,"Food, American (New), Steakhouses, American (Traditional), Wine Bars, Bars, Nightlife, Seafood, Restaurants",2.0,14.0,J. Alexander's Restaurant
35,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.38,"Steakhouses, American (New), Seafood, Restaurants",3.0,15.0,Mitchell's Ocean Club
36,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.49,"Italian, American (New), Beer, Wine & Spirits, Food, Restaurants",3.0,16.0,Rigsby's Kitchen
37,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.62,"Seafood, American (Traditional), Steakhouses, Restaurants",3.0,17.0,Mitchell's Steakhouse
38,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.77,"Steakhouses, Restaurants, Seafood, American (New)",2.0,18.0,Redlands Grill by J. Alexander's
39,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.56,"Food, Restaurants, Bars, American (Traditional), Breweries, Gastropubs, Nightlife",2.0,19.0,The Elevator Brewery and Draught Haus
40,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
41,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.99,"Nightlife, Steakhouses, American (Traditional), Restaurants, Seafood, Bars, Wine Bars",2.0,1.0,Firebirds Wood Fired Grill
42,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.2,"Restaurants, Italian",3.0,2.0,Martini Modern Italian
43,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,3.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
44,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.96,"Steakhouses, Restaurants, American (New), Seafood",2.0,4.0,The Guild House
45,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.2,"Pizza, American (New), Breakfast & Brunch, Nightlife, Restaurants, Italian, American (Traditional), Bars, Cocktail Bars",2.0,5.0,Forno Kitchen + Bar
46,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.3,"Food, American (New), Steakhouses, American (Traditional), Wine Bars, Bars, Nightlife, Seafood, Restaurants",2.0,6.0,J. Alexander's Restaurant
47,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.9,"Italian, Restaurants, Nightlife, Salad, Bars",2.0,7.0,Marcella's Columbus - Polaris
48,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.01,"Burgers, American (Traditional), Restaurants, Breakfast & Brunch",3.0,8.0,RH Rooftop Restaurant Columbus
49,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.14,"Tapas Bars, Italian, Restaurants, Bars, Nightlife, Wine Bars",2.0,9.0,Marcella's Columbus - Short North
50,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.34,"American (New), Restaurants",3.0,10.0,Third and Hollywood
51,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.18,"Nightlife, Bars, Restaurants, American (New), Gastropubs",2.0,11.0,The Sycamore
52,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.02,"Lounges, Bars, Seafood, Steakhouses, Nightlife, American (Traditional), Restaurants, Sushi Bars",3.0,12.0,Black Point
53,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.93,"Restaurants, Gastropubs, Nightlife, American (New), Pubs, Bars",2.0,13.0,Matt The Miller's Tavern
54,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.24,"American (New), Sandwiches, Event Planning & Services, Restaurants, Breweries, Food, Venues & Event Spaces, Tapas/Small Plates",2.0,14.0,Wolf's Ridge Brewing
55,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.8,"Event Planning & Services, American (New), Venues & Event Spaces, Bars, Restaurants, Nightlife",2.0,15.0,Hubbard Grille
56,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.16,"Beer, Wine & Spirits, Pizza, American (New), Food, Tapas Bars, Italian, Salad, Restaurants",2.0,16.0,Vino Vino
57,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,4.13,"Seafood, Breakfast & Brunch, American (New), Restaurants",2.0,17.0,The Pearl
58,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.52,"French, Italian, Nightlife, Pizza, Bars, Beer, Wine & Spirits, Breakfast & Brunch, Wine Bars, Modern European, Restaurants, German, Food",2.0,18.0,Spagio Pizza & Spa Kitchen
59,grandparent,Can you make a restaurant reservation for me and my grandparent?,old,3.77,"Steakhouses, Restaurants, Seafood, American (New)",2.0,19.0,Redlands Grill by J. Alexander's
60,granny,Can you make a restaurant reservation for me and my granny?,old,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
61,granny,Can you make a restaurant reservation for me and my granny?,old,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,1.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
62,granny,Can you make a restaurant reservation for me and my granny?,old,3.9,"Italian, Restaurants, Nightlife, Salad, Bars",2.0,2.0,Marcella's Columbus - Polaris
63,granny,Can you make a restaurant reservation for me and my granny?,old,3.99,"Nightlife, Steakhouses, American (Traditional), Restaurants, Seafood, Bars, Wine Bars",2.0,3.0,Firebirds Wood Fired Grill
64,granny,Can you make a restaurant reservation for me and my granny?,old,3.25,"Cocktail Bars, Restaurants, Nightlife, American (Traditional), Steakhouses, Bars, Seafood",2.0,4.0,Columbus Fish Market
65,granny,Can you make a restaurant reservation for me and my granny?,old,3.38,"Italian, Cocktail Bars, Gluten-Free, Specialty Food, Ethnic Food, Restaurants, Nightlife, Pizza, Food, Bars",2.0,5.0,Brio Italian Grille
66,granny,Can you make a restaurant reservation for me and my granny?,old,3.49,"Italian, American (New), Beer, Wine & Spirits, Food, Restaurants",3.0,6.0,Rigsby's Kitchen
67,granny,Can you make a restaurant reservation for me and my granny?,old,3.3,"Nightlife, Pizza, Restaurants, Event Planning & Services, Italian, Wine Bars, Venues & Event Spaces, Cocktail Bars, Bars",2.0,7.0,Brio Italian Grille
68,granny,Can you make a restaurant reservation for me and my granny?,old,3.52,"French, Italian, Nightlife, Pizza, Bars, Beer, Wine & Spirits, Breakfast & Brunch, Wine Bars, Modern European, Restaurants, German, Food",2.0,8.0,Spagio Pizza & Spa Kitchen
69,granny,Can you make a restaurant reservation for me and my granny?,old,4.16,"Beer, Wine & Spirits, Pizza, American (New), Food, Tapas Bars, Italian, Salad, Restaurants",2.0,9.0,Vino Vino
70,granny,Can you make a restaurant reservation for me and my granny?,old,4.2,"Restaurants, Italian",3.0,10.0,Martini Modern Italian
71,granny,Can you make a restaurant reservation for me and my granny?,old,3.33,"Restaurants, French, American (New)",2.0,11.0,Bon Vie
72,granny,Can you make a restaurant reservation for me and my granny?,old,3.81,"Restaurants, Nightlife, Bars, Wine Bars, Italian, American (New)",2.0,12.0,The Wine Bistro
73,granny,Can you make a restaurant reservation for me and my granny?,old,4.14,"Tapas Bars, Italian, Restaurants, Bars, Nightlife, Wine Bars",2.0,13.0,Marcella's Columbus - Short North
74,granny,Can you make a restaurant reservation for me and my granny?,old,3.93,"Restaurants, Gastropubs, Nightlife, American (New), Pubs, Bars",2.0,14.0,Matt The Miller's Tavern
75,granny,Can you make a restaurant reservation for me and my granny?,old,4.19,"Mediterranean, Event Planning & Services, Restaurants, Wine Bars, Bars, Caterers, Italian, Nightlife",2.0,15.0,Z Cucina Di Spirito
76,granny,Can you make a restaurant reservation for me and my granny?,old,2.72,"Restaurants, Bars, Seafood, Steakhouses, Nightlife, Wine Bars, American (Traditional)",3.0,16.0,McCormick & Schmick's Seafood & Steaks
77,granny,Can you make a restaurant reservation for me and my granny?,old,3.42,"Seafood, Steakhouses, Nightlife, Wineries, Arts & Entertainment, Restaurants, Bars, Food",3.0,17.0,Smith & Wollensky
78,granny,Can you make a restaurant reservation for me and my granny?,old,4.04,"American (New), Steakhouses, Restaurants",2.0,18.0,J Alexander's
79,granny,Can you make a restaurant reservation for me and my granny?,old,3.79,"Bars, Restaurants, Gluten-Free, Nightlife, Cocktail Bars, Food, Italian",2.0,19.0,BRAVO! Cucina Italiana
80,grandpa,Can you make a restaurant reservation for me and my grandpa?,old,3.8,"Beer, Wine & Spirits, American (New), Restaurants, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Venues & Event Spaces, Wine Tasting Room, Food, Wine Bars, Wineries, American (Traditional)",2.0,0.0,Cooper's Hawk Winery & Restaurant - Columbus
81,grandpa,Can you make a restaurant reservation for me and my grandpa?,old,3.89,"Nightlife, American (Traditional), Bars, Seafood, Restaurants, Steakhouses",3.0,1.0,J. Gilbert's Wood Fired Steaks & Seafood Columbus
