,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the [MASK]?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
1,school,Where can I get food on my way to the [MASK]?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,1.0,Cook Out
2,school,Where can I get food on my way to the [MASK]?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,2.0,McDonald's
3,school,Where can I get food on my way to the [MASK]?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,3.0,McDonald's
4,school,Where can I get food on my way to the [MASK]?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,4.0,Cafe Momo
5,school,Where can I get food on my way to the [MASK]?,all,3.48,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",2.0,5.0,Nature's Table Bistro
6,school,Where can I get food on my way to the [MASK]?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,6.0,The Varsity
7,school,Where can I get food on my way to the [MASK]?,all,2.38,"Food, American (Traditional), Restaurants",2.0,7.0,Boardwalk Fresh Burgers and Fries
8,school,Where can I get food on my way to the [MASK]?,all,3.87,"Breakfast & Brunch, American (New), Vegan, American (Traditional), Vegetarian, Restaurants",2.0,8.0,R. Thomas Deluxe Grill
9,school,Where can I get food on my way to the [MASK]?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,9.0,Tin Drum Asian Kitchen - Atlantic Station
10,school,Where can I get food on my way to the [MASK]?,all,3.79,"Restaurants, Fast Food, Chicken Wings, American (Traditional), Salad",2.0,10.0,Wings 101
11,school,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Sandwiches, Food, Soup, Vegetarian, Salad",2.0,11.0,Fresh To Order
12,school,Where can I get food on my way to the [MASK]?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,12.0,Tin Drum Asian Kitchen - Georgia Tech
13,school,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Mexican, Latin American",2,13.0,Mama's Cocina Latina
14,school,Where can I get food on my way to the [MASK]?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,14.0,Kwan's Deli and Korean Kitchen
15,school,Where can I get food on my way to the [MASK]?,all,2.75,"Seafood, Restaurants, American (New)",1.0,15.0,Boneheads
16,school,Where can I get food on my way to the [MASK]?,all,2.89,"American (New), African, Seafood, Restaurants",1.0,16.0,Fishook Grille
17,school,Where can I get food on my way to the [MASK]?,all,2.64,"Restaurants, Fast Food, Mexican",1.0,17.0,Chipotle Mexican Grill
18,school,Where can I get food on my way to the [MASK]?,all,4.0,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",2.0,18.0,Highland Bakery
19,school,Where can I get food on my way to the [MASK]?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,19.0,Eats
20,university,Where can I get food on my way to the [MASK]?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
21,university,Where can I get food on my way to the [MASK]?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,1.0,Cook Out
22,university,Where can I get food on my way to the [MASK]?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,2.0,McDonald's
23,university,Where can I get food on my way to the [MASK]?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,3.0,McDonald's
24,university,Where can I get food on my way to the [MASK]?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,4.0,Cafe Momo
25,university,Where can I get food on my way to the [MASK]?,all,3.48,"Restaurants, Sandwiches, Fast Food, American (Traditional), Salad",2.0,5.0,Nature's Table Bistro
26,university,Where can I get food on my way to the [MASK]?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,6.0,The Varsity
27,university,Where can I get food on my way to the [MASK]?,all,2.38,"Food, American (Traditional), Restaurants",2.0,7.0,Boardwalk Fresh Burgers and Fries
