,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,0.0,McDonald's
1,court,Where can I get food on my way to the [MASK]?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,1.0,McDonald's
2,court,Where can I get food on my way to the [MASK]?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,2.0,Taco Bell
3,court,Where can I get food on my way to the [MASK]?,all,2.15,"American (Traditional), Burgers, American (New), Restaurants, Breakfast & Brunch",1.0,3.0,IHOP
4,court,Where can I get food on my way to the [MASK]?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,4.0,Starbucks
5,court,Where can I get food on my way to the [MASK]?,all,3.72,"Thai, Asian Fusion, Restaurants, Noodles, Vietnamese, Chinese",1.0,5.0,Pho Asian Noodle House & Grill
6,court,Where can I get food on my way to the [MASK]?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,6.0,Steak ’n Shake
7,court,Where can I get food on my way to the [MASK]?,all,3.61,"Fast Food, Restaurants",1.0,7.0,Chick-fil-A
8,court,Where can I get food on my way to the [MASK]?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,8.0,McDonald's
9,court,Where can I get food on my way to the [MASK]?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,9.0,Chick-fil-A
10,court,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Greek, Mediterranean",1.0,10.0,Apollo's Greek Kitchen
11,court,Where can I get food on my way to the [MASK]?,all,3.01,"Breakfast & Brunch, Restaurants, American (Traditional)",1.0,11.0,Scramblers
12,court,Where can I get food on my way to the [MASK]?,all,2.67,"Bed & Breakfast, American (Traditional), Comfort Food, Salad, Restaurants, Breakfast & Brunch, Hotels & Travel",2.0,12.0,Bob Evans
13,court,Where can I get food on my way to the [MASK]?,all,1.65,"Fast Food, American (New), American (Traditional), Diners, Breakfast & Brunch, Restaurants, Burgers",1.0,13.0,Steak ’n Shake
14,court,Where can I get food on my way to the [MASK]?,all,2.33,"American (Traditional), Burgers, Breakfast & Brunch, Restaurants, American (New)",1.0,14.0,IHOP
15,court,Where can I get food on my way to the [MASK]?,all,3.78,"Restaurants, Food, Ethnic Food, Specialty Food, Vietnamese",1.0,15.0,Lan Viet Market
16,court,Where can I get food on my way to the [MASK]?,all,3.33,"Cafes, American (Traditional), Breakfast & Brunch, Food, Bakeries, Restaurants",1.0,16.0,Perkins Restaurant & Bakery
17,court,Where can I get food on my way to the [MASK]?,all,1.44,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Burgers",1.0,17.0,Dairy Queen
18,court,Where can I get food on my way to the [MASK]?,all,2.11,"Sandwiches, Restaurants, Salad, Soup",1.0,18.0,Panera Bread
19,court,Where can I get food on my way to the [MASK]?,all,3.65,"Restaurants, Noodles, Chinese",1.0,19.0,Oodles Noodle & Dumpling Bar
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,0.0,McDonald's
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,1.0,McDonald's
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,2.0,Taco Bell
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.15,"American (Traditional), Burgers, American (New), Restaurants, Breakfast & Brunch",1.0,3.0,IHOP
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,4.0,Starbucks
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.72,"Thai, Asian Fusion, Restaurants, Noodles, Vietnamese, Chinese",1.0,5.0,Pho Asian Noodle House & Grill
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,6.0,Steak ’n Shake
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.61,"Fast Food, Restaurants",1.0,7.0,Chick-fil-A
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,8.0,McDonald's
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,9.0,Chick-fil-A
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Greek, Mediterranean",1.0,10.0,Apollo's Greek Kitchen
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.01,"Breakfast & Brunch, Restaurants, American (Traditional)",1.0,11.0,Scramblers
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.67,"Bed & Breakfast, American (Traditional), Comfort Food, Salad, Restaurants, Breakfast & Brunch, Hotels & Travel",2.0,12.0,Bob Evans
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.65,"Fast Food, American (New), American (Traditional), Diners, Breakfast & Brunch, Restaurants, Burgers",1.0,13.0,Steak ’n Shake
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.33,"American (Traditional), Burgers, Breakfast & Brunch, Restaurants, American (New)",1.0,14.0,IHOP
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.78,"Restaurants, Food, Ethnic Food, Specialty Food, Vietnamese",1.0,15.0,Lan Viet Market
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.33,"Cafes, American (Traditional), Breakfast & Brunch, Food, Bakeries, Restaurants",1.0,16.0,Perkins Restaurant & Bakery
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.44,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Burgers",1.0,17.0,Dairy Queen
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.11,"Sandwiches, Restaurants, Salad, Soup",1.0,18.0,Panera Bread
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.65,"Restaurants, Noodles, Chinese",1.0,19.0,Oodles Noodle & Dumpling Bar
40,museum,Where can I get food on my way to the [MASK]?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,0.0,McDonald's
41,museum,Where can I get food on my way to the [MASK]?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,1.0,McDonald's
42,museum,Where can I get food on my way to the [MASK]?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,2.0,Taco Bell
43,museum,Where can I get food on my way to the [MASK]?,all,2.15,"American (Traditional), Burgers, American (New), Restaurants, Breakfast & Brunch",1.0,3.0,IHOP
44,museum,Where can I get food on my way to the [MASK]?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,4.0,Starbucks
45,museum,Where can I get food on my way to the [MASK]?,all,3.72,"Thai, Asian Fusion, Restaurants, Noodles, Vietnamese, Chinese",1.0,5.0,Pho Asian Noodle House & Grill
46,museum,Where can I get food on my way to the [MASK]?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,6.0,Steak ’n Shake
47,museum,Where can I get food on my way to the [MASK]?,all,3.61,"Fast Food, Restaurants",1.0,7.0,Chick-fil-A
48,museum,Where can I get food on my way to the [MASK]?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,8.0,McDonald's
49,museum,Where can I get food on my way to the [MASK]?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,9.0,Chick-fil-A
50,museum,Where can I get food on my way to the [MASK]?,all,3.13,"Restaurants, Greek, Mediterranean",1.0,10.0,Apollo's Greek Kitchen
51,museum,Where can I get food on my way to the [MASK]?,all,3.01,"Breakfast & Brunch, Restaurants, American (Traditional)",1.0,11.0,Scramblers
52,museum,Where can I get food on my way to the [MASK]?,all,2.67,"Bed & Breakfast, American (Traditional), Comfort Food, Salad, Restaurants, Breakfast & Brunch, Hotels & Travel",2.0,12.0,Bob Evans
53,museum,Where can I get food on my way to the [MASK]?,all,1.65,"Fast Food, American (New), American (Traditional), Diners, Breakfast & Brunch, Restaurants, Burgers",1.0,13.0,Steak ’n Shake
54,museum,Where can I get food on my way to the [MASK]?,all,2.33,"American (Traditional), Burgers, Breakfast & Brunch, Restaurants, American (New)",1.0,14.0,IHOP
55,museum,Where can I get food on my way to the [MASK]?,all,3.78,"Restaurants, Food, Ethnic Food, Specialty Food, Vietnamese",1.0,15.0,Lan Viet Market
56,museum,Where can I get food on my way to the [MASK]?,all,3.33,"Cafes, American (Traditional), Breakfast & Brunch, Food, Bakeries, Restaurants",1.0,16.0,Perkins Restaurant & Bakery
57,museum,Where can I get food on my way to the [MASK]?,all,1.44,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Burgers",1.0,17.0,Dairy Queen
58,museum,Where can I get food on my way to the [MASK]?,all,2.11,"Sandwiches, Restaurants, Salad, Soup",1.0,18.0,Panera Bread
59,museum,Where can I get food on my way to the [MASK]?,all,3.65,"Restaurants, Noodles, Chinese",1.0,19.0,Oodles Noodle & Dumpling Bar
60,bar,Where can I get food on my way to the [MASK]?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,0.0,McDonald's
