,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,3.69,"Restaurants, Burgers, Fast Food, Food Stands",1.0,0.0,P. Terry's Burger Stand
1,school,Where can I get food on my way to the school?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,1.0,Sandy's Hamburgers
2,school,Where can I get food on my way to the school?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,2.0,Dan's Hamburgers
3,school,Where can I get food on my way to the school?,all,3.94,"Breakfast & Brunch, Vegan, Restaurants, Food Stands, Vegetarian",1.0,3.0,Biscuits and Groovy
4,school,Where can I get food on my way to the school?,all,3.68,"Restaurants, Burgers, Fast Food, American (Traditional), Food",1.0,4.0,P. Terry's Burger Stand
5,school,Where can I get food on my way to the school?,all,3.43,"Fast Food, Burgers, Restaurants",1.0,5.0,P. Terry's Burger Stand
6,school,Where can I get food on my way to the school?,all,3.6,"Restaurants, Fast Food, Burgers",1.0,6.0,P. Terry's Burger Stand
7,school,Where can I get food on my way to the school?,all,3.46,"Fast Food, Restaurants, Burgers",1.0,7.0,P. Terry's Burger Stand
8,school,Where can I get food on my way to the school?,all,4.33,"Specialty Food, Salad, Pasta Shops, Food, Restaurants, Food Stands, Pizza",1,8.0,Giovanni's Pizza Stand
9,school,Where can I get food on my way to the school?,all,3.73,"Restaurants, Barbeque",1,9.0,Smokey J's Barbeque
10,school,Where can I get food on my way to the school?,all,4.03,"Breakfast & Brunch, Restaurants, Tex-Mex, Mexican",1.0,10.0,Tamale House
11,school,Where can I get food on my way to the school?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,11.0,Ken's Subs Tacos & More
12,school,Where can I get food on my way to the school?,all,4.08,"Bed & Breakfast, Hotels & Travel, Burgers, Restaurants, Sandwiches",1.0,12.0,Dan's Hamburgers - Austin
13,school,Where can I get food on my way to the school?,all,4.03,"Burgers, Breakfast & Brunch, Restaurants",1.0,13.0,Dan's Hamburgers - Austin
14,school,Where can I get food on my way to the school?,all,3.41,"Event Planning & Services, Breakfast & Brunch, Sandwiches, Restaurants, Caterers, Delis",1.0,14.0,Kiefer's Cafe & Catering
15,school,Where can I get food on my way to the school?,all,3.88,"Fast Food, Burgers, Restaurants, Breakfast & Brunch",1.0,15.0,P. Terry's Burger Stand
16,school,Where can I get food on my way to the school?,all,4.0,"Mexican, Restaurants",1.0,16.0,Vazquez Restaurant
17,school,Where can I get food on my way to the school?,all,3.5,"Desserts, Mexican, Gluten-Free, Fast Food, Tacos, Restaurants, Burgers, Food Stands, Food, American (Traditional)",1.0,17.0,Hat Creek Burger Company Burnet
18,school,Where can I get food on my way to the school?,all,4.23,"Mexican, Restaurants",1.0,18.0,Taco-Mex
19,school,Where can I get food on my way to the school?,all,3.76,"Food, Mexican, Restaurants, Vegetarian, Tex-Mex, Breakfast & Brunch, Tacos",1,19.0,Torchys Tacos
20,university,Where can I get food on my way to the university?,all,3.69,"Restaurants, Burgers, Fast Food, Food Stands",1.0,0.0,P. Terry's Burger Stand
21,university,Where can I get food on my way to the university?,all,3.41,"Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Mexican",1.0,1.0,El Chilito
22,university,Where can I get food on my way to the university?,all,3.68,"Restaurants, Burgers, Fast Food, American (Traditional), Food",1.0,2.0,P. Terry's Burger Stand
23,university,Where can I get food on my way to the university?,all,4.23,"Mexican, Restaurants",1.0,3.0,Taco-Mex
24,university,Where can I get food on my way to the university?,all,3.94,"Breakfast & Brunch, Vegan, Restaurants, Food Stands, Vegetarian",1.0,4.0,Biscuits and Groovy
25,university,Where can I get food on my way to the university?,all,4.28,"Restaurants, Japanese",1.0,5.0,Don Japanese Kitchen - Austin
26,university,Where can I get food on my way to the university?,all,4.03,"Breakfast & Brunch, Restaurants, Tex-Mex, Mexican",1.0,6.0,Tamale House
27,university,Where can I get food on my way to the university?,all,4.32,"Mexican, Tacos, Food Trucks, Restaurants, Food, Tex-Mex, Food Stands, Breakfast & Brunch",1.0,7.0,Torchy's Tacos
28,university,Where can I get food on my way to the university?,all,3.92,"Fast Food, Tacos, Mexican, Restaurants, Breakfast & Brunch, Tex-Mex",1.0,8.0,Torchys Tacos
29,university,Where can I get food on my way to the university?,all,3.43,"Fast Food, Burgers, Restaurants",1.0,9.0,P. Terry's Burger Stand
30,university,Where can I get food on my way to the university?,all,3.76,"Food, Mexican, Restaurants, Vegetarian, Tex-Mex, Breakfast & Brunch, Tacos",1,10.0,Torchys Tacos
31,university,Where can I get food on my way to the university?,all,4.42,"Restaurants, Food, Mexican",1,11.0,Taco Joint
32,university,Where can I get food on my way to the university?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,12.0,Ken's Subs Tacos & More
33,university,Where can I get food on my way to the university?,all,4.3,"Japanese, Sushi Bars, Food Stands, Food, Restaurants",1.0,13.0,Sushi A-Go-Go
34,university,Where can I get food on my way to the university?,all,3.49,"Mexican, Restaurants",2.0,14.0,Fresa's Chicken al Carbon
35,university,Where can I get food on my way to the university?,all,4.46,"Restaurants, Japanese, Food Trucks, Food",1.0,15.0,Don Japanese Kitchen
36,university,Where can I get food on my way to the university?,all,4.37,"Food Trucks, Restaurants, Food Stands, Food, Tex-Mex, Vegan, Mexican",2.0,16.0,The Vegan Nom
37,university,Where can I get food on my way to the university?,all,3.94,"Restaurants, Mexican",2,17.0,Julio's Café
38,university,Where can I get food on my way to the university?,all,4.29,"Bakeries, Beer, Wine & Spirits, Coffee & Tea, Food, Mexican, Restaurants, Sandwiches, Cafes, Breakfast & Brunch",2.0,18.0,Arturo's Underground Cafe
39,university,Where can I get food on my way to the university?,all,3.31,"Sushi Bars, Japanese, Restaurants",2.0,19.0,Sushi Niichi
40,law office,Where can I get food on my way to the law office?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,0.0,Dan's Hamburgers
41,law office,Where can I get food on my way to the law office?,all,4.15,"Restaurants, Active Life, Sandwiches, Mexican, Amateur Sports Teams",1.0,1.0,Ken's Subs Tacos & More
42,law office,Where can I get food on my way to the law office?,all,3.6,"Restaurants, Fast Food, Burgers",1.0,2.0,P. Terry's Burger Stand
43,law office,Where can I get food on my way to the law office?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,3.0,Sandy's Hamburgers
44,law office,Where can I get food on my way to the law office?,all,3.69,"Restaurants, Burgers, Fast Food, Food Stands",1.0,4.0,P. Terry's Burger Stand
45,law office,Where can I get food on my way to the law office?,all,4.23,"Mexican, Restaurants",1.0,5.0,Taco-Mex
46,law office,Where can I get food on my way to the law office?,all,3.68,"Restaurants, Burgers, Fast Food, American (Traditional), Food",1.0,6.0,P. Terry's Burger Stand
47,law office,Where can I get food on my way to the law office?,all,3.43,"Fast Food, Burgers, Restaurants",1.0,7.0,P. Terry's Burger Stand
48,law office,Where can I get food on my way to the law office?,all,3.55,"Restaurants, Mexican",1.0,8.0,El Tacorrido
49,law office,Where can I get food on my way to the law office?,all,2.33,"Restaurants, Fast Food, American (Traditional), Burgers",1.0,9.0,Whataburger
50,law office,Where can I get food on my way to the law office?,all,3.09,"Restaurants, Fast Food, Burgers, American (Traditional)",1.0,10.0,Whataburger
51,law office,Where can I get food on my way to the law office?,all,4.28,"Restaurants, Fast Food, Mexican, Tex-Mex",1.0,11.0,El Pollo Rico
52,law office,Where can I get food on my way to the law office?,all,3.62,"Restaurants, Mexican",1,12.0,Taqueria Los Jaliscienses
53,law office,Where can I get food on my way to the law office?,all,4.58,"Food, Restaurants, Breakfast & Brunch, Mexican",1.0,13.0,JR'S Tacos
54,law office,Where can I get food on my way to the law office?,all,3.73,"Restaurants, Barbeque",1,14.0,Smokey J's Barbeque
55,law office,Where can I get food on my way to the law office?,all,1.91,"American (Traditional), Restaurants, Burgers, Fast Food",1.0,15.0,Whataburger
56,law office,Where can I get food on my way to the law office?,all,2.91,"Restaurants, American (Traditional), Fast Food, Burgers",1.0,16.0,Whataburger
57,law office,Where can I get food on my way to the law office?,all,2.55,"Burgers, Fast Food, Restaurants, American (Traditional)",1.0,17.0,Whataburger
58,law office,Where can I get food on my way to the law office?,all,2.73,"Restaurants, Mexican",1.0,18.0,Taco Shack
59,law office,Where can I get food on my way to the law office?,all,3.46,"Fast Food, Restaurants, Burgers",1.0,19.0,P. Terry's Burger Stand
60,farm,Where can I get food on my way to the farm?,all,3.69,"Restaurants, Burgers, Fast Food, Food Stands",1.0,0.0,P. Terry's Burger Stand
61,farm,Where can I get food on my way to the farm?,all,4.09,"Sandwiches, Restaurants, Breakfast & Brunch, Burgers, Diners",1.0,1.0,Dan's Hamburgers
62,farm,Where can I get food on my way to the farm?,all,3.43,"Fast Food, Burgers, Restaurants",1.0,2.0,P. Terry's Burger Stand
63,farm,Where can I get food on my way to the farm?,all,4.33,"Specialty Food, Salad, Pasta Shops, Food, Restaurants, Food Stands, Pizza",1,3.0,Giovanni's Pizza Stand
64,farm,Where can I get food on my way to the farm?,all,3.58,"Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs",1,4.0,Sandy's Hamburgers
65,farm,Where can I get food on my way to the farm?,all,3.6,"Restaurants, Fast Food, Burgers",1.0,5.0,P. Terry's Burger Stand
66,farm,Where can I get food on my way to the farm?,all,3.46,"Fast Food, Restaurants, Burgers",1.0,6.0,P. Terry's Burger Stand
67,farm,Where can I get food on my way to the farm?,all,3.68,"Restaurants, Burgers, Fast Food, American (Traditional), Food",1.0,7.0,P. Terry's Burger Stand
68,farm,Where can I get food on my way to the farm?,all,3.94,"Breakfast & Brunch, Vegan, Restaurants, Food Stands, Vegetarian",1.0,8.0,Biscuits and Groovy
69,farm,Where can I get food on my way to the farm?,all,3.5,"Desserts, Mexican, Gluten-Free, Fast Food, Tacos, Restaurants, Burgers, Food Stands, Food, American (Traditional)",1.0,9.0,Hat Creek Burger Company Burnet
70,farm,Where can I get food on my way to the farm?,all,3.88,"Fast Food, Burgers, Restaurants, Breakfast & Brunch",1.0,10.0,P. Terry's Burger Stand
