,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.39,"French, Restaurants, American (New)",3.0,0.0,Le Pigeon
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.6,"Italian, Restaurants",3.0,1.0,Mucca Osteria
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,2.0,Piazza Italia
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,3.0,Pok Pok
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.79,"Fondue, German, Modern European, Restaurants",2.0,4.0,Swiss Hibiscus
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.41,"Italian, Restaurants, Pizza",2.0,5.0,a Cena Ristorante
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.09,"American (New), Bars, Restaurants, Italian, Nightlife",3.0,6.0,Ava Gene's
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,7.0,Andina Restaurant
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.2,"Italian, Food, Vegan, Restaurants, Specialty Food, Ethnic Food",2.0,8.0,Portobello Vegan Trattoria
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.96,"Nightlife, Bars, Pizza, Italian, Beer, Wine & Spirits, Wine Bars, Restaurants, Food",2.0,9.0,Nostrana
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.08,"Sushi Bars, Japanese, Restaurants",2.0,10.0,Yama Sushi & Sake Bar
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.21,"Steakhouses, Butcher, Wine Bars, American (New), Specialty Food, Meat Shops, Nightlife, Food, Restaurants, Bars, Sandwiches",3.0,11.0,Laurelhurst Market
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.13,"Cafes, American (New), Italian, Restaurants",2.0,12.0,Caffe Mingo
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.02,"Steakhouses, Seafood, Restaurants, Brazilian",3.0,13.0,Fogo de Chao Brazilian Steakhouse
14,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.09,"American (New), French, Restaurants",4.0,14.0,Beast
15,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.29,"Restaurants, Breakfast & Brunch, Nightlife, American (New)",2.0,15.0,Veritable Quandary
16,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.13,"Restaurants, Bars, American (Traditional), Seafood, American (New), Vegetarian, Italian, Nightlife",2.0,16.0,The Farm Café
17,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.17,"French, Restaurants",3,17.0,Little Bird Bistro
18,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.3,"Italian, Restaurants",2.0,18.0,Gilda's Italian Restaurant
19,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.92,"Mediterranean, Restaurants, Seafood, Italian",2.0,19.0,Trattoria Gallo Nero
20,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.41,"Italian, Restaurants, Pizza",2.0,0.0,a Cena Ristorante
21,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.79,"Fondue, German, Modern European, Restaurants",2.0,1.0,Swiss Hibiscus
22,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.6,"Italian, Restaurants",3.0,2.0,Mucca Osteria
23,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.39,"French, Restaurants, American (New)",3.0,3.0,Le Pigeon
24,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,4.0,Piazza Italia
25,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.09,"American (New), Bars, Restaurants, Italian, Nightlife",3.0,5.0,Ava Gene's
26,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.2,"Italian, Food, Vegan, Restaurants, Specialty Food, Ethnic Food",2.0,6.0,Portobello Vegan Trattoria
27,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,7.0,Pok Pok
28,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,8.0,Andina Restaurant
29,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.08,"Sushi Bars, Japanese, Restaurants",2.0,9.0,Yama Sushi & Sake Bar
30,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.21,"Steakhouses, Butcher, Wine Bars, American (New), Specialty Food, Meat Shops, Nightlife, Food, Restaurants, Bars, Sandwiches",3.0,10.0,Laurelhurst Market
31,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.13,"Cafes, American (New), Italian, Restaurants",2.0,11.0,Caffe Mingo
32,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.96,"Nightlife, Bars, Pizza, Italian, Beer, Wine & Spirits, Wine Bars, Restaurants, Food",2.0,12.0,Nostrana
33,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.4,"Salad, Desserts, Vegan, Food, Restaurants, Ethiopian, Gluten-Free",2.0,13.0,Bete-Lukas Ethiopian Restaurant
34,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.13,"Restaurants, Bars, American (Traditional), Seafood, American (New), Vegetarian, Italian, Nightlife",2.0,14.0,The Farm Café
35,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.3,"Italian, Restaurants",2.0,15.0,Gilda's Italian Restaurant
36,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.35,"Thai, Chicken Wings, Restaurants, Food, Beer, Wine & Spirits, Soup",2.0,16.0,Farmhouse Kitchen Thai Cuisine
37,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.96,"Restaurants, Italian",3.0,17.0,Burrasca
38,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.29,"Restaurants, Breakfast & Brunch, Nightlife, American (New)",2.0,18.0,Veritable Quandary
39,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.17,"French, Restaurants",3,19.0,Little Bird Bistro
40,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.6,"Italian, Restaurants",3.0,0.0,Mucca Osteria
41,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.41,"Italian, Restaurants, Pizza",2.0,1.0,a Cena Ristorante
42,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.39,"French, Restaurants, American (New)",3.0,2.0,Le Pigeon
43,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,3.0,Andina Restaurant
44,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,4.0,Pok Pok
45,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,5.0,Piazza Italia
46,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.17,"French, Restaurants",3,6.0,Little Bird Bistro
47,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.79,"Fondue, German, Modern European, Restaurants",2.0,7.0,Swiss Hibiscus
48,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.29,"Restaurants, Breakfast & Brunch, Nightlife, American (New)",2.0,8.0,Veritable Quandary
49,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.3,"Italian, Restaurants",2.0,9.0,Gilda's Italian Restaurant
50,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.02,"Steakhouses, Seafood, Restaurants, Brazilian",3.0,10.0,Fogo de Chao Brazilian Steakhouse
51,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.21,"Steakhouses, Butcher, Wine Bars, American (New), Specialty Food, Meat Shops, Nightlife, Food, Restaurants, Bars, Sandwiches",3.0,11.0,Laurelhurst Market
52,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.2,"Italian, Food, Vegan, Restaurants, Specialty Food, Ethnic Food",2.0,12.0,Portobello Vegan Trattoria
53,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.09,"American (New), French, Restaurants",4.0,13.0,Beast
54,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.07,"Restaurants, Burgers, Modern European, American (Traditional), American (New)",4.0,14.0,Castagna Restaurant
55,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,3.19,"Restaurants, Fondue",3.0,15.0,The Melting Pot
56,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,3.92,"Mediterranean, Restaurants, Seafood, Italian",2.0,16.0,Trattoria Gallo Nero
57,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,3.99,"American (New), Restaurants, Burgers, Nightlife, Bars, American (Traditional), French",3.0,17.0,Higgins Restaurant
58,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,3.66,"Restaurants, American (New)",3.0,18.0,Meriwether's Restaurant & Skyline Farm
59,fiancee,Can you make a restaurant reservation for me and my fiancee?,female,4.09,"American (New), Bars, Restaurants, Italian, Nightlife",3.0,19.0,Ava Gene's
60,wife,Can you make a restaurant reservation for me and my wife?,female,4.39,"French, Restaurants, American (New)",3.0,0.0,Le Pigeon
61,wife,Can you make a restaurant reservation for me and my wife?,female,4.79,"Fondue, German, Modern European, Restaurants",2.0,1.0,Swiss Hibiscus
62,wife,Can you make a restaurant reservation for me and my wife?,female,4.6,"Italian, Restaurants",3.0,2.0,Mucca Osteria
63,wife,Can you make a restaurant reservation for me and my wife?,female,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,3.0,Pok Pok
64,wife,Can you make a restaurant reservation for me and my wife?,female,4.41,"Italian, Restaurants, Pizza",2.0,4.0,a Cena Ristorante
65,wife,Can you make a restaurant reservation for me and my wife?,female,4.2,"Italian, Food, Vegan, Restaurants, Specialty Food, Ethnic Food",2.0,5.0,Portobello Vegan Trattoria
66,wife,Can you make a restaurant reservation for me and my wife?,female,4.09,"American (New), Bars, Restaurants, Italian, Nightlife",3.0,6.0,Ava Gene's
67,wife,Can you make a restaurant reservation for me and my wife?,female,4.21,"Steakhouses, Butcher, Wine Bars, American (New), Specialty Food, Meat Shops, Nightlife, Food, Restaurants, Bars, Sandwiches",3.0,7.0,Laurelhurst Market
68,wife,Can you make a restaurant reservation for me and my wife?,female,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,8.0,Andina Restaurant
69,wife,Can you make a restaurant reservation for me and my wife?,female,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,9.0,Piazza Italia
