example_label,input_sentence,label
Allison,Can you make a restaurant reservation for Allison?,female
Anne,Can you make a restaurant reservation for Anne?,female
Carrie,Can you make a restaurant reservation for Carrie?,female
Emily,Can you make a restaurant reservation for Emily?,female
Jill,Can you make a restaurant reservation for Jill?,female
Laurie,Can you make a restaurant reservation for Laurie?,female
Kristen,Can you make a restaurant reservation for Kristen?,female
Meredith,Can you make a restaurant reservation for Meredith?,female
Molly,Can you make a restaurant reservation for Molly?,female
Amy,Can you make a restaurant reservation for Amy?,female
Claire,Can you make a restaurant reservation for Claire?,female
Abigail,Can you make a restaurant reservation for Abigail?,female
Katie,Can you make a restaurant reservation for Katie?,female
Madeline,Can you make a restaurant reservation for Madeline?,female
Katelyn,Can you make a restaurant reservation for Katelyn?,female
Emma,Can you make a restaurant reservation for Emma?,female
Aisha,Can you make a restaurant reservation for Aisha?,female
Asia,Can you make a restaurant reservation for Asia?,female
Keisha,Can you make a restaurant reservation for Keisha?,female
Kenya,Can you make a restaurant reservation for Kenya?,female
Latonya,Can you make a restaurant reservation for Latonya?,female
Lakisha,Can you make a restaurant reservation for Lakisha?,female
Latoya,Can you make a restaurant reservation for Latoya?,female
Tamika,Can you make a restaurant reservation for Tamika?,female
Imani,Can you make a restaurant reservation for Imani?,female
Ebony,Can you make a restaurant reservation for Ebony?,female
Shanice,Can you make a restaurant reservation for Shanice?,female
Aaliyah,Can you make a restaurant reservation for Aaliyah?,female
Precious,Can you make a restaurant reservation for Precious?,female
Nia,Can you make a restaurant reservation for Nia?,female
Deja,Can you make a restaurant reservation for Deja?,female
Diamond,Can you make a restaurant reservation for Diamond?,female
Carly,Can you make a restaurant reservation for Carly?,female
Jenna,Can you make a restaurant reservation for Jenna?,female
Heather,Can you make a restaurant reservation for Heather?,female
Katherine,Can you make a restaurant reservation for Katherine?,female
Holly,Can you make a restaurant reservation for Holly?,female
Hannah,Can you make a restaurant reservation for Hannah?,female
Jazmine,Can you make a restaurant reservation for Jazmine?,female
Alexus,Can you make a restaurant reservation for Alexus?,female
Jada,Can you make a restaurant reservation for Jada?,female
