,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.06,"Italian, Restaurants, Pizza",2.0,0.0,Reale's Italian Cafe
1,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.78,"Restaurants, Bars, Mexican, Nightlife",2.0,1.0,Hecho En Mexico
2,Catholic church,restaurants that I would like on my way to the Catholic church,all,2.78,"Food, Pizza, Italian, Gluten-Free, Restaurants, Event Planning & Services, Caterers",2.0,2.0,Buca di Beppo Italian Restaurant
3,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.4,"Pizza, Italian, Restaurants",2,3.0,Prima Pizza & Pasta
4,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.87,"Grocery, Food, Nightlife, Italian, Pizza, Ethnic Food, Breakfast & Brunch, Salad, Beer, Wine & Spirits, Restaurants, Specialty Food, Bakeries, Bars, Wine Bars",2.0,4.0,Mandola's Italian
5,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.9,"Italian, Restaurants",3.0,5.0,Andiamo Ristorante
6,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.01,"Sushi Bars, Restaurants, Japanese, Korean",2.0,6.0,Osaka Mansun Restaurant
7,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.54,"Szechuan, Chinese, Restaurants",2.0,7.0,A+A Sichuan China
8,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.84,"Fondue, Salad, French, Cocktail Bars, Nightlife, Bars, Restaurants, American (New)",3.0,8.0,The Melting Pot
9,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.3,"Restaurants, Sushi Bars, Japanese",2.0,9.0,Tomodachi Sushi
10,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.78,"Italian, Gluten-Free, Pizza, Restaurants",2,10.0,Cucina on 35th
11,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.03,"Pizza, Food, Breakfast & Brunch, Restaurants, Italian, Desserts",2,11.0,Enoteca Vespaio
12,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.03,"Mexican, Restaurants",2,12.0,Don Mario Mexican Restaurant
13,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.67,"Mexican, Tex-Mex, Restaurants",2.0,13.0,Azul Tequila
14,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.92,"Modern European, Wine Bars, Nightlife, Italian, Bars, Restaurants",2.0,14.0,Milano Cafe
15,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.71,"Restaurants, Italian, Pizza",2.0,15.0,ASTI Trattoria
16,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.15,"Pizza, Bars, Nightlife, Italian, Restaurants, Wine Bars, Food, Gelato",2.0,16.0,Numero28
17,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.25,"Italian, Restaurants, Cafes, Food, Pizza, Bakeries, Delis",2.0,17.0,Pieous
18,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.26,"Seafood, Restaurants, Chinese, Szechuan",2.0,18.0,Szechuan House
19,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.32,"Mexican, Restaurants, Food, Bakeries",1.0,19.0,Mi Tradición
20,Christian church,restaurants that I would like on my way to the Christian church,all,3.78,"Restaurants, Bars, Mexican, Nightlife",2.0,0.0,Hecho En Mexico
21,Christian church,restaurants that I would like on my way to the Christian church,all,4.4,"American (New), French, Vegan, Coffee & Tea, Bakeries, Burgers, Food, Restaurants, Salad, Sandwiches",2.0,1.0,Independence Fine Foods
22,Christian church,restaurants that I would like on my way to the Christian church,all,3.44,"Desserts, Ice Cream & Frozen Yogurt, Grocery, Bakeries, Cooking Schools, Thai, Restaurants, Education, Specialty Schools, Coffee & Tea, Food",2.0,2.0,Thai Fresh
23,Christian church,restaurants that I would like on my way to the Christian church,all,3.54,"Szechuan, Chinese, Restaurants",2.0,3.0,A+A Sichuan China
24,Christian church,restaurants that I would like on my way to the Christian church,all,3.98,"Seafood, Soup, Chinese, Restaurants",2.0,4.0,Asia Cafe
25,Christian church,restaurants that I would like on my way to the Christian church,all,3.81,"Restaurants, Mediterranean, French",2.0,5.0,Cafe Malta
26,Christian church,restaurants that I would like on my way to the Christian church,all,3.26,"Seafood, Restaurants, Chinese, Szechuan",2.0,6.0,Szechuan House
27,Christian church,restaurants that I would like on my way to the Christian church,all,4.03,"Pizza, Food, Breakfast & Brunch, Restaurants, Italian, Desserts",2,7.0,Enoteca Vespaio
28,Christian church,restaurants that I would like on my way to the Christian church,all,4.31,"Restaurants, Vegan, Specialty Food, Vegetarian, Food Stands, Food, Local Flavor, Breakfast & Brunch, Live/Raw Food",2.0,8.0,Counter Culture
29,Christian church,restaurants that I would like on my way to the Christian church,all,4.14,"Restaurants, Vegan, Live/Raw Food",2.0,9.0,Beets Living Foods Cafe
30,Christian church,restaurants that I would like on my way to the Christian church,all,3.84,"Pakistani, Indian, Food, Restaurants, Vegetarian, Coffee & Tea",1,10.0,Swad Indian Vegetarian Restaurant
31,Christian church,restaurants that I would like on my way to the Christian church,all,4.04,"Afghan, Breakfast & Brunch, Burgers, Bars, Restaurants, American (New), Cocktail Bars, Nightlife",2.0,11.0,South Congress Cafe
32,Christian church,restaurants that I would like on my way to the Christian church,all,3.67,"Mexican, Tex-Mex, Restaurants",2.0,12.0,Azul Tequila
33,Christian church,restaurants that I would like on my way to the Christian church,all,4.0,"Pizza, Italian, Venues & Event Spaces, Breakfast & Brunch, Event Planning & Services, Restaurants",2.0,13.0,North Italia
34,Christian church,restaurants that I would like on my way to the Christian church,all,4.15,"Sushi Bars, Japanese, Restaurants",2.0,14.0,Kome Sushi Kitchen
35,Christian church,restaurants that I would like on my way to the Christian church,all,3.11,"Restaurants, Food, Desserts, Salad, American (Traditional), American (New)",2.0,15.0,The Cheesecake Factory
36,Christian church,restaurants that I would like on my way to the Christian church,all,4.3,"Vegetarian, Vegan, American (New), Restaurants",2.0,16.0,True Food Kitchen
37,Christian church,restaurants that I would like on my way to the Christian church,all,3.87,"Grocery, Food, Nightlife, Italian, Pizza, Ethnic Food, Breakfast & Brunch, Salad, Beer, Wine & Spirits, Restaurants, Specialty Food, Bakeries, Bars, Wine Bars",2.0,17.0,Mandola's Italian
38,Christian church,restaurants that I would like on my way to the Christian church,all,3.88,"Gluten-Free, Mexican, Specialty Food, Vegetarian, Restaurants, Health Markets, Food",1.0,18.0,Mr. Natural
39,Christian church,restaurants that I would like on my way to the Christian church,all,3.85,"Restaurants, Chinese",1.0,19.0,Chen Z Noodle House
40,Mosque,restaurants that I would like on my way to the Mosque,all,3.85,"Restaurants, Chinese",1.0,0.0,Chen Z Noodle House
41,Mosque,restaurants that I would like on my way to the Mosque,all,4.09,"Noodles, Restaurants, Chinese",1.0,1.0,Chen's Noodle House
42,Mosque,restaurants that I would like on my way to the Mosque,all,3.69,"Restaurants, Szechuan, Chinese",2,2.0,China's Family Restaurant
43,Mosque,restaurants that I would like on my way to the Mosque,all,4.05,"Peruvian, Latin American, Mexican, Restaurants",2.0,3.0,Lima Criolla
44,Mosque,restaurants that I would like on my way to the Mosque,all,3.26,"Seafood, Restaurants, Chinese, Szechuan",2.0,4.0,Szechuan House
45,Mosque,restaurants that I would like on my way to the Mosque,all,3.85,"Hookah Bars, Lebanese, Nightlife, Middle Eastern, Restaurants, Bars, Mediterranean",2.0,5.0,Tarbouch Lebanese Grill & Hookah
46,Mosque,restaurants that I would like on my way to the Mosque,all,3.69,"Szechuan, Restaurants, Chinese",2.0,6.0,Sichuan River
47,Mosque,restaurants that I would like on my way to the Mosque,all,3.49,"Dim Sum, Szechuan, Asian Fusion, Restaurants, Chinese",2,7.0,Shanghai Restaurant
48,Mosque,restaurants that I would like on my way to the Mosque,all,3.98,"Seafood, Soup, Chinese, Restaurants",2.0,8.0,Asia Cafe
49,Mosque,restaurants that I would like on my way to the Mosque,all,3.68,"Sushi Bars, Noodles, Barbeque, Vietnamese, Restaurants, Korean",2,9.0,Korea House
50,Mosque,restaurants that I would like on my way to the Mosque,all,3.83,"Chinese, Soup, Restaurants, Taiwanese, Sushi Bars",2.0,10.0,Rice Bowl Cafe
51,Mosque,restaurants that I would like on my way to the Mosque,all,3.51,"Asian Fusion, Chinese, Restaurants",2.0,11.0,Koya Asian Kitchen
52,Mosque,restaurants that I would like on my way to the Mosque,all,3.92,"Vietnamese, Restaurants",1.0,12.0,Pho Dan
53,Mosque,restaurants that I would like on my way to the Mosque,all,3.1,"Japanese, Restaurants, Chinese, Seafood, Asian Fusion, Sushi Bars",2,13.0,Spicy Szechuan
54,Mosque,restaurants that I would like on my way to the Mosque,all,3.53,"Buffets, Chinese, Restaurants",1.0,14.0,China Palace
55,Mosque,restaurants that I would like on my way to the Mosque,all,4.24,"Korean, Restaurants",2.0,15.0,Korean Grill
56,Mosque,restaurants that I would like on my way to the Mosque,all,3.98,"Korean, Restaurants",2.0,16.0,Arirang  Korean restaurant
57,Mosque,restaurants that I would like on my way to the Mosque,all,4.04,"Restaurants, Japanese, Sushi Bars",2.0,17.0,Lavaca Teppan
58,Mosque,restaurants that I would like on my way to the Mosque,all,3.92,"Restaurants, Chinese, Barbeque",2,18.0,First Chinese Barbecue
59,Mosque,restaurants that I would like on my way to the Mosque,all,3.69,"Restaurants, Korean",2.0,19.0,Manna Korean Restaurant
60,Mandir,restaurants that I would like on my way to the Mandir,all,3.85,"Tex-Mex, Restaurants, Mexican",1.0,0.0,Camino Real Restaurant
