,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.5,"Vegetarian, Restaurants, Gluten-Free, Italian",2.0,0.0,Carmelina's
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.12,"Restaurants, Italian",3.0,1.0,Mamma Maria
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.86,"Pasta Shops, Seafood, Bars, Nightlife, Specialty Food, Wine Bars, Italian, Food, Restaurants",2.0,2.0,Giacomo's
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.46,"Italian, Mediterranean, Pizza, Restaurants",2.0,3.0,Pomodoro
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.22,"Nightlife, Seafood, Wine Bars, Bars, Restaurants, Italian",2.0,4.0,Giacomo's Ristorante - Boston
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.65,"Pizza, Gluten-Free, Italian, American (New), Restaurants",2.0,5.0,Antico Forno
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.95,"Pizza, Italian, Restaurants, Pasta Shops, Organic Stores, Cocktail Bars, Nightlife, Specialty Food, Bars, Food, Gluten-Free",2.0,6.0,La Famiglia Giorgio's
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.42,"American (New), Breakfast & Brunch, Bars, Nightlife, Wine Bars, American (Traditional), Restaurants",3.0,7.0,Top of the Hub
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.16,"Restaurants, Cocktail Bars, American (Traditional), Live/Raw Food, Seafood, Pubs, Nightlife, Bars",3.0,8.0,Atlantic Fish Company
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.64,"Nightlife, Beer, Wine & Spirits, Food, Seafood Markets, Bars, Salad, Seafood, Restaurants, Specialty Food, Sandwiches, Gluten-Free",3.0,9.0,Legal Sea Foods
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.29,"Nightlife, Seafood, Bars, Food, Restaurants",3.0,10.0,Island Creek Oyster Bar
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.05,"Food, Bakeries, Salad, Italian, Seafood, Restaurants",2.0,11.0,Al Dente Restaurant
