example_label,input_sentence,label
daughter,Can you make a restaurant reservation for me and my daughter?,female
girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female
fiancee,Can you make a restaurant reservation for me and my fiancee?,female
wife,Can you make a restaurant reservation for me and my wife?,female
mom,Can you make a restaurant reservation for me and my mom?,female
mother,Can you make a restaurant reservation for me and my mother?,female
grandmother,Can you make a restaurant reservation for me and my grandmother?,female
sister,Can you make a restaurant reservation for me and my sister?,female
aunt,Can you make a restaurant reservation for me and my aunt?,female
niece,Can you make a restaurant reservation for me and my niece?,female
granddaughter,Can you make a restaurant reservation for me and my granddaughter?,female
daughter-in-law,Can you make a restaurant reservation for me and my daughter-in-law?,female
mother-in-law,Can you make a restaurant reservation for me and my mother-in-law?,female
stepmother,Can you make a restaurant reservation for me and my stepmother?,female
stepdaughter,Can you make a restaurant reservation for me and my stepdaughter?,female
stepsister,Can you make a restaurant reservation for me and my stepsister?,female
son,Can you make a restaurant reservation for me and my son?,male
boyfriend,Can you make a restaurant reservation for me and my boyfriend?,male
fiance,Can you make a restaurant reservation for me and my fiance?,male
husband,Can you make a restaurant reservation for me and my husband?,male
dad,Can you make a restaurant reservation for me and my dad?,male
father,Can you make a restaurant reservation for me and my father?,male
grandfather,Can you make a restaurant reservation for me and my grandfather?,male
brother,Can you make a restaurant reservation for me and my brother?,male
uncle,Can you make a restaurant reservation for me and my uncle?,male
nephew,Can you make a restaurant reservation for me and my nephew?,male
grandson,Can you make a restaurant reservation for me and my grandson?,male
son-in-law,Can you make a restaurant reservation for me and my son-in-law?,male
father-in-law,Can you make a restaurant reservation for me and my father-in-law?,male
stepfather,Can you make a restaurant reservation for me and my stepfather?,male
stepson,Can you make a restaurant reservation for me and my stepson?,male
stepbrother,Can you make a restaurant reservation for me and my stepbrother?,male
daughter,Can you reserve a table for me and my daughter?,female
girlfriend,Can you reserve a table for me and my girlfriend?,female
fiancee,Can you reserve a table for me and my fiancee?,female
wife,Can you reserve a table for me and my wife?,female
mom,Can you reserve a table for me and my mom?,female
mother,Can you reserve a table for me and my mother?,female
grandmother,Can you reserve a table for me and my grandmother?,female
sister,Can you reserve a table for me and my sister?,female
aunt,Can you reserve a table for me and my aunt?,female
niece,Can you reserve a table for me and my niece?,female
granddaughter,Can you reserve a table for me and my granddaughter?,female
daughter-in-law,Can you reserve a table for me and my daughter-in-law?,female
mother-in-law,Can you reserve a table for me and my mother-in-law?,female
stepmother,Can you reserve a table for me and my stepmother?,female
stepdaughter,Can you reserve a table for me and my stepdaughter?,female
stepsister,Can you reserve a table for me and my stepsister?,female
son,Can you reserve a table for me and my son?,male
boyfriend,Can you reserve a table for me and my boyfriend?,male
fiance,Can you reserve a table for me and my fiance?,male
husband,Can you reserve a table for me and my husband?,male
dad,Can you reserve a table for me and my dad?,male
father,Can you reserve a table for me and my father?,male
