,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Asian,restaurants that Asian would like,all,3.78,"Restaurants, Asian Fusion, Pan Asian, Thai, Filipino, Chicken Wings, Vietnamese",2.0,0.0,Pok Pok
1,Asian,restaurants that Asian would like,all,3.53,"Dim Sum, Seafood, Cantonese, Local Flavor, Restaurants, Chinese",2.0,1.0,Wong's King Seafood Restaurant
2,Asian,restaurants that Asian would like,all,4.06,"Bars, Tapas/Small Plates, Lounges, Nightlife, Noodles, Vietnamese, Restaurants, Cocktail Bars",2,2.0,Luc Lac
3,Asian,restaurants that Asian would like,all,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,3.0,Andina Restaurant
4,Asian,restaurants that Asian would like,all,3.5,"Restaurants, Cantonese, Chinese, Noodles, Dim Sum",2.0,4.0,H K Café
5,Asian,restaurants that Asian would like,all,3.06,"Asian Fusion, Chinese, Restaurants, Vietnamese",2,5.0,Thien Hong
6,Asian,restaurants that Asian would like,all,3.39,"Cantonese, Chinese, Seafood, Dim Sum, Restaurants",2.0,6.0,Ocean City Seafood Restaurant
7,Asian,restaurants that Asian would like,all,3.88,"Restaurants, Desserts, Thai, Food, Noodles",2.0,7.0,Red Onion Thai Cuisine
8,Asian,restaurants that Asian would like,all,4.28,"Vegetarian, Thai, Nightlife, Food, Cocktail Bars, Bars, Chicken Shop, Restaurants",2.0,8.0,Nong's Khao Man Gai
9,Asian,restaurants that Asian would like,all,3.74,"Dim Sum, Asian Fusion, Bars, Chinese, Lounges, Sushi Bars, American (New), Cocktail Bars, Nightlife, Restaurants",2.0,9.0,Saucebox
10,Asian,restaurants that Asian would like,all,3.71,"Food, Korean, Restaurants, Asian Fusion, Beer, Wine & Spirits, Mongolian, Japanese",3.0,10.0,Departure
11,Asian,restaurants that Asian would like,all,3.14,"Restaurants, Chinese",2.0,11.0,Mandarin Cove
12,Asian,restaurants that Asian would like,all,3.98,"Asian Fusion, Restaurants, American (Traditional), Bars, Nightlife, Seafood, Steakhouses, American (New)",3,12.0,Portland City Grill
13,Asian,restaurants that Asian would like,all,3.45,"Thai, Restaurants",2.0,13.0,Typhoon!
14,Asian,restaurants that Asian would like,all,3.53,"Seafood, Restaurants, Vietnamese",2.0,14.0,Oc House
