,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.12,"Restaurants, Italian",3.0,0.0,Mamma Maria
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.5,"Vegetarian, Restaurants, Gluten-Free, Italian",2.0,1.0,Carmelina's
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.65,"Pizza, Gluten-Free, Italian, American (New), Restaurants",2.0,2.0,Antico Forno
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.46,"Italian, Mediterranean, Pizza, Restaurants",2.0,3.0,Pomodoro
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.86,"Pasta Shops, Seafood, Bars, Nightlife, Specialty Food, Wine Bars, Italian, Food, Restaurants",2.0,4.0,Giacomo's
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.16,"Restaurants, Cocktail Bars, American (Traditional), Live/Raw Food, Seafood, Pubs, Nightlife, Bars",3.0,5.0,Atlantic Fish Company
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.42,"American (New), Breakfast & Brunch, Bars, Nightlife, Wine Bars, American (Traditional), Restaurants",3.0,6.0,Top of the Hub
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.29,"Nightlife, Seafood, Bars, Food, Restaurants",3.0,7.0,Island Creek Oyster Bar
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.22,"Nightlife, Seafood, Wine Bars, Bars, Restaurants, Italian",2.0,8.0,Giacomo's Ristorante - Boston
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.91,"Food, Cocktail Bars, Restaurants, Bars, French, American (New), Brasseries, Modern European, Nightlife, Beer, Wine & Spirits, Breakfast & Brunch",2.0,9.0,Gaslight
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.96,"Nightlife, Beer Bar, Wine Bars, Bars, Restaurants, Italian",3.0,10.0,Bricco
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.95,"Pizza, Italian, Restaurants, Pasta Shops, Organic Stores, Cocktail Bars, Nightlife, Specialty Food, Bars, Food, Gluten-Free",2.0,11.0,La Famiglia Giorgio's
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.2,"Venues & Event Spaces, American (Traditional), Steakhouses, Restaurants, American (New), Seafood, Event Planning & Services",3.0,12.0,Chart House
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.15,"Nightlife, French, Wine Bars, Restaurants, British, Bars",4.0,13.0,L'Espalier
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.01,"Beer, Wine & Spirits, Restaurants, Wine Bars, Nightlife, Food, Italian, Bars",2.0,14.0,Limoncello Ristorante
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.1,"Italian, Restaurants, Steakhouses",3.0,15.0,Toscano Restaurant
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.85,"Nightlife, Bars, Mediterranean, Wine Bars, Italian, Restaurants",2.0,16.0,Trattoria Il Panino
