,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.08,"Nightlife, Kitchen & Bath, Home & Garden, Shopping, American (New), Southern, Restaurants, Bars",2,0.0,JCT Kitchen & Bar
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.63,"Restaurants, Italian, Bars, Venues & Event Spaces, Nightlife, Event Planning & Services",2.0,1.0,Maggiano's Little Italy
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.37,"Italian, Pizza, Restaurants",2.0,2.0,Baraonda Italian Restaurant
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.33,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",2.0,3.0,South City Kitchen Midtown
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.09,"Tapas/Small Plates, Bars, Nightlife, Wine Bars, Spanish, Restaurants",2.0,4.0,Barcelona Westside Ironworks
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.12,"Italian, Restaurants, Pasta Shops, Wine Bars, Specialty Food, Food, Nightlife, Bars",2.0,5.0,Pasta Da Pulcinella
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.95,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",2.0,6.0,Sun in My Belly
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.65,"Steakhouses, American (New), Sushi Bars, Restaurants, American (Traditional)",2,7.0,Houston's Restaurant
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.59,"Restaurants, Event Planning & Services, Bars, Nightlife, Italian, Venues & Event Spaces",2.0,8.0,Maggiano's Little Italy
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.09,"Nightlife, Beer, Wine & Spirits, Bars, Italian, Food, Restaurants, Wine Bars",3.0,9.0,Sotto Sotto
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.59,"Nightlife, American (Traditional), Pizza, Brewpubs, Restaurants, Pubs, Sports Bars, Bars, Breweries, Food",2.0,10.0,Max Lager's Wood-Fired Grill & Brewery
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.6,"Italian, Restaurants",3.0,11.0,Antica Posta Ristorante Toscano
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.22,"Restaurants, Nightlife, Cocktail Bars, Middle Eastern, Persian/Iranian, Bars",2.0,12.0,Rumi's Kitchen
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.36,"Brazilian, Seafood, Restaurants, Barbeque, Steakhouses",3,13.0,Fogo de Chao - Atlanta
