,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Asian,restaurants that Asian would like,all,3.88,"Asian Fusion, Restaurants, Sushi Bars, Japanese",2.0,0.0,Mix-It Restaurant - Sushi Bar
1,Asian,restaurants that Asian would like,all,4.33,"Vietnamese, Chinese, Thai, Restaurants",2.0,1.0,Mae Asian Eatery
2,Asian,restaurants that Asian would like,all,3.6,"Restaurants, Jazz & Blues, Piano Bars, Japanese, Sushi Bars, Nightlife, Asian Fusion, Arts & Entertainment, Thai",2.0,2.0,The Mad Monkfish
3,Asian,restaurants that Asian would like,all,2.99,"Japanese, Thai, Restaurants, Chinese",2.0,3.0,Beijing Tokyo
4,Asian,restaurants that Asian would like,all,3.71,"Asian Fusion, Korean, Seafood, Restaurants, Vietnamese",2.0,4.0,Chocho's
5,Asian,restaurants that Asian would like,all,3.1,"Gluten-Free, Sushi Bars, Asian Fusion, Japanese, Restaurants",2.0,5.0,Ginger Exchange
6,Asian,restaurants that Asian would like,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,6.0,Sugar & Spice
7,Asian,restaurants that Asian would like,all,3.57,"Japanese, Asian Fusion, Nightlife, Korean, Sushi Bars, Thai, Restaurants",2.0,7.0,Spice & Rice
8,Asian,restaurants that Asian would like,all,3.79,"Chinese, Restaurants, Taiwanese",2.0,8.0,Mu Lan
9,Asian,restaurants that Asian would like,all,3.31,"Restaurants, Chinese",2.0,9.0,Changsho
10,Asian,restaurants that Asian would like,all,3.51,"Thai, Restaurants",1.0,10.0,CurryThai Restaurant
11,Asian,restaurants that Asian would like,all,3.52,"Thai, Restaurants",2.0,11.0,Pepper Sky's Thai Sensation
12,Asian,restaurants that Asian would like,all,3.5,"Chinese, Restaurants",2.0,12.0,Wok N' Roll
13,Asian,restaurants that Asian would like,all,3.3,"Malaysian, Cantonese, Restaurants, Chinese, Thai",2.0,13.0,Royal East Restaurant
14,Asian,restaurants that Asian would like,all,3.69,"Restaurants, Thai",2.0,14.0,Pandan Leaf
15,Asian,restaurants that Asian would like,all,4.23,"Soup, Salad, Diners, Steakhouses, Comfort Food, Japanese, Japanese Curry, Restaurants",1.0,15.0,Cafe Mami
16,Asian,restaurants that Asian would like,all,3.6,"Bars, Cocktail Bars, Restaurants, Nightlife, Sushi Bars, Japanese",2.0,16.0,Fuji At Kendall
17,Asian,restaurants that Asian would like,all,3.26,"Fast Food, Comfort Food, Restaurants, Japanese",2.0,17.0,Go Go Curry Cambridge
18,Asian,restaurants that Asian would like,all,3.02,"Asian Fusion, Japanese, Tapas Bars, Bars, Chinese, Nightlife, Sushi Bars, Restaurants",2.0,18.0,Moksa Restaurant
19,Asian,restaurants that Asian would like,all,4.32,"Restaurants, Japanese",1.0,19.0,Tampopo
20,Indian,restaurants that Indian would like,all,3.79,"Vegetarian, Halal, Indian, Pakistani, Restaurants",2.0,0.0,Royal Punjab
21,Indian,restaurants that Indian would like,all,3.29,"Pakistani, Indian, Restaurants",2.0,1.0,Tamarind Bay
22,Indian,restaurants that Indian would like,all,3.45,"Juice Bars & Smoothies, Indian, Food, Pakistani, Restaurants",2.0,2.0,Passage to India
23,Indian,restaurants that Indian would like,all,3.49,"Indian, Pakistani, Restaurants",2.0,3.0,India Pavilion
24,Indian,restaurants that Indian would like,all,3.74,"Indian, Restaurants, Vegan, Buffets, Pakistani",2.0,4.0,Harvest of India
25,Indian,restaurants that Indian would like,all,4.05,"Indian, Nightlife, Vegetarian, Cocktail Bars, Restaurants, Bars, Desserts, Seafood, Food",2.0,5.0,Nirvana The Taste of India
26,Indian,restaurants that Indian would like,all,3.56,"Pakistani, Tapas/Small Plates, Restaurants, Indian",2.0,6.0,Tanjore
27,Indian,restaurants that Indian would like,all,3.46,"Pakistani, Restaurants, Caterers, Indian, Event Planning & Services",2.0,7.0,Haveli Restaurant
28,Indian,restaurants that Indian would like,all,3.2,"Himalayan/Nepalese, Pakistani, Restaurants, Indian",2.0,8.0,Annapurna Restaurant
