,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
1,school,Where can I get food on my way to the school?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,1.0,Tin Drum Asian Kitchen - Georgia Tech
2,school,Where can I get food on my way to the school?,all,1.82,"Chinese, Vietnamese, Thai, Restaurants",1.0,2.0,Lucky Buddha
3,school,Where can I get food on my way to the school?,all,2.71,"Sushi Bars, Japanese, Restaurants, Korean",1,3.0,Umma's House Restaurant & Cafe
4,school,Where can I get food on my way to the school?,all,2.93,"Thai, Vegetarian, Restaurants, Asian Fusion, Chinese, Gluten-Free",1.0,4.0,Tin Drum Asian Kitchen - Lindbergh Plaza
5,school,Where can I get food on my way to the school?,all,3.41,"Vegetarian, Restaurants, Vegan",1,5.0,Govinda's Cafe
6,school,Where can I get food on my way to the school?,all,2.3,"Thai, Chinese, Gluten-Free, Vegetarian, Asian Fusion, Restaurants",1,6.0,Tin Drum Asian Kitchen - Atlantic Station
7,school,Where can I get food on my way to the school?,all,3.82,"Vietnamese, Salad, Noodles, Restaurants",2.0,7.0,Dua Vietnamese
8,school,Where can I get food on my way to the school?,all,3.49,"Nightlife, Bars, Vietnamese, Asian Fusion, Korean, Restaurants, American (New)",2.0,8.0,Hungry Ghost
9,school,Where can I get food on my way to the school?,all,2.32,"Chinese, Thai, Asian Fusion, Japanese, Restaurants",1,9.0,Tin Drum Asian Kitchen - Akers Mill Square
10,school,Where can I get food on my way to the school?,all,2.83,"Chinese, Restaurants",1.0,10.0,China Dragon
11,school,Where can I get food on my way to the school?,all,2.3,"Food, Bagels, Sandwiches, Salad, Restaurants, Soup, Coffee & Tea, Breakfast & Brunch",1,11.0,Panera Bread
12,school,Where can I get food on my way to the school?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,12.0,Kwan's Deli and Korean Kitchen
13,school,Where can I get food on my way to the school?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,13.0,Eats
14,school,Where can I get food on my way to the school?,all,3.5,"Restaurants, Mexican",1.0,14.0,Bell Street Burritos
15,school,Where can I get food on my way to the school?,all,3.31,"Sandwiches, Chicken Wings, Restaurants, American (Traditional), Delis",1.0,15.0,Patrick's Sub Shop
16,school,Where can I get food on my way to the school?,all,3.53,"Mexican, Restaurants",1.0,16.0,Bell Street Burritos
17,school,Where can I get food on my way to the school?,all,2.75,"Seafood, Restaurants, American (New)",1.0,17.0,Boneheads
18,school,Where can I get food on my way to the school?,all,2.89,"American (New), African, Seafood, Restaurants",1.0,18.0,Fishook Grille
19,school,Where can I get food on my way to the school?,all,2.82,"Japanese, Restaurants, Fast Food, Noodles",1.0,19.0,Extreme Teriyaki Grill Express
20,university,Where can I get food on my way to the university?,all,3.49,"Nightlife, Bars, Vietnamese, Asian Fusion, Korean, Restaurants, American (New)",2.0,0.0,Hungry Ghost
21,university,Where can I get food on my way to the university?,all,3.84,"Burgers, Restaurants, Malaysian, Chinese, Chicken Wings",1.0,1.0,Burger Win
22,university,Where can I get food on my way to the university?,all,3.82,"Vietnamese, Salad, Noodles, Restaurants",2.0,2.0,Dua Vietnamese
23,university,Where can I get food on my way to the university?,all,2.71,"Sushi Bars, Japanese, Restaurants, Korean",1,3.0,Umma's House Restaurant & Cafe
24,university,Where can I get food on my way to the university?,all,4.43,"Restaurants, Korean",2.0,4.0,Blossom Tree
25,university,Where can I get food on my way to the university?,all,1.82,"Chinese, Vietnamese, Thai, Restaurants",1.0,5.0,Lucky Buddha
26,university,Where can I get food on my way to the university?,all,3.28,"Restaurants, Food, Specialty Food, Vietnamese",1.0,6.0,Viet Tofu
27,university,Where can I get food on my way to the university?,all,4.11,"Middle Eastern, Sushi Bars, Restaurants, Mediterranean, Falafel",1,7.0,Falafel King
28,university,Where can I get food on my way to the university?,all,3.5,"Sandwiches, Fish & Chips, Cajun/Creole, Restaurants, Seafood",2.0,8.0,Crawfish Shack Seafood
29,university,Where can I get food on my way to the university?,all,2.86,"Restaurants, Korean, Mexican",1.0,9.0,OMG Taco
30,university,Where can I get food on my way to the university?,all,2.71,"Sushi Bars, Chinese, Restaurants",1.0,10.0,Papa Chow
31,university,Where can I get food on my way to the university?,all,4.24,"Korean, Mexican, Restaurants, Asian Fusion",2,11.0,Hankook Taqueria
32,university,Where can I get food on my way to the university?,all,2.83,"Chinese, Restaurants",1.0,12.0,China Dragon
33,university,Where can I get food on my way to the university?,all,2.26,"Restaurants, Soup, Chinese, Sushi Bars",2.0,13.0,Gyro & Teriyaki
34,university,Where can I get food on my way to the university?,all,3.9,"Turkish, Mediterranean, Restaurants, Greek",1.0,14.0,Ali Baba Cafe
35,university,Where can I get food on my way to the university?,all,3.64,"Bangladeshi, Restaurants, Grocery, Food",1.0,15.0,Al-Amin Restaurant
36,university,Where can I get food on my way to the university?,all,4.33,"Specialty Food, Restaurants, Mediterranean, Ethnic Food, Food, Indian",2.0,16.0,Baraka Shawarma
37,university,Where can I get food on my way to the university?,all,2.86,"Restaurants, Chinese, Sushi Bars, Japanese",2.0,17.0,Aloha Asian Bistro & Sushi
38,university,Where can I get food on my way to the university?,all,3.53,"Food, Caribbean, Specialty Food, Restaurants",2.0,18.0,Foxx Original Jamaican Restaurant
39,university,Where can I get food on my way to the university?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,19.0,Kwan's Deli and Korean Kitchen
40,law office,Where can I get food on my way to the law office?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,0.0,Yumm Teriyaki
41,law office,Where can I get food on my way to the law office?,all,1.87,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",1.0,1.0,McDonald's
42,law office,Where can I get food on my way to the law office?,all,1.82,"Chinese, Vietnamese, Thai, Restaurants",1.0,2.0,Lucky Buddha
43,law office,Where can I get food on my way to the law office?,all,2.3,"Food, Bagels, Sandwiches, Salad, Restaurants, Soup, Coffee & Tea, Breakfast & Brunch",1,3.0,Panera Bread
44,law office,Where can I get food on my way to the law office?,all,3.64,"Sandwiches, Cheesesteaks, Vegetarian, Cafes, Restaurants, Fast Food, Greek",2.0,4.0,Mr Everything Cafe
45,law office,Where can I get food on my way to the law office?,all,2.75,"Seafood, Restaurants, American (New)",1.0,5.0,Boneheads
46,law office,Where can I get food on my way to the law office?,all,2.7,"Chicken Wings, Food, Pizza, Restaurants",2,6.0,Mama Mia Pizza And Wings
47,law office,Where can I get food on my way to the law office?,all,1.57,"Food, Fast Food, Coffee & Tea, Restaurants, Burgers",1,7.0,McDonald's
48,law office,Where can I get food on my way to the law office?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,8.0,Eats
49,law office,Where can I get food on my way to the law office?,all,1.84,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",1.0,9.0,McDonald's
50,law office,Where can I get food on my way to the law office?,all,1.33,"Food, Fast Food, Burgers, Restaurants, Coffee & Tea",1.0,10.0,McDonald's
51,law office,Where can I get food on my way to the law office?,all,2.96,"Restaurants, Diners, Breakfast & Brunch, American (Traditional), American (New)",1.0,11.0,Waffle House
52,law office,Where can I get food on my way to the law office?,all,3.46,"Restaurants, Southern",1.0,12.0,Donnie's Country Cookin'
53,law office,Where can I get food on my way to the law office?,all,3.49,"Gluten-Free, Southern, Restaurants, Kebab, Mediterranean, Greek, Sandwiches",1.0,13.0,Zoes Kitchen
54,law office,Where can I get food on my way to the law office?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,14.0,Cafe Momo
55,law office,Where can I get food on my way to the law office?,all,3.41,"Vegetarian, Restaurants, Vegan",1,15.0,Govinda's Cafe
56,law office,Where can I get food on my way to the law office?,all,2.93,"Vegetarian, Thai, Chinese, Asian Fusion, Restaurants, Gluten-Free",1.0,16.0,Tin Drum Asian Kitchen - Georgia Tech
57,law office,Where can I get food on my way to the law office?,all,3.36,"Desserts, Fast Food, Food, Hot Dogs, American (Traditional), Restaurants, Burgers",1.0,17.0,Cook Out
58,law office,Where can I get food on my way to the law office?,all,2.91,"Soul Food, Southern, Restaurants, Seafood",2.0,18.0,Kelz Kitchen - Atlanta
59,law office,Where can I get food on my way to the law office?,all,2.45,"Diners, Restaurants",2.0,19.0,Landmark Diner
60,farm,Where can I get food on my way to the farm?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,0.0,Eats
61,farm,Where can I get food on my way to the farm?,all,3.46,"Specialty Food, Grocery, Hot Dogs, Diners, Scandinavian, Restaurants, Food, Ethnic Food, Salad, Breakfast & Brunch, Cafeteria",1.0,1.0,IKEA Restaurant
62,farm,Where can I get food on my way to the farm?,all,4.05,"Restaurants, Chocolatiers & Shops, Specialty Food, Food, Meat Shops, Sandwiches, Cheese Shops, Vegetarian, American (New)",2.0,2.0,Star Provisions
63,farm,Where can I get food on my way to the farm?,all,3.49,"Salad, Restaurants, Sandwiches, Soup, American (New)",2.0,3.0,Farm To Ladle
64,farm,Where can I get food on my way to the farm?,all,3.82,"Vietnamese, Salad, Noodles, Restaurants",2.0,4.0,Dua Vietnamese
65,farm,Where can I get food on my way to the farm?,all,4.04,"Public Markets, Coffee & Tea, Farmers Market, Shopping, Restaurants, Specialty Food, Grocery, Food, Fruits & Veggies",2,5.0,The Municipal Market
66,farm,Where can I get food on my way to the farm?,all,3.85,"Restaurants, Cafes, Buffets, Sushi Bars",1.0,6.0,Cafe Momo
67,farm,Where can I get food on my way to the farm?,all,4.08,"Food, Middle Eastern, Herbs & Spices, Mediterranean, Greek, Specialty Food, Bakeries, Restaurants",1,7.0,Mediterranean Bakery & Sandwich
68,farm,Where can I get food on my way to the farm?,all,3.83,"Grocery, Cafes, Restaurants, Food",2.0,8.0,Grant Park Market
69,farm,Where can I get food on my way to the farm?,all,4.15,"Restaurants, Delis, Diners, Korean, American (Traditional), Burgers, Sandwiches",2.0,9.0,Kwan's Deli and Korean Kitchen
70,farm,Where can I get food on my way to the farm?,all,4.04,"Shopping Centers, Food, Flowers & Gifts, Restaurants, Specialty Food, Shopping",2.0,10.0,Krog Street Market
71,farm,Where can I get food on my way to the farm?,all,3.46,"Restaurants, Southern",1.0,11.0,Donnie's Country Cookin'
72,farm,Where can I get food on my way to the farm?,all,2.93,"Restaurants, Burgers, Hot Dogs, Fast Food",1.0,12.0,The Varsity
73,farm,Where can I get food on my way to the farm?,all,3.41,"Vegetarian, Restaurants, Vegan",1,13.0,Govinda's Cafe
74,farm,Where can I get food on my way to the farm?,all,4.04,"American (New), Restaurants, Salad, Breakfast & Brunch, Sandwiches, Soup",2,14.0,MetroFresh
75,farm,Where can I get food on my way to the farm?,all,3.65,"Vegan, Restaurants, Vegetarian",2,15.0,Soul Vegetarian Restaurant
76,farm,Where can I get food on my way to the farm?,all,3.7,"Pakistani, Vegetarian, Indian, Restaurants",1.0,16.0,Chat Patti
77,farm,Where can I get food on my way to the farm?,all,3.62,"Food, Southern, Restaurants",2.0,17.0,Paschal's Southern Cuisine
78,farm,Where can I get food on my way to the farm?,all,3.8,"Restaurants, Sandwiches, Food, Soup, Vegetarian, Salad",2.0,18.0,Fresh To Order
79,farm,Where can I get food on my way to the farm?,all,4.35,"Restaurants, Delis, Sandwiches, Food, Grocery",2.0,19.0,Urban Cannibals Bodega and Bites
80,barbershop,Where can I get food on my way to the barbershop?,all,3.9,"Southern, Fast Food, Caribbean, Restaurants, Italian",1,0.0,Eats
81,barbershop,Where can I get food on my way to the barbershop?,all,3.64,"Sandwiches, Cheesesteaks, Vegetarian, Cafes, Restaurants, Fast Food, Greek",2.0,1.0,Mr Everything Cafe
82,barbershop,Where can I get food on my way to the barbershop?,all,3.12,"Caterers, Barbeque, Restaurants, Event Planning & Services, Southern",1.0,2.0,Shane's Rib Shack
83,barbershop,Where can I get food on my way to the barbershop?,all,3.18,"Restaurants, Barbeque, Burgers, Chicken Wings",2.0,3.0,The Original J.R. Crickets in Midtown Atlanta
84,barbershop,Where can I get food on my way to the barbershop?,all,1.72,"Juice Bars & Smoothies, American (New), Burgers, Restaurants, American (Traditional), Steakhouses, Fast Food, Diners, Breakfast & Brunch, Food",1,4.0,Steak ’n Shake
85,barbershop,Where can I get food on my way to the barbershop?,all,2.49,"Chicken Wings, Sandwiches, Pizza, Restaurants, Italian",2.0,5.0,Goodfellas Pizza & Wings
86,barbershop,Where can I get food on my way to the barbershop?,all,2.91,"Soul Food, Southern, Restaurants, Seafood",2.0,6.0,Kelz Kitchen - Atlanta
87,barbershop,Where can I get food on my way to the barbershop?,all,1.84,"Restaurants, American (Traditional), Diners, Burgers, Fast Food, American (New), Breakfast & Brunch",1,7.0,Steak 'n Shake
88,barbershop,Where can I get food on my way to the barbershop?,all,3.76,"Restaurants, Sandwiches, Cheesesteaks",2.0,8.0,Weeyums Philly Style
89,barbershop,Where can I get food on my way to the barbershop?,all,3.24,"American (Traditional), Restaurants, Burgers",2.0,9.0,Big Al's Gourmet Butter Made Burgers
90,barbershop,Where can I get food on my way to the barbershop?,all,3.76,"Local Flavor, Restaurants, Barbeque",2.0,10.0,Daddy D'z BBQ Joynt
91,barbershop,Where can I get food on my way to the barbershop?,all,2.42,"Chicken Wings, Fast Food, Restaurants",1.0,11.0,Popeyes Louisiana Kitchen
92,barbershop,Where can I get food on my way to the barbershop?,all,2.61,"Chinese, Asian Fusion, Japanese, American (New), Restaurants",1.0,12.0,Yumm Teriyaki
93,barbershop,Where can I get food on my way to the barbershop?,all,2.9,"Restaurants, Fast Food, Chicken Shop, Caribbean, Latin American",1.0,13.0,Pollo Tropical
94,barbershop,Where can I get food on my way to the barbershop?,all,3.36,"Fast Food, Restaurants, American (Traditional), Hot Dogs, Desserts, Burgers, Food",1.0,14.0,Cook Out
95,barbershop,Where can I get food on my way to the barbershop?,all,3.29,"Desserts, Fast Food, Hot Dogs, American (Traditional), Burgers, Food, Restaurants",1.0,15.0,Cook Out
96,barbershop,Where can I get food on my way to the barbershop?,all,2.01,"Fast Food, Chicken Wings, Restaurants",1.0,16.0,Popeyes Louisiana Kitchen
97,barbershop,Where can I get food on my way to the barbershop?,all,3.61,"Restaurants, Nightlife, Bars, Sandwiches, Beer Bar, Hot Dogs, Cheesesteaks",1.0,17.0,Woody's  CheeseSteaks
