,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,0.0,Hawkers Asian Street Food
1,court,Where can I get food on my way to the [MASK]?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,1.0,Infusion Tea
2,court,Where can I get food on my way to the [MASK]?,all,4.45,"Restaurants, Sandwiches, Vegetarian, Food, Asian Fusion, Coffee & Tea",2.0,2.0,Pom Pom's Teahouse & Sandwicheria
3,court,Where can I get food on my way to the [MASK]?,all,3.64,"Asian Fusion, Sushi Bars, Restaurants, Chinese",2.0,3.0,Bento Asian Kitchen + Sushi
4,court,Where can I get food on my way to the [MASK]?,all,4.2,"Mexican, Empanadas, Chinese, Asian Fusion, Latin American, Food, Restaurants",1.0,4.0,Tako Cheena
5,court,Where can I get food on my way to the [MASK]?,all,4.02,"Restaurants, Bars, American (Traditional), Smokehouse, Nightlife, Food, Barbeque, American (New), Southern",2.0,5.0,The Polite Pig
6,court,Where can I get food on my way to the [MASK]?,all,3.76,"Restaurants, Asian Fusion, Chinese, Sushi Bars",2.0,6.0,Bento Asian Kitchen + Sushi
7,court,Where can I get food on my way to the [MASK]?,all,4.3,"Nightlife, Bars, Restaurants, Pizza",1.0,7.0,Lazy Moon Pizza
8,court,Where can I get food on my way to the [MASK]?,all,4.03,"Waffles, Food, American (New), Coffee & Tea, Restaurants, Nightlife, Bars, Breakfast & Brunch, American (Traditional), Vegetarian",2.0,8.0,Artisan's Table
9,court,Where can I get food on my way to the [MASK]?,all,4.44,"Food, Desserts, Breakfast & Brunch, Coffee & Tea, Restaurants, American (New), Bakeries",2.0,9.0,Se7en Bites
10,court,Where can I get food on my way to the [MASK]?,all,3.73,"Wine Bars, Restaurants, Bars, Pubs, American (New), Nightlife",2.0,10.0,Dexter's - Thornton Park
11,court,Where can I get food on my way to the [MASK]?,all,4.2,"Italian, Restaurants, Pizza, Salad",2.0,11.0,Pizza Bruno
12,court,Where can I get food on my way to the [MASK]?,all,4.25,"Seafood, Fish & Chips, Restaurants, American (New)",2.0,12.0,Slapfish
13,court,Where can I get food on my way to the [MASK]?,all,3.8,"Pizza, Salad, American (New), American (Traditional), Desserts, Soup, Food, Restaurants",2.0,13.0,California Pizza Kitchen at Waterford Lakes
14,court,Where can I get food on my way to the [MASK]?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,14.0,Sofrito Latin Cafe
15,court,Where can I get food on my way to the [MASK]?,all,4.53,"Fast Food, Asian Fusion, Restaurants",1.0,15.0,King Bao
16,court,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Burgers, Food, Cheese Shops, Specialty Food, Restaurants, Vegan, Barbeque",1.0,16.0,Toasted
17,court,Where can I get food on my way to the [MASK]?,all,4.59,"Food, Bars, Restaurants, Nightlife, Vegan, Bakeries, Vegetarian",2.0,17.0,Market On South
18,court,Where can I get food on my way to the [MASK]?,all,3.93,"Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional)",2.0,18.0,Shake Shack
19,court,Where can I get food on my way to the [MASK]?,all,4.15,"Beer Bar, Nightlife, Burgers, Bars, Sports Bars, American (New), Pubs, Restaurants",2.0,19.0,Rock & Brews - Orlando
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,0.0,Hawkers Asian Street Food
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,1.0,Infusion Tea
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.45,"Restaurants, Sandwiches, Vegetarian, Food, Asian Fusion, Coffee & Tea",2.0,2.0,Pom Pom's Teahouse & Sandwicheria
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.64,"Asian Fusion, Sushi Bars, Restaurants, Chinese",2.0,3.0,Bento Asian Kitchen + Sushi
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.2,"Mexican, Empanadas, Chinese, Asian Fusion, Latin American, Food, Restaurants",1.0,4.0,Tako Cheena
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.02,"Restaurants, Bars, American (Traditional), Smokehouse, Nightlife, Food, Barbeque, American (New), Southern",2.0,5.0,The Polite Pig
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.76,"Restaurants, Asian Fusion, Chinese, Sushi Bars",2.0,6.0,Bento Asian Kitchen + Sushi
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.3,"Nightlife, Bars, Restaurants, Pizza",1.0,7.0,Lazy Moon Pizza
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.03,"Waffles, Food, American (New), Coffee & Tea, Restaurants, Nightlife, Bars, Breakfast & Brunch, American (Traditional), Vegetarian",2.0,8.0,Artisan's Table
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.44,"Food, Desserts, Breakfast & Brunch, Coffee & Tea, Restaurants, American (New), Bakeries",2.0,9.0,Se7en Bites
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.73,"Wine Bars, Restaurants, Bars, Pubs, American (New), Nightlife",2.0,10.0,Dexter's - Thornton Park
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.2,"Italian, Restaurants, Pizza, Salad",2.0,11.0,Pizza Bruno
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.25,"Seafood, Fish & Chips, Restaurants, American (New)",2.0,12.0,Slapfish
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.8,"Pizza, Salad, American (New), American (Traditional), Desserts, Soup, Food, Restaurants",2.0,13.0,California Pizza Kitchen at Waterford Lakes
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,14.0,Sofrito Latin Cafe
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.53,"Fast Food, Asian Fusion, Restaurants",1.0,15.0,King Bao
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Burgers, Food, Cheese Shops, Specialty Food, Restaurants, Vegan, Barbeque",1.0,16.0,Toasted
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.59,"Food, Bars, Restaurants, Nightlife, Vegan, Bakeries, Vegetarian",2.0,17.0,Market On South
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.93,"Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional)",2.0,18.0,Shake Shack
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,4.15,"Beer Bar, Nightlife, Burgers, Bars, Sports Bars, American (New), Pubs, Restaurants",2.0,19.0,Rock & Brews - Orlando
40,museum,Where can I get food on my way to the [MASK]?,all,4.09,"Restaurants, Gastropubs, Beer Bar, Bars, Tapas Bars, Nightlife, Noodles, Tapas/Small Plates, Malaysian, Japanese, Asian Fusion, Ramen, Pan Asian",2.0,0.0,Hawkers Asian Street Food
41,museum,Where can I get food on my way to the [MASK]?,all,4.1,"Local Flavor, Nightlife, Food, Vegan, Vegetarian, Venues & Event Spaces, Coffee & Tea, Event Planning & Services, Restaurants, Bars, Wine Bars",2.0,1.0,Infusion Tea
42,museum,Where can I get food on my way to the [MASK]?,all,4.45,"Restaurants, Sandwiches, Vegetarian, Food, Asian Fusion, Coffee & Tea",2.0,2.0,Pom Pom's Teahouse & Sandwicheria
43,museum,Where can I get food on my way to the [MASK]?,all,3.64,"Asian Fusion, Sushi Bars, Restaurants, Chinese",2.0,3.0,Bento Asian Kitchen + Sushi
44,museum,Where can I get food on my way to the [MASK]?,all,4.2,"Mexican, Empanadas, Chinese, Asian Fusion, Latin American, Food, Restaurants",1.0,4.0,Tako Cheena
45,museum,Where can I get food on my way to the [MASK]?,all,4.02,"Restaurants, Bars, American (Traditional), Smokehouse, Nightlife, Food, Barbeque, American (New), Southern",2.0,5.0,The Polite Pig
46,museum,Where can I get food on my way to the [MASK]?,all,3.76,"Restaurants, Asian Fusion, Chinese, Sushi Bars",2.0,6.0,Bento Asian Kitchen + Sushi
47,museum,Where can I get food on my way to the [MASK]?,all,4.3,"Nightlife, Bars, Restaurants, Pizza",1.0,7.0,Lazy Moon Pizza
48,museum,Where can I get food on my way to the [MASK]?,all,4.03,"Waffles, Food, American (New), Coffee & Tea, Restaurants, Nightlife, Bars, Breakfast & Brunch, American (Traditional), Vegetarian",2.0,8.0,Artisan's Table
49,museum,Where can I get food on my way to the [MASK]?,all,4.44,"Food, Desserts, Breakfast & Brunch, Coffee & Tea, Restaurants, American (New), Bakeries",2.0,9.0,Se7en Bites
50,museum,Where can I get food on my way to the [MASK]?,all,3.73,"Wine Bars, Restaurants, Bars, Pubs, American (New), Nightlife",2.0,10.0,Dexter's - Thornton Park
51,museum,Where can I get food on my way to the [MASK]?,all,4.2,"Italian, Restaurants, Pizza, Salad",2.0,11.0,Pizza Bruno
52,museum,Where can I get food on my way to the [MASK]?,all,4.25,"Seafood, Fish & Chips, Restaurants, American (New)",2.0,12.0,Slapfish
53,museum,Where can I get food on my way to the [MASK]?,all,3.8,"Pizza, Salad, American (New), American (Traditional), Desserts, Soup, Food, Restaurants",2.0,13.0,California Pizza Kitchen at Waterford Lakes
54,museum,Where can I get food on my way to the [MASK]?,all,4.3,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan",2.0,14.0,Sofrito Latin Cafe
55,museum,Where can I get food on my way to the [MASK]?,all,4.53,"Fast Food, Asian Fusion, Restaurants",1.0,15.0,King Bao
56,museum,Where can I get food on my way to the [MASK]?,all,4.09,"Sandwiches, Burgers, Food, Cheese Shops, Specialty Food, Restaurants, Vegan, Barbeque",1.0,16.0,Toasted
57,museum,Where can I get food on my way to the [MASK]?,all,4.59,"Food, Bars, Restaurants, Nightlife, Vegan, Bakeries, Vegetarian",2.0,17.0,Market On South
58,museum,Where can I get food on my way to the [MASK]?,all,3.93,"Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional)",2.0,18.0,Shake Shack
