,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,girls,restaurants that girls would like,female,4.04,"Afghan, Breakfast & Brunch, Burgers, Bars, Restaurants, American (New), Cocktail Bars, Nightlife",2.0,0.0,South Congress Cafe
1,girls,restaurants that girls would like,female,4.0,"Pizza, Italian, Venues & Event Spaces, Breakfast & Brunch, Event Planning & Services, Restaurants",2.0,1.0,North Italia
2,girls,restaurants that girls would like,female,3.37,"Asian Fusion, Sushi Bars, Hawaiian, Restaurants, American (New)",2.0,2.0,Kona Grill
3,girls,restaurants that girls would like,female,4.33,"Food, Restaurants, American (Traditional), Gastropubs",2.0,3.0,Salty Sow
4,girls,restaurants that girls would like,female,4.07,"Seafood, American (Traditional), Barbeque, Restaurants, Steakhouses, American (New), Gluten-Free, Burgers",3.0,4.0,Bartlett's
5,girls,restaurants that girls would like,female,4.45,"Restaurants, Japanese, Gluten-Free, Sushi Bars",4.0,5.0,Uchiko
6,girls,restaurants that girls would like,female,4.39,"Japanese, Sushi Bars, Wine Bars, Bars, Nightlife, Food, Restaurants, Asian Fusion, Beer, Wine & Spirits, Cocktail Bars",4.0,6.0,Uchi
7,girls,restaurants that girls would like,female,4.15,"Restaurants, Italian",3.0,7.0,Vespaio Ristorante
8,girls,restaurants that girls would like,female,4.32,"Restaurants, Seafood, American (New), Nightlife, American (Traditional), Diners, Bars, Steakhouses",3,8.0,Odd Duck
9,girls,restaurants that girls would like,female,4.0,"Seafood, Restaurants",3.0,9.0,Clark's Oyster Bar
10,girls,restaurants that girls would like,female,4.03,"Pizza, Food, Breakfast & Brunch, Restaurants, Italian, Desserts",2,10.0,Enoteca Vespaio
11,girls,restaurants that girls would like,female,3.8,"Steakhouses, American (New), Restaurants, American (Traditional), Seafood, Modern European, Irish, Gastropubs, French",2.0,11.0,Parkside
12,girls,restaurants that girls would like,female,4.4,"Lounges, Jazz & Blues, Arts & Entertainment, Steakhouses, Seafood, Bars, Nightlife, Restaurants",3.0,12.0,Eddie V's Prime Seafood
13,girls,restaurants that girls would like,female,3.52,"Pizza, Breakfast & Brunch, Italian, Restaurants",2.0,13.0,Taverna
14,girls,restaurants that girls would like,female,3.44,"Restaurants, Bars, Nightlife, Mexican, Tacos",2.0,14.0,La Condesa
15,girls,restaurants that girls would like,female,4.07,"Pizza, Restaurants, Italian",2,15.0,La Traviata
16,girls,restaurants that girls would like,female,3.9,"Seafood, Breakfast & Brunch, Nightlife, Restaurants, Bars",3.0,16.0,Perla's
17,girls,restaurants that girls would like,female,4.09,"American (Traditional), Bars, Restaurants, Nightlife, Steakhouses",2.0,17.0,Roaring Fork
18,girls,restaurants that girls would like,female,3.53,"Vietnamese, Restaurants, Coffee & Tea, Bars, Bakeries, Nightlife, Breakfast & Brunch, French, Food",2.0,18.0,Elizabeth Street Cafe
19,girls,restaurants that girls would like,female,3.82,"Bars, Desserts, Nightlife, Restaurants, Asian Fusion, Wine Bars, Food, Cocktail Bars, Thai, Vegetarian",2.0,19.0,Sway
20,middle age women,restaurants that middle age women would like,female,4.07,"Seafood, American (Traditional), Barbeque, Restaurants, Steakhouses, American (New), Gluten-Free, Burgers",3.0,0.0,Bartlett's
21,middle age women,restaurants that middle age women would like,female,4.0,"Pizza, Italian, Venues & Event Spaces, Breakfast & Brunch, Event Planning & Services, Restaurants",2.0,1.0,North Italia
22,middle age women,restaurants that middle age women would like,female,4.32,"Restaurants, Seafood, American (New), Nightlife, American (Traditional), Diners, Bars, Steakhouses",3,2.0,Odd Duck
23,middle age women,restaurants that middle age women would like,female,3.99,"Restaurants, Steakhouses, American (New), American (Traditional)",2.0,3.0,Roaring Fork
24,middle age women,restaurants that middle age women would like,female,4.04,"Afghan, Breakfast & Brunch, Burgers, Bars, Restaurants, American (New), Cocktail Bars, Nightlife",2.0,4.0,South Congress Cafe
25,middle age women,restaurants that middle age women would like,female,4.0,"Seafood, Restaurants",3.0,5.0,Clark's Oyster Bar
26,middle age women,restaurants that middle age women would like,female,3.57,"Italian, Pizza, Bars, American (New), Nightlife, Wine Bars, Restaurants",2.0,6.0,The Grove Wine Bar & Kitchen
27,middle age women,restaurants that middle age women would like,female,3.82,"Nightlife, Bars, Breakfast & Brunch, Steakhouses, Seafood, Wine Bars, Restaurants, Food",3,7.0,Fleming's Prime Steakhouse & Wine Bar
28,middle age women,restaurants that middle age women would like,female,3.84,"Fondue, Salad, French, Cocktail Bars, Nightlife, Bars, Restaurants, American (New)",3.0,8.0,The Melting Pot
29,middle age women,restaurants that middle age women would like,female,3.37,"Asian Fusion, Sushi Bars, Hawaiian, Restaurants, American (New)",2.0,9.0,Kona Grill
30,middle age women,restaurants that middle age women would like,female,4.39,"Japanese, Sushi Bars, Wine Bars, Bars, Nightlife, Food, Restaurants, Asian Fusion, Beer, Wine & Spirits, Cocktail Bars",4.0,10.0,Uchi
31,middle age women,restaurants that middle age women would like,female,4.45,"Restaurants, Japanese, Gluten-Free, Sushi Bars",4.0,11.0,Uchiko
32,middle age women,restaurants that middle age women would like,female,4.33,"Food, Restaurants, American (Traditional), Gastropubs",2.0,12.0,Salty Sow
33,middle age women,restaurants that middle age women would like,female,3.52,"Pizza, Breakfast & Brunch, Italian, Restaurants",2.0,13.0,Taverna
34,middle age women,restaurants that middle age women would like,female,3.78,"Italian, Restaurants, American (New)",3.0,14.0,Olive & June
35,middle age women,restaurants that middle age women would like,female,3.77,"Restaurants, American (New), Bars, Nightlife, American (Traditional), Chicken Wings",2.0,15.0,Contigo
36,middle age women,restaurants that middle age women would like,female,4.15,"Italian, Restaurants, Pizza",2,16.0,Bufalina
37,middle age women,restaurants that middle age women would like,female,3.8,"Steakhouses, American (New), Restaurants, American (Traditional), Seafood, Modern European, Irish, Gastropubs, French",2.0,17.0,Parkside
38,middle age women,restaurants that middle age women would like,female,3.64,"Breakfast & Brunch, Food, Desserts, American (Traditional), Food Delivery Services, Restaurants, American (New)",2.0,18.0,Chez Zee American Bistro
39,middle age women,restaurants that middle age women would like,female,3.9,"Seafood, Nightlife, Wine Bars, Steakhouses, Bars, Restaurants",3.0,19.0,Fleming’s Prime Steakhouse & Wine Bar
40,old lady,restaurants that old lady would like,female,4.28,"Restaurants, French",3,0.0,Chez Nous
41,old lady,restaurants that old lady would like,female,3.68,"Sushi Bars, Noodles, Barbeque, Vietnamese, Restaurants, Korean",2,1.0,Korea House
42,old lady,restaurants that old lady would like,female,4.04,"Afghan, Breakfast & Brunch, Burgers, Bars, Restaurants, American (New), Cocktail Bars, Nightlife",2.0,2.0,South Congress Cafe
43,old lady,restaurants that old lady would like,female,4.13,"Thai, Restaurants, Seafood, Japanese",2.0,3.0,Titaya's Thai Cuisine
44,old lady,restaurants that old lady would like,female,4.07,"Seafood, American (Traditional), Barbeque, Restaurants, Steakhouses, American (New), Gluten-Free, Burgers",3.0,4.0,Bartlett's
45,old lady,restaurants that old lady would like,female,3.72,"Restaurants, Ethnic Food, Food, Chinese, Specialty Food, Barbeque",2.0,5.0,Din Ho Chinese BBQ
46,old lady,restaurants that old lady would like,female,3.92,"Restaurants, Chinese, Barbeque",2,6.0,First Chinese Barbecue
47,old lady,restaurants that old lady would like,female,4.24,"Korean, Restaurants",2.0,7.0,Korean Grill
48,old lady,restaurants that old lady would like,female,4.31,"Sushi Bars, Restaurants, Japanese, Asian Fusion",2.0,8.0,Midori Sushi
49,old lady,restaurants that old lady would like,female,3.82,"Restaurants, Seafood, Cajun/Creole",2.0,9.0,Pappadeaux Seafood Kitchen
