,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,girls,restaurants that girls would like,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
1,girls,restaurants that girls would like,female,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,1.0,Orinoco
2,girls,restaurants that girls would like,female,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,2.0,Helmand Restaurant
3,girls,restaurants that girls would like,female,3.55,"Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Bakeries",2.0,3.0,Tatte Bakery & Cafe
4,girls,restaurants that girls would like,female,3.46,"Arts & Entertainment, American (New), Nightlife, Comfort Food, Music Venues, Restaurants, Breakfast & Brunch",2.0,4.0,Beat Brasserie
5,girls,restaurants that girls would like,female,3.62,"Mediterranean, Restaurants, Greek",3.0,5.0,The Blue Room
6,girls,restaurants that girls would like,female,3.41,"Food, Breakfast & Brunch, Restaurants, Massage, American (New), Beauty & Spas, Desserts",3.0,6.0,Upstairs On the Square
7,girls,restaurants that girls would like,female,3.81,"Restaurants, Indian",2.0,7.0,The Maharaja
8,girls,restaurants that girls would like,female,3.53,"Spanish, Japanese, Tapas Bars, Restaurants",3.0,8.0,Pagu
9,girls,restaurants that girls would like,female,4.06,"Breakfast & Brunch, Food, Grocery, Bakeries, Middle Eastern, Restaurants",2.0,9.0,SOFRA Bakery & Cafe
10,girls,restaurants that girls would like,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,10.0,Grafton Street
11,girls,restaurants that girls would like,female,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,11.0,EVOO Restaurant
12,girls,restaurants that girls would like,female,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,12.0,Harvest
13,girls,restaurants that girls would like,female,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,13.0,Alden & Harlow
14,girls,restaurants that girls would like,female,3.53,"French, Cambodian, Restaurants",2.0,14.0,The Elephant Walk
15,girls,restaurants that girls would like,female,3.29,"Pakistani, Indian, Restaurants",2.0,15.0,Tamarind Bay
16,girls,restaurants that girls would like,female,4.11,"Lounges, Bars, Cocktail Bars, Wine Bars, Restaurants, Nightlife, Tapas Bars, Tapas/Small Plates",3.0,16.0,Cuchi Cuchi
17,girls,restaurants that girls would like,female,3.53,"Mexican, Restaurants",2.0,17.0,Olé
18,girls,restaurants that girls would like,female,3.96,"Italian, Restaurants",2.0,18.0,Toscano
19,girls,restaurants that girls would like,female,3.38,"French, Restaurants",3.0,19.0,Sandrine's
20,middle age women,restaurants that middle age women would like,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
21,middle age women,restaurants that middle age women would like,female,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,1.0,Alden & Harlow
22,middle age women,restaurants that middle age women would like,female,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,2.0,Orinoco
23,middle age women,restaurants that middle age women would like,female,3.94,"Tapas/Small Plates, Restaurants, Nightlife, Seafood, Bars",2.0,3.0,Little Donkey
24,middle age women,restaurants that middle age women would like,female,3.46,"Arts & Entertainment, American (New), Nightlife, Comfort Food, Music Venues, Restaurants, Breakfast & Brunch",2.0,4.0,Beat Brasserie
25,middle age women,restaurants that middle age women would like,female,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,5.0,Russell House Tavern
26,middle age women,restaurants that middle age women would like,female,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,6.0,Mamaleh's Delicatessen
27,middle age women,restaurants that middle age women would like,female,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,7.0,Area Four
28,middle age women,restaurants that middle age women would like,female,3.53,"Mexican, Restaurants",2.0,8.0,Olé
29,middle age women,restaurants that middle age women would like,female,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,9.0,Veggie Planet
30,middle age women,restaurants that middle age women would like,female,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,10.0,Helmand Restaurant
31,middle age women,restaurants that middle age women would like,female,3.9,"Seafood, Desserts, Barbeque, Food, Restaurants, Cocktail Bars, Breakfast & Brunch, Bars, Nightlife",2.0,11.0,East Coast Grill
32,middle age women,restaurants that middle age women would like,female,3.19,"Spanish, Nightlife, Bars, Wine Bars, Tapas Bars, Restaurants",2.0,12.0,Kika Tapas
33,middle age women,restaurants that middle age women would like,female,3.98,"Nightlife, French, Restaurants, American (New), Bars",3.0,13.0,West Bridge
34,middle age women,restaurants that middle age women would like,female,3.53,"Spanish, Japanese, Tapas Bars, Restaurants",3.0,14.0,Pagu
35,middle age women,restaurants that middle age women would like,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,15.0,Grafton Street
36,middle age women,restaurants that middle age women would like,female,3.81,"Restaurants, Indian",2.0,16.0,The Maharaja
37,middle age women,restaurants that middle age women would like,female,3.53,"French, Cambodian, Restaurants",2.0,17.0,The Elephant Walk
38,middle age women,restaurants that middle age women would like,female,3.29,"Pakistani, Indian, Restaurants",2.0,18.0,Tamarind Bay
39,middle age women,restaurants that middle age women would like,female,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,19.0,Muqueca Restaurant
40,old lady,restaurants that old lady would like,female,4.02,"Mediterranean, Food, Grocery, Restaurants",2.0,0.0,Moona
41,old lady,restaurants that old lady would like,female,3.59,"Seafood, Portuguese, Restaurants",2.0,1.0,Casa Portugal
42,old lady,restaurants that old lady would like,female,4.19,"Restaurants, Lebanese, Mediterranean, Event Planning & Services, Kebab, Caterers, Vegetarian, Middle Eastern",2.0,2.0,Cafe Barada
43,old lady,restaurants that old lady would like,female,3.22,"Cocktail Bars, Seafood, American (New), American (Traditional), Breakfast & Brunch, Restaurants, Sports Bars, Bars, Burgers, Nightlife",2.0,3.0,Summer Shack-  Cambridge
44,old lady,restaurants that old lady would like,female,3.59,"Italian, Restaurants, Bars, Middle Eastern, Mediterranean, Music Venues, American (New), Dance Clubs, Nightlife, Arts & Entertainment, Breakfast & Brunch",2.0,4.0,ZuZu
45,old lady,restaurants that old lady would like,female,3.51,"Restaurants, Portuguese, Event Planning & Services, Caterers",2.0,5.0,Portugalia
46,old lady,restaurants that old lady would like,female,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,6.0,The Red House
47,old lady,restaurants that old lady would like,female,3.76,"Moroccan, Salad, Mediterranean, Vegetarian, African, Restaurants, Middle Eastern",2.0,7.0,Baraka Cafe
48,old lady,restaurants that old lady would like,female,3.96,"Greek, Mediterranean, Restaurants",2.0,8.0,Greek Corner Restaurant
49,old lady,restaurants that old lady would like,female,3.94,"Greek, American (Traditional), Mediterranean, Restaurants",2.0,9.0,Desfina Restaurant
50,old lady,restaurants that old lady would like,female,4.01,"Breakfast & Brunch, Diners, Restaurants, Middle Eastern",1.0,10.0,Brookline Lunch
51,old lady,restaurants that old lady would like,female,4.35,"Moroccan, Mediterranean, Restaurants, Middle Eastern, Venues & Event Spaces, Event Planning & Services",2.0,11.0,Baraka
52,old lady,restaurants that old lady would like,female,3.36,"Breakfast & Brunch, Event Planning & Services, Diners, Sandwiches, Restaurants, American (Traditional), Caterers, Delis",2.0,12.0,S & S Restaurant
53,old lady,restaurants that old lady would like,female,4.03,"Food, Restaurants, Southern, Cajun/Creole, Desserts",2.0,13.0,Tupelo
54,old lady,restaurants that old lady would like,female,3.41,"Beer Gardens, Dive Bars, Bars, American (Traditional), Burgers, Karaoke, Nightlife, Restaurants",2.0,14.0,Charlie's Kitchen
55,old lady,restaurants that old lady would like,female,4.3,"Sports Bars, Restaurants, American (Traditional), Bars, Italian, Pubs, Nightlife",2.0,15.0,East Side Bar & Grille
56,old lady,restaurants that old lady would like,female,3.36,"Arts & Entertainment, Middle Eastern, Restaurants, Food, Bars, Nightlife, Music Venues",2.0,16.0,Middle East Restaurant and Nightclub
57,old lady,restaurants that old lady would like,female,3.45,"Restaurants, Portuguese, Spanish, Basque",2.0,17.0,Atasca
58,old lady,restaurants that old lady would like,female,3.74,"Asian Fusion, American (New), Restaurants, Breakfast & Brunch",3.0,18.0,Central Kitchen
59,old lady,restaurants that old lady would like,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,19.0,Oleana Restaurant
60,schoolgirls,restaurants that schoolgirls would like,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
61,schoolgirls,restaurants that schoolgirls would like,female,3.55,"Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Bakeries",2.0,1.0,Tatte Bakery & Cafe
62,schoolgirls,restaurants that schoolgirls would like,female,3.96,"Italian, Restaurants",2.0,2.0,Toscano
63,schoolgirls,restaurants that schoolgirls would like,female,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,3.0,The Red House
64,schoolgirls,restaurants that schoolgirls would like,female,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,4.0,Harvest
65,schoolgirls,restaurants that schoolgirls would like,female,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,5.0,Orinoco
66,schoolgirls,restaurants that schoolgirls would like,female,3.24,"Desserts, Restaurants, Bakeries, Food, American (New)",2.0,6.0,Finale
67,schoolgirls,restaurants that schoolgirls would like,female,3.41,"Food, Breakfast & Brunch, Restaurants, Massage, American (New), Beauty & Spas, Desserts",3.0,7.0,Upstairs On the Square
68,schoolgirls,restaurants that schoolgirls would like,female,3.62,"Mediterranean, Restaurants, Greek",3.0,8.0,The Blue Room
69,schoolgirls,restaurants that schoolgirls would like,female,3.91,"Restaurants, Food, Cafes, Bakeries, Juice Bars & Smoothies",2.0,9.0,Tatte Bakery & Cafe
70,schoolgirls,restaurants that schoolgirls would like,female,4.06,"Breakfast & Brunch, Food, Grocery, Bakeries, Middle Eastern, Restaurants",2.0,10.0,SOFRA Bakery & Cafe
71,schoolgirls,restaurants that schoolgirls would like,female,3.37,"Food, Gluten-Free, Coffee & Tea, Breakfast & Brunch, Restaurants",2.0,11.0,Bluestone Lane Harvard Square Café
72,schoolgirls,restaurants that schoolgirls would like,female,2.91,"Japanese, Restaurants, Asian Fusion",2.0,12.0,wagamama
73,schoolgirls,restaurants that schoolgirls would like,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,13.0,Grafton Street
74,schoolgirls,restaurants that schoolgirls would like,female,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,14.0,Henrietta's Table
75,schoolgirls,restaurants that schoolgirls would like,female,4.02,"Japanese, Restaurants, Sushi Bars",2.0,15.0,Cafe Sushi
76,schoolgirls,restaurants that schoolgirls would like,female,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,16.0,Muqueca Restaurant
77,schoolgirls,restaurants that schoolgirls would like,female,3.46,"Arts & Entertainment, American (New), Nightlife, Comfort Food, Music Venues, Restaurants, Breakfast & Brunch",2.0,17.0,Beat Brasserie
78,schoolgirls,restaurants that schoolgirls would like,female,3.38,"French, Restaurants",3.0,18.0,Sandrine's
79,schoolgirls,restaurants that schoolgirls would like,female,4.16,"Breakfast & Brunch, Restaurants, American (New), French",3.0,19.0,T.W. Food
80,young women,restaurants that young women would like,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
81,young women,restaurants that young women would like,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,1.0,Grafton Street
82,young women,restaurants that young women would like,female,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,2.0,Henrietta's Table
83,young women,restaurants that young women would like,female,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,3.0,Area Four
84,young women,restaurants that young women would like,female,3.46,"Arts & Entertainment, American (New), Nightlife, Comfort Food, Music Venues, Restaurants, Breakfast & Brunch",2.0,4.0,Beat Brasserie
85,young women,restaurants that young women would like,female,4.05,"Sandwiches, Desserts, Diners, Burgers, American (New), Gluten-Free, Restaurants, Breakfast & Brunch, Comfort Food, Vegan, Food, Vegetarian, Bakeries, American (Traditional)",2.0,5.0,Veggie Galaxy
86,young women,restaurants that young women would like,female,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,6.0,Alden & Harlow
87,young women,restaurants that young women would like,female,3.9,"American (New), Restaurants, Event Planning & Services, Nightlife, Bars, Venues & Event Spaces",2.0,7.0,Park Restaurant & Bar
88,young women,restaurants that young women would like,female,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,8.0,Mamaleh's Delicatessen
89,young women,restaurants that young women would like,female,3.41,"Food, Breakfast & Brunch, Restaurants, Massage, American (New), Beauty & Spas, Desserts",3.0,9.0,Upstairs On the Square
90,young women,restaurants that young women would like,female,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,10.0,EVOO Restaurant
91,young women,restaurants that young women would like,female,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,11.0,Russell House Tavern
92,young women,restaurants that young women would like,female,3.59,"Bars, Grocery, American (Traditional), CSA, Sandwiches, Restaurants, American (New), Food, Coffee & Tea, Nightlife, Event Planning & Services, Venues & Event Spaces, Specialty Food",2.0,12.0,Commonwealth Restaurant and Market
93,young women,restaurants that young women would like,female,4.18,"Food, Breakfast & Brunch, Sandwiches, American (New), Coffee & Tea, Restaurants",2.0,13.0,Café Luna
94,young women,restaurants that young women would like,female,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,14.0,Orinoco
95,young women,restaurants that young women would like,female,3.62,"Mediterranean, Restaurants, Greek",3.0,15.0,The Blue Room
96,young women,restaurants that young women would like,female,3.21,"Restaurants, Bars, American (Traditional), Food, Nightlife",2.0,16.0,Tory Row
97,young women,restaurants that young women would like,female,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,17.0,Veggie Planet
98,young women,restaurants that young women would like,female,3.98,"Nightlife, French, Restaurants, American (New), Bars",3.0,18.0,West Bridge
99,young women,restaurants that young women would like,female,3.55,"Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Bakeries",2.0,19.0,Tatte Bakery & Cafe
100,boys,restaurants that boys would like,male,3.59,"Bars, Grocery, American (Traditional), CSA, Sandwiches, Restaurants, American (New), Food, Coffee & Tea, Nightlife, Event Planning & Services, Venues & Event Spaces, Specialty Food",2.0,0.0,Commonwealth Restaurant and Market
101,boys,restaurants that boys would like,male,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,1.0,Area Four
102,boys,restaurants that boys would like,male,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,2.0,Grafton Street
103,boys,restaurants that boys would like,male,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,3.0,Henrietta's Table
104,boys,restaurants that boys would like,male,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,4.0,Russell House Tavern
105,boys,restaurants that boys would like,male,4.28,"Juice Bars & Smoothies, Restaurants, Gluten-Free, Food, Vegan, Vegetarian, Live/Raw Food",2.0,5.0,Life Alive
106,boys,restaurants that boys would like,male,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,6.0,Oleana Restaurant
107,boys,restaurants that boys would like,male,3.74,"Sandwiches, American (New), Restaurants, Burgers",3.0,7.0,EVOO Restaurant
108,boys,restaurants that boys would like,male,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,8.0,Alden & Harlow
109,boys,restaurants that boys would like,male,3.63,"Bars, Restaurants, Breakfast & Brunch, Fast Food, Nightlife, Diners",2.0,9.0,The Friendly Toast- Cambridge
110,boys,restaurants that boys would like,male,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,10.0,Veggie Planet
111,boys,restaurants that boys would like,male,3.53,"Spanish, Japanese, Tapas Bars, Restaurants",3.0,11.0,Pagu
112,boys,restaurants that boys would like,male,3.62,"Mediterranean, Restaurants, Greek",3.0,12.0,The Blue Room
113,boys,restaurants that boys would like,male,3.87,"Food, Delis, Kosher, Restaurants, Bagels",2.0,13.0,Mamaleh's Delicatessen
114,boys,restaurants that boys would like,male,3.89,"Latin American, Venezuelan, Salad, Food, Restaurants, Caribbean, Desserts",2.0,14.0,Orinoco
115,boys,restaurants that boys would like,male,3.55,"Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Bakeries",2.0,15.0,Tatte Bakery & Cafe
116,boys,restaurants that boys would like,male,3.88,"Cafes, Nightlife, Sandwiches, Salad, Breakfast & Brunch, Bars, Cocktail Bars, Restaurants",2.0,16.0,Shy Bird
117,boys,restaurants that boys would like,male,3.9,"Seafood, Desserts, Barbeque, Food, Restaurants, Cocktail Bars, Breakfast & Brunch, Bars, Nightlife",2.0,17.0,East Coast Grill
118,boys,restaurants that boys would like,male,4.05,"Sandwiches, Desserts, Diners, Burgers, American (New), Gluten-Free, Restaurants, Breakfast & Brunch, Comfort Food, Vegan, Food, Vegetarian, Bakeries, American (Traditional)",2.0,18.0,Veggie Galaxy
119,boys,restaurants that boys would like,male,3.46,"Arts & Entertainment, American (New), Nightlife, Comfort Food, Music Venues, Restaurants, Breakfast & Brunch",2.0,19.0,Beat Brasserie
120,middle age men,restaurants that middle age men would like,male,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,0.0,Russell House Tavern
121,middle age men,restaurants that middle age men would like,male,3.99,"American (Traditional), Restaurants, Breakfast & Brunch, American (New)",3.0,1.0,Alden & Harlow
122,middle age men,restaurants that middle age men would like,male,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,2.0,Grafton Street
123,middle age men,restaurants that middle age men would like,male,3.91,"Restaurants, Vegetarian, Vegan, Pizza",1.0,3.0,Veggie Planet
124,middle age men,restaurants that middle age men would like,male,3.97,"Food, Coffee & Tea, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch, Pizza, Cafes, Bakeries, Diners, Bars",2.0,4.0,Area Four
125,middle age men,restaurants that middle age men would like,male,3.36,"Breakfast & Brunch, Event Planning & Services, Diners, Sandwiches, Restaurants, American (Traditional), Caterers, Delis",2.0,5.0,S & S Restaurant
126,middle age men,restaurants that middle age men would like,male,3.9,"Seafood, Desserts, Barbeque, Food, Restaurants, Cocktail Bars, Breakfast & Brunch, Bars, Nightlife",2.0,6.0,East Coast Grill
127,middle age men,restaurants that middle age men would like,male,4.02,"American (New), Seafood, Bars, Restaurants, Nightlife",2.0,7.0,Waypoint
128,middle age men,restaurants that middle age men would like,male,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,8.0,Henrietta's Table
129,middle age men,restaurants that middle age men would like,male,3.36,"Mediterranean, Greek, Diners, Restaurants, American (Traditional), Breakfast & Brunch, Salad",2.0,9.0,Zoe's
