,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the school?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,0.0,Taco Bell
1,school,Where can I get food on my way to the school?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,1.0,McDonald's
2,school,Where can I get food on my way to the school?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,2.0,Starbucks
3,school,Where can I get food on my way to the school?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,3.0,McDonald's
4,school,Where can I get food on my way to the school?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,4.0,McDonald's
5,school,Where can I get food on my way to the school?,all,3.13,"Restaurants, Greek, Mediterranean",1.0,5.0,Apollo's Greek Kitchen
6,school,Where can I get food on my way to the school?,all,3.61,"Fast Food, Restaurants",1.0,6.0,Chick-fil-A
7,school,Where can I get food on my way to the school?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,7.0,Steak ’n Shake
8,school,Where can I get food on my way to the school?,all,1.94,"Fast Food, Mexican, Restaurants",1.0,8.0,Chipotle Mexican Grill
9,school,Where can I get food on my way to the school?,all,3.72,"Thai, Asian Fusion, Restaurants, Noodles, Vietnamese, Chinese",1.0,9.0,Pho Asian Noodle House & Grill
10,school,Where can I get food on my way to the school?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,10.0,Chick-fil-A
11,school,Where can I get food on my way to the school?,all,2.24,"Fast Food, Restaurants, Mexican",1.0,11.0,Chipotle Mexican Grill
12,school,Where can I get food on my way to the school?,all,3.2,"Bagels, Restaurants, Bakeries, Food",1.0,12.0,Einstein Bros Bagels
13,school,Where can I get food on my way to the school?,all,2.15,"American (Traditional), Burgers, American (New), Restaurants, Breakfast & Brunch",1.0,13.0,IHOP
14,school,Where can I get food on my way to the school?,all,3.02,"Fast Food, Restaurants",1.0,14.0,Chick-fil-A
15,school,Where can I get food on my way to the school?,all,3.78,"Restaurants, Food, Ethnic Food, Specialty Food, Vietnamese",1.0,15.0,Lan Viet Market
16,school,Where can I get food on my way to the school?,all,3.51,"Italian, Restaurants, Sandwiches, Pizza",1.0,16.0,Catfish Biff's Pizza & Subs
17,school,Where can I get food on my way to the school?,all,3.65,"Restaurants, Noodles, Chinese",1.0,17.0,Oodles Noodle & Dumpling Bar
18,school,Where can I get food on my way to the school?,all,1.44,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Burgers",1.0,18.0,Dairy Queen
19,school,Where can I get food on my way to the school?,all,2.27,"Restaurants, Mexican, Fast Food",1.0,19.0,Chipotle Mexican Grill
20,university,Where can I get food on my way to the university?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,0.0,Taco Bell
21,university,Where can I get food on my way to the university?,all,3.13,"Restaurants, Greek, Mediterranean",1.0,1.0,Apollo's Greek Kitchen
22,university,Where can I get food on my way to the university?,all,3.51,"Italian, Restaurants, Sandwiches, Pizza",1.0,2.0,Catfish Biff's Pizza & Subs
23,university,Where can I get food on my way to the university?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,3.0,McDonald's
24,university,Where can I get food on my way to the university?,all,2.24,"Fast Food, Restaurants, Mexican",1.0,4.0,Chipotle Mexican Grill
25,university,Where can I get food on my way to the university?,all,3.72,"Thai, Asian Fusion, Restaurants, Noodles, Vietnamese, Chinese",1.0,5.0,Pho Asian Noodle House & Grill
26,university,Where can I get food on my way to the university?,all,1.94,"Fast Food, Mexican, Restaurants",1.0,6.0,Chipotle Mexican Grill
27,university,Where can I get food on my way to the university?,all,3.8,"Chinese, Restaurants",1.0,7.0,Joy's Village
28,university,Where can I get food on my way to the university?,all,2.71,"Fast Food, Restaurants, Mexican",1.0,8.0,Chipotle Mexican Grill
29,university,Where can I get food on my way to the university?,all,3.05,"Restaurants, Chinese",1.0,9.0,Dragon One
30,university,Where can I get food on my way to the university?,all,3.33,"Restaurants, Chinese",1.0,10.0,Red Chili Asian Kitchen
31,university,Where can I get food on my way to the university?,all,3.93,"Soup, Noodles, Chinese, Restaurants",1.0,11.0,Chinese Beef Noodle Soup
32,university,Where can I get food on my way to the university?,all,2.27,"Restaurants, Mexican, Fast Food",1.0,12.0,Chipotle Mexican Grill
33,university,Where can I get food on my way to the university?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,13.0,McDonald's
34,university,Where can I get food on my way to the university?,all,2.87,"Mexican, Fast Food, Restaurants",1.0,14.0,Chipotle Mexican Grill
35,university,Where can I get food on my way to the university?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,15.0,McDonald's
36,university,Where can I get food on my way to the university?,all,3.66,"Restaurants, Food, Coffee & Tea",1.0,16.0,Starbucks
37,university,Where can I get food on my way to the university?,all,3.12,"Restaurants, Fast Food, Mexican",1.0,17.0,Chipotle Mexican Grill
38,university,Where can I get food on my way to the university?,all,4.07,"Restaurants, Bars, Middle Eastern, Lebanese, Hookah Bars, Nightlife",2.0,18.0,Midnight Hookah
39,university,Where can I get food on my way to the university?,all,3.61,"Bars, Hookah Bars, Coffee & Tea, Cafes, Juice Bars & Smoothies, Restaurants, American (Traditional), Chicken Wings, Internet Cafes, Fast Food, Nightlife, Food, American (New)",2.0,19.0,Mango's Cafe
40,law office,Where can I get food on my way to the law office?,all,1.28,"Restaurants, Coffee & Tea, Burgers, Fast Food, Food",1.0,0.0,McDonald's
41,law office,Where can I get food on my way to the law office?,all,1.32,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea",1.0,1.0,McDonald's
42,law office,Where can I get food on my way to the law office?,all,4.04,"Chicken Wings, Restaurants, Fast Food",1.0,2.0,Raising Cane's Chicken Fingers
43,law office,Where can I get food on my way to the law office?,all,1.88,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",1.0,3.0,McDonald's
44,law office,Where can I get food on my way to the law office?,all,3.2,"Bagels, Restaurants, Bakeries, Food",1.0,4.0,Einstein Bros Bagels
45,law office,Where can I get food on my way to the law office?,all,2.19,"Food, Chicken Wings, Restaurants, Fast Food, Soul Food",1.0,5.0,Popeyes Louisiana Kitchen
46,law office,Where can I get food on my way to the law office?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,6.0,Steak ’n Shake
47,law office,Where can I get food on my way to the law office?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,7.0,Taco Bell
48,law office,Where can I get food on my way to the law office?,all,3.56,"Bakeries, Bagels, Restaurants, Food",1.0,8.0,Block's Hot Bagels Deli & Bakery
49,law office,Where can I get food on my way to the law office?,all,2.24,"Fast Food, Restaurants, Mexican",1.0,9.0,Chipotle Mexican Grill
50,law office,Where can I get food on my way to the law office?,all,3.61,"Fast Food, Restaurants",1.0,10.0,Chick-fil-A
51,law office,Where can I get food on my way to the law office?,all,2.18,"Burgers, Diners, Fast Food, American (Traditional), Breakfast & Brunch, American (New), Restaurants",1.0,11.0,Steak ’n Shake
52,law office,Where can I get food on my way to the law office?,all,2.33,"Mexican, Fast Food, Restaurants",1.0,12.0,Chipotle Mexican Grill
53,law office,Where can I get food on my way to the law office?,all,2.27,"Restaurants, Mexican, Fast Food",1.0,13.0,Chipotle Mexican Grill
54,law office,Where can I get food on my way to the law office?,all,2.11,"Sandwiches, Restaurants, Salad, Soup",1.0,14.0,Panera Bread
55,law office,Where can I get food on my way to the law office?,all,3.8,"Food, Sandwiches, Coffee & Tea, Restaurants, Breakfast & Brunch, Bagels",1.0,15.0,Bruegger's Bagels
56,law office,Where can I get food on my way to the law office?,all,2.87,"Mexican, Fast Food, Restaurants",1.0,16.0,Chipotle Mexican Grill
57,law office,Where can I get food on my way to the law office?,all,3.02,"Food, Delis, Restaurants, Sandwiches, Bagels",1.0,17.0,Spinelli's Deli
58,law office,Where can I get food on my way to the law office?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,18.0,Chick-fil-A
59,law office,Where can I get food on my way to the law office?,all,1.94,"Fast Food, Mexican, Restaurants",1.0,19.0,Chipotle Mexican Grill
60,farm,Where can I get food on my way to the farm?,all,4.44,"American (Traditional), Restaurants, Comfort Food, Southern, Soul Food",2.0,0.0,Hot Chicken Takeover
61,farm,Where can I get food on my way to the farm?,all,4.38,"American (Traditional), Southern, Restaurants, Comfort Food",2.0,1.0,Hot Chicken Takeover
62,farm,Where can I get food on my way to the farm?,all,3.11,"Event Planning & Services, Caterers, Fast Food, Restaurants",1.0,2.0,Chick-fil-A
63,farm,Where can I get food on my way to the farm?,all,4.43,"Comfort Food, Restaurants, Southern, Chicken Shop, Chicken Wings",2.0,3.0,Hot Chicken Takeover
64,farm,Where can I get food on my way to the farm?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,4.0,Chick-fil-A
65,farm,Where can I get food on my way to the farm?,all,3.61,"Fast Food, Restaurants",1.0,5.0,Chick-fil-A
66,farm,Where can I get food on my way to the farm?,all,3.78,"Restaurants, Food, Ethnic Food, Specialty Food, Vietnamese",1.0,6.0,Lan Viet Market
67,farm,Where can I get food on my way to the farm?,all,4.62,"Breakfast & Brunch, Sandwiches, Waffles, Food, Restaurants",1.0,7.0,What the Waffle
68,farm,Where can I get food on my way to the farm?,all,4.08,"Creperies, Belgian, Restaurants, Coffee & Tea, Food, Breakfast & Brunch, Ethnic Food, Desserts, Specialty Food",1.0,8.0,Taste of Belgium - North Market
69,farm,Where can I get food on my way to the farm?,all,3.77,"Restaurants, Chicken Wings, Fast Food",1.0,9.0,Raising Cane's Chicken Fingers
70,farm,Where can I get food on my way to the farm?,all,3.46,"Food, Fast Food, Restaurants, Chicken Wings",1.0,10.0,Raising Cane's Chicken Fingers
71,farm,Where can I get food on my way to the farm?,all,4.04,"Chicken Wings, Restaurants, Fast Food",1.0,11.0,Raising Cane's Chicken Fingers
72,farm,Where can I get food on my way to the farm?,all,3.02,"Fast Food, Restaurants",1.0,12.0,Chick-fil-A
73,farm,Where can I get food on my way to the farm?,all,2.19,"Food, Chicken Wings, Restaurants, Fast Food, Soul Food",1.0,13.0,Popeyes Louisiana Kitchen
74,farm,Where can I get food on my way to the farm?,all,2.92,"Restaurants, Breakfast & Brunch, Diners, Comfort Food, American (Traditional)",1.0,14.0,Tee Jaye's Country Place
75,farm,Where can I get food on my way to the farm?,all,3.92,"Restaurants, Breakfast & Brunch, Fast Food, American (New)",2.0,15.0,Acre Farm-to-Table To-Go
76,farm,Where can I get food on my way to the farm?,all,4.14,"Sandwiches, Soup, Restaurants, Salad, Fast Food",2.0,16.0,Market 65
77,farm,Where can I get food on my way to the farm?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,17.0,Steak ’n Shake
78,farm,Where can I get food on my way to the farm?,all,3.65,"Italian, Restaurants, Chicken Wings, American (Traditional), Barbeque",1.0,18.0,Hoggy's Restaurant and Catering
79,farm,Where can I get food on my way to the farm?,all,3.8,"Southern, Breakfast & Brunch, Restaurants, American (New), Chicken Wings",1.0,19.0,Eddy's Chicken and Waffles
80,barbershop,Where can I get food on my way to the barbershop?,all,3.86,"Local Flavor, Bars, Lounges, American (Traditional), Restaurants, Nightlife",2.0,0.0,Tip Top Kitchen & Cocktails
81,barbershop,Where can I get food on my way to the barbershop?,all,4.04,"Chicken Wings, Restaurants, Fast Food",1.0,1.0,Raising Cane's Chicken Fingers
82,barbershop,Where can I get food on my way to the barbershop?,all,2.24,"Fast Food, Restaurants, Mexican",1.0,2.0,Chipotle Mexican Grill
83,barbershop,Where can I get food on my way to the barbershop?,all,3.94,"Hot Dogs, Restaurants, Bars, Vegetarian, Nightlife, Breakfast & Brunch",1.0,3.0,Dirty Frank's Hot Dog Palace
84,barbershop,Where can I get food on my way to the barbershop?,all,2.63,"Mexican, Breakfast & Brunch, Tacos, Bars, Soup, Restaurants, Nightlife, Sports Bars, Tex-Mex",1.0,4.0,Fuzzy's Taco Shop
85,barbershop,Where can I get food on my way to the barbershop?,all,3.12,"Mexican, American (New), Restaurants, Fast Food",1.0,5.0,Hot Head Burritos
86,barbershop,Where can I get food on my way to the barbershop?,all,2.87,"Mexican, Fast Food, Restaurants",1.0,6.0,Chipotle Mexican Grill
87,barbershop,Where can I get food on my way to the barbershop?,all,1.97,"Steakhouses, Diners, Burgers, American (Traditional), Restaurants, Breakfast & Brunch, Fast Food, American (New)",1.0,7.0,Steak ’n Shake
88,barbershop,Where can I get food on my way to the barbershop?,all,3.55,"Bakeries, Donuts, Breakfast & Brunch, Restaurants, Coffee & Tea, Food",1.0,8.0,Buckeye Donuts
89,barbershop,Where can I get food on my way to the barbershop?,all,3.74,"Restaurants, Indian, Pakistani",1.0,9.0,Khyber Market and Restaurant
90,barbershop,Where can I get food on my way to the barbershop?,all,2.8,"Mexican, Fast Food, Restaurants",1.0,10.0,Chipotle Mexican Grill
91,barbershop,Where can I get food on my way to the barbershop?,all,3.65,"Italian, Restaurants, Chicken Wings, American (Traditional), Barbeque",1.0,11.0,Hoggy's Restaurant and Catering
92,barbershop,Where can I get food on my way to the barbershop?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,12.0,Taco Bell
93,barbershop,Where can I get food on my way to the barbershop?,all,2.33,"Mexican, Fast Food, Restaurants",1.0,13.0,Chipotle Mexican Grill
94,barbershop,Where can I get food on my way to the barbershop?,all,4.05,"Arcades, Sports Bars, Nightlife, Restaurants, Chicken Wings, Pubs, Hot Dogs, Arts & Entertainment, American (New), Bars",2.0,14.0,Old Skool
95,barbershop,Where can I get food on my way to the barbershop?,all,3.46,"Food, Fast Food, Restaurants, Chicken Wings",1.0,15.0,Raising Cane's Chicken Fingers
96,barbershop,Where can I get food on my way to the barbershop?,all,3.53,"Pubs, Nightlife, Hot Dogs, Restaurants, American (Traditional), Comfort Food, Bars",1.0,16.0,Dirty Frank's West
97,barbershop,Where can I get food on my way to the barbershop?,all,3.55,"Fast Food, Event Planning & Services, Caterers, Restaurants",1.0,17.0,Chick-fil-A
98,barbershop,Where can I get food on my way to the barbershop?,all,3.77,"Restaurants, Chicken Wings, Fast Food",1.0,18.0,Raising Cane's Chicken Fingers
99,barbershop,Where can I get food on my way to the barbershop?,all,2.27,"Restaurants, Mexican, Fast Food",1.0,19.0,Chipotle Mexican Grill
100,dancing studio,Where can I get food on my way to the dancing studio?,all,2.21,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex, Mexican",1.0,0.0,Taco Bell
101,dancing studio,Where can I get food on my way to the dancing studio?,all,2.09,"Nightlife, Restaurants, Mexican, Bars, Dance Clubs",2.0,1.0,Park Street Cantina
102,dancing studio,Where can I get food on my way to the dancing studio?,all,3.8,"Chinese, Restaurants",1.0,2.0,Joy's Village
103,dancing studio,Where can I get food on my way to the dancing studio?,all,2.59,"Music Venues, Event Planning & Services, Restaurants, Adult Entertainment, Arts & Entertainment, Venues & Event Spaces, Nightlife, Casinos",2.0,3.0,Hollywood Casino Columbus
104,dancing studio,Where can I get food on my way to the dancing studio?,all,3.31,"American (Traditional), Restaurants, Sports Bars, Bars, Pizza, Nightlife",1.0,4.0,Hamptons on King
