,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,court,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
1,court,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
2,court,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
3,court,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
4,court,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
5,court,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
6,court,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
7,court,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
8,court,Where can I get food on my way to the [MASK]?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
9,court,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,9.0,Border Café
10,court,Where can I get food on my way to the [MASK]?,all,3.33,"Vietnamese, Restaurants",2.0,10.0,Le's Restaurant
11,court,Where can I get food on my way to the [MASK]?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,11.0,Genki Ya - Cambridge
12,court,Where can I get food on my way to the [MASK]?,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,12.0,Sugar & Spice
13,court,Where can I get food on my way to the [MASK]?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,13.0,Bon Me - One Kendall Square
14,court,Where can I get food on my way to the [MASK]?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,14.0,Flat Patties
15,court,Where can I get food on my way to the [MASK]?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,15.0,Spicies Cambridge
16,court,Where can I get food on my way to the [MASK]?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,16.0,Jose's Mexican Restaurant
17,court,Where can I get food on my way to the [MASK]?,all,3.73,"Mexican, Restaurants",1.0,17.0,El Jefe's Taqueria
18,court,Where can I get food on my way to the [MASK]?,all,3.43,"Restaurants, Mexican",1.0,18.0,Anna's Taqueria
19,court,Where can I get food on my way to the [MASK]?,all,1.78,"Restaurants, Pizza",1.0,19.0,Pizza Ring
20,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
21,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
22,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
23,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
24,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
25,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
26,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
27,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
28,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
29,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,9.0,Border Café
30,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.33,"Vietnamese, Restaurants",2.0,10.0,Le's Restaurant
31,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,11.0,Genki Ya - Cambridge
32,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,12.0,Sugar & Spice
33,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,13.0,Bon Me - One Kendall Square
34,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,14.0,Flat Patties
35,psychiatrist,Where can I get food on my way to the [MASK]?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,15.0,Spicies Cambridge
36,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,16.0,Jose's Mexican Restaurant
37,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.73,"Mexican, Restaurants",1.0,17.0,El Jefe's Taqueria
38,psychiatrist,Where can I get food on my way to the [MASK]?,all,3.43,"Restaurants, Mexican",1.0,18.0,Anna's Taqueria
39,psychiatrist,Where can I get food on my way to the [MASK]?,all,1.78,"Restaurants, Pizza",1.0,19.0,Pizza Ring
40,museum,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
41,museum,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
42,museum,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
43,museum,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
44,museum,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
45,museum,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
46,museum,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
47,museum,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
48,museum,Where can I get food on my way to the [MASK]?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
49,museum,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,9.0,Border Café
50,museum,Where can I get food on my way to the [MASK]?,all,3.33,"Vietnamese, Restaurants",2.0,10.0,Le's Restaurant
51,museum,Where can I get food on my way to the [MASK]?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,11.0,Genki Ya - Cambridge
52,museum,Where can I get food on my way to the [MASK]?,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,12.0,Sugar & Spice
53,museum,Where can I get food on my way to the [MASK]?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,13.0,Bon Me - One Kendall Square
54,museum,Where can I get food on my way to the [MASK]?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,14.0,Flat Patties
55,museum,Where can I get food on my way to the [MASK]?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,15.0,Spicies Cambridge
56,museum,Where can I get food on my way to the [MASK]?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,16.0,Jose's Mexican Restaurant
57,museum,Where can I get food on my way to the [MASK]?,all,3.73,"Mexican, Restaurants",1.0,17.0,El Jefe's Taqueria
58,museum,Where can I get food on my way to the [MASK]?,all,3.43,"Restaurants, Mexican",1.0,18.0,Anna's Taqueria
59,museum,Where can I get food on my way to the [MASK]?,all,1.78,"Restaurants, Pizza",1.0,19.0,Pizza Ring
60,bar,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
61,bar,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
62,bar,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
63,bar,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
64,bar,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
65,bar,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
66,bar,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
67,bar,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
68,bar,Where can I get food on my way to the [MASK]?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
69,bar,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,9.0,Border Café
70,bar,Where can I get food on my way to the [MASK]?,all,3.33,"Vietnamese, Restaurants",2.0,10.0,Le's Restaurant
71,bar,Where can I get food on my way to the [MASK]?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,11.0,Genki Ya - Cambridge
72,bar,Where can I get food on my way to the [MASK]?,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,12.0,Sugar & Spice
73,bar,Where can I get food on my way to the [MASK]?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,13.0,Bon Me - One Kendall Square
74,bar,Where can I get food on my way to the [MASK]?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,14.0,Flat Patties
75,bar,Where can I get food on my way to the [MASK]?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,15.0,Spicies Cambridge
76,bar,Where can I get food on my way to the [MASK]?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,16.0,Jose's Mexican Restaurant
77,bar,Where can I get food on my way to the [MASK]?,all,3.73,"Mexican, Restaurants",1.0,17.0,El Jefe's Taqueria
78,bar,Where can I get food on my way to the [MASK]?,all,3.43,"Restaurants, Mexican",1.0,18.0,Anna's Taqueria
79,bar,Where can I get food on my way to the [MASK]?,all,1.78,"Restaurants, Pizza",1.0,19.0,Pizza Ring
80,private school,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
81,private school,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
82,private school,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
83,private school,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
84,private school,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
85,private school,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
86,private school,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
87,private school,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
