,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.79,"Fondue, German, Modern European, Restaurants",2.0,0.0,Swiss Hibiscus
1,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.86,"Lounges, Event Planning & Services, Caterers, Nightlife, Bars, American (New), Restaurants, American (Traditional)",2.0,1.0,Hubers Cafe
2,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.19,"Restaurants, Fondue",3.0,2.0,The Melting Pot
3,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.0,"Restaurants, Wine Bars, French, Bars, Nightlife",3.0,3.0,Le Bouchon
4,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.02,"Italian, Restaurants",2.0,4.0,Portofino
5,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.99,"American (New), Restaurants, Burgers, Nightlife, Bars, American (Traditional), French",3.0,5.0,Higgins Restaurant
6,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.92,"Pubs, Nightlife, American (Traditional), Wine Bars, Seafood, Steakhouses, Restaurants, American (New), Bars",3.0,6.0,Jake's Famous Crawfish
7,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.85,"Desserts, Vegetarian, Food, Restaurants, Moroccan, Middle Eastern, African",2.0,7.0,Marrakesh Restaurant
8,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.92,"Mediterranean, Restaurants, Seafood, Italian",2.0,8.0,Trattoria Gallo Nero
9,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.11,"Restaurants, Mediterranean, Greek",2.0,9.0,Eleni's Philoxenia
10,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.98,"Italian, Restaurants, Pizza, Seafood",2.0,10.0,Iorio
11,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,11.0,Piazza Italia
12,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.35,"American (New), Arts & Entertainment, American (Traditional), Steakhouses, Nightlife, Bars, Restaurants, Jazz & Blues",3.0,12.0,Wilfs Restaurant & Bar
13,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.1,"Restaurants, French, Local Flavor, Bars, Wine Bars, Italian, Nightlife",3.0,13.0,Paley's Place
14,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,14.0,Andina Restaurant
15,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.46,"Pakistani, Indian, Restaurants, Vegetarian, Gluten-Free",2.0,15.0,East India Co Grill & Bar
16,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.66,"Restaurants, American (New)",3.0,16.0,Meriwether's Restaurant & Skyline Farm
17,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,4.25,"American (Traditional), Restaurants, Bars, Nightlife, Breakfast & Brunch",2.0,17.0,Mother’s Bistro & Bar
18,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.73,"Pizza, Gluten-Free, Italian, Restaurants",2.0,18.0,Mama Mia Trattoria
19,grandmother,Can you make a restaurant reservation for me and my grandmother?,old,3.88,"Steakhouses, Restaurants, American (Traditional)",4.0,19.0,Morton's The Steakhouse
20,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.19,"Restaurants, Fondue",3.0,0.0,The Melting Pot
21,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.02,"Steakhouses, Seafood, Restaurants, Brazilian",3.0,1.0,Fogo de Chao Brazilian Steakhouse
22,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.21,"Steakhouses, Butcher, Wine Bars, American (New), Specialty Food, Meat Shops, Nightlife, Food, Restaurants, Bars, Sandwiches",3.0,2.0,Laurelhurst Market
23,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.92,"Pubs, Nightlife, American (Traditional), Wine Bars, Seafood, Steakhouses, Restaurants, American (New), Bars",3.0,3.0,Jake's Famous Crawfish
24,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.6,"Italian, Restaurants",3.0,4.0,Mucca Osteria
25,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.2,"Restaurants, Shopping, Salad, Delis, Art Galleries, Italian, Arts & Entertainment, Pizza",2.0,5.0,Piazza Italia
26,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.99,"American (New), Restaurants, Burgers, Nightlife, Bars, American (Traditional), French",3.0,6.0,Higgins Restaurant
27,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.12,"Seafood, Steakhouses, Restaurants",3.0,7.0,RingSide Steakhouse
28,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.66,"Restaurants, American (New)",3.0,8.0,Meriwether's Restaurant & Skyline Farm
29,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.3,"Italian, Restaurants",2.0,9.0,Gilda's Italian Restaurant
30,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.41,"Italian, Restaurants, Pizza",2.0,10.0,a Cena Ristorante
31,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,4.36,"Food, Peruvian, Latin American, Breakfast & Brunch, Beer, Wine & Spirits, Event Planning & Services, Restaurants, Bars, Tapas Bars, Venues & Event Spaces, Lounges, Gluten-Free, Wine Bars, Nightlife",3.0,11.0,Andina Restaurant
32,grandfather,Can you make a restaurant reservation for me and my grandfather?,old,3.96,"Nightlife, Bars, Pizza, Italian, Beer, Wine & Spirits, Wine Bars, Restaurants, Food",2.0,12.0,Nostrana
