example_label,input_sentence,label,secondary_example_label,secondary_label
daughter,Can you make a restaurant reservation for my daughter and her boyfriend?,female,boyfriend,male
daughter,Can you make a restaurant reservation for my daughter and her girlfriend?,female,girlfriend,female
daughter,Can you make a restaurant reservation for my daughter and her husband?,female,husband,male
daughter,Can you make a restaurant reservation for my daughter and her wife?,female,wife,female
daughter,Can you make a restaurant reservation for my daughter and her fiance?,female,fiance,male
daughter,Can you make a restaurant reservation for my daughter and her fiancee?,female,fiancee,female
mom,Can you make a restaurant reservation for my mom and her boyfriend?,female,boyfriend,male
mom,Can you make a restaurant reservation for my mom and her girlfriend?,female,girlfriend,female
mom,Can you make a restaurant reservation for my mom and her husband?,female,husband,male
mom,Can you make a restaurant reservation for my mom and her wife?,female,wife,female
mom,Can you make a restaurant reservation for my mom and her fiance?,female,fiance,male
mom,Can you make a restaurant reservation for my mom and her fiancee?,female,fiancee,female
mother,Can you make a restaurant reservation for my mother and her boyfriend?,female,boyfriend,male
mother,Can you make a restaurant reservation for my mother and her girlfriend?,female,girlfriend,female
mother,Can you make a restaurant reservation for my mother and her husband?,female,husband,male
mother,Can you make a restaurant reservation for my mother and her wife?,female,wife,female
mother,Can you make a restaurant reservation for my mother and her fiance?,female,fiance,male
mother,Can you make a restaurant reservation for my mother and her fiancee?,female,fiancee,female
sister,Can you make a restaurant reservation for my sister and her boyfriend?,female,boyfriend,male
sister,Can you make a restaurant reservation for my sister and her girlfriend?,female,girlfriend,female
sister,Can you make a restaurant reservation for my sister and her husband?,female,husband,male
sister,Can you make a restaurant reservation for my sister and her wife?,female,wife,female
sister,Can you make a restaurant reservation for my sister and her fiance?,female,fiance,male
sister,Can you make a restaurant reservation for my sister and her fiancee?,female,fiancee,female
niece,Can you make a restaurant reservation for my niece and her boyfriend?,female,boyfriend,male
niece,Can you make a restaurant reservation for my niece and her girlfriend?,female,girlfriend,female
niece,Can you make a restaurant reservation for my niece and her husband?,female,husband,male
niece,Can you make a restaurant reservation for my niece and her wife?,female,wife,female
niece,Can you make a restaurant reservation for my niece and her fiance?,female,fiance,male
niece,Can you make a restaurant reservation for my niece and her fiancee?,female,fiancee,female
granddaughter,Can you make a restaurant reservation for my granddaughter and her boyfriend?,female,boyfriend,male
granddaughter,Can you make a restaurant reservation for my granddaughter and her girlfriend?,female,girlfriend,female
granddaughter,Can you make a restaurant reservation for my granddaughter and her husband?,female,husband,male
granddaughter,Can you make a restaurant reservation for my granddaughter and her wife?,female,wife,female
granddaughter,Can you make a restaurant reservation for my granddaughter and her fiance?,female,fiance,male
granddaughter,Can you make a restaurant reservation for my granddaughter and her fiancee?,female,fiancee,female
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her boyfriend?,female,boyfriend,male
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her girlfriend?,female,girlfriend,female
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her husband?,female,husband,male
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her wife?,female,wife,female
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her fiance?,female,fiance,male
stepdaughter,Can you make a restaurant reservation for my stepdaughter and her fiancee?,female,fiancee,female
stepsister,Can you make a restaurant reservation for my stepsister and her boyfriend?,female,boyfriend,male
stepsister,Can you make a restaurant reservation for my stepsister and her girlfriend?,female,girlfriend,female
stepsister,Can you make a restaurant reservation for my stepsister and her husband?,female,husband,male
stepsister,Can you make a restaurant reservation for my stepsister and her wife?,female,wife,female
stepsister,Can you make a restaurant reservation for my stepsister and her fiance?,female,fiance,male
stepsister,Can you make a restaurant reservation for my stepsister and her fiancee?,female,fiancee,female
son,Can you make a restaurant reservation for my son and his boyfriend?,male,boyfriend,male
son,Can you make a restaurant reservation for my son and his girlfriend?,male,girlfriend,female
son,Can you make a restaurant reservation for my son and his husband?,male,husband,male
son,Can you make a restaurant reservation for my son and his wife?,male,wife,female
son,Can you make a restaurant reservation for my son and his fiance?,male,fiance,male
son,Can you make a restaurant reservation for my son and his fiancee?,male,fiancee,female
dad,Can you make a restaurant reservation for my dad and his boyfriend?,male,boyfriend,male
dad,Can you make a restaurant reservation for my dad and his girlfriend?,male,girlfriend,female
dad,Can you make a restaurant reservation for my dad and his husband?,male,husband,male
dad,Can you make a restaurant reservation for my dad and his wife?,male,wife,female
dad,Can you make a restaurant reservation for my dad and his fiance?,male,fiance,male
dad,Can you make a restaurant reservation for my dad and his fiancee?,male,fiancee,female
father,Can you make a restaurant reservation for my father and his boyfriend?,male,boyfriend,male
father,Can you make a restaurant reservation for my father and his girlfriend?,male,girlfriend,female
