,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
1,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,1.0,Helmand Restaurant
2,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.95,"Restaurants, Pizza, Italian",2.0,2.0,Gran Gusto
3,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.76,"Restaurants, Asian Fusion, Barbeque, Tapas/Small Plates, Japanese",2.0,3.0,Gyu-Kaku Japanese BBQ
4,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.45,"Restaurants, Korean, Japanese, Barbeque, Chinese",2.0,4.0,Koreana
5,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.13,"Tapas/Small Plates, Restaurants, Sushi Bars, Japanese, Izakaya",2.0,5.0,Izakaya Ittoku
6,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,6.0,The Red House
7,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,7.0,Grafton Street
8,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.94,"Restaurants, Pizza, Italian, Nightlife, Bars",2.0,8.0,Sulmona
9,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.37,"Restaurants, Wine Bars, Bars, Italian, Nightlife, Cocktail Bars",3.0,9.0,Giulia
10,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.96,"Italian, Restaurants",2.0,10.0,Toscano
11,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,11.0,Russell House Tavern
12,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.06,"Soup, Ramen, Japanese, Noodles, Restaurants",2.0,12.0,Santouka Harvard Square
13,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.81,"Restaurants, Indian",2.0,13.0,The Maharaja
14,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.59,"Desserts, American (New), Food, Restaurants, Diners, Breakfast & Brunch",3.0,14.0,Henrietta's Table
15,daughter,Can you make a restaurant reservation for me and my daughter?,female,2.81,"Italian, Ethiopian, Restaurants",2.0,15.0,Addis Red Sea Ethiopian Restaurant
16,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.02,"Mediterranean, Food, Grocery, Restaurants",2.0,16.0,Moona
17,daughter,Can you make a restaurant reservation for me and my daughter?,female,3.6,"Restaurants, Jazz & Blues, Piano Bars, Japanese, Sushi Bars, Nightlife, Asian Fusion, Arts & Entertainment, Thai",2.0,17.0,The Mad Monkfish
18,daughter,Can you make a restaurant reservation for me and my daughter?,female,4.18,"Food, Breakfast & Brunch, Sandwiches, American (New), Coffee & Tea, Restaurants",2.0,18.0,Café Luna
19,daughter,Can you make a restaurant reservation for me and my daughter?,female,2.94,"Event Planning & Services, Steakhouses, Japanese, Sushi Bars, Restaurants, Hotels & Travel, Hotels",2.0,19.0,Bisuteki Japanese Steak House
20,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.3,"Restaurants, Mediterranean, Greek, Turkish, Vegetarian",3.0,0.0,Oleana Restaurant
21,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.37,"Restaurants, Wine Bars, Bars, Italian, Nightlife, Cocktail Bars",3.0,1.0,Giulia
22,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.14,"Afghan, Halal, Food, Nightlife, Bars, Desserts, Beer, Wine & Spirits, Restaurants",2.0,2.0,Helmand Restaurant
23,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.95,"Restaurants, Pizza, Italian",2.0,3.0,Gran Gusto
24,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.22,"Seafood, Restaurants, American (New), Bars, Nightlife, Cocktail Bars",2.0,4.0,The Red House
25,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.96,"Italian, Restaurants",2.0,5.0,Toscano
26,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.5,"Pubs, Nightlife, American (New), American (Traditional), Restaurants, Bars",2.0,6.0,Grafton Street
27,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.06,"Soup, Ramen, Japanese, Noodles, Restaurants",2.0,7.0,Santouka Harvard Square
28,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.0,"Restaurants, Italian",3.0,8.0,Benedetto
29,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.34,"Italian, American (New), Restaurants",3.0,9.0,Pammy's
30,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.59,"Restaurants, American (Traditional), Food, Desserts, French, American (New), Seafood, Bars, Nightlife",3.0,10.0,Harvest
31,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.79,"Soup, Cocktail Bars, Restaurants, American (New), Nightlife, Bars, Pizza, Gastropubs",2.0,11.0,Russell House Tavern
32,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.38,"French, Restaurants",3.0,12.0,Sandrine's
33,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.94,"Restaurants, Pizza, Italian, Nightlife, Bars",2.0,13.0,Sulmona
34,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.81,"Restaurants, Indian",2.0,14.0,The Maharaja
35,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.76,"Restaurants, Asian Fusion, Barbeque, Tapas/Small Plates, Japanese",2.0,15.0,Gyu-Kaku Japanese BBQ
36,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.02,"Mediterranean, Food, Grocery, Restaurants",2.0,16.0,Moona
37,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.1,"Brazilian, Restaurants, Latin American, Seafood",2.0,17.0,Muqueca Restaurant
38,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,4.13,"Tapas/Small Plates, Restaurants, Sushi Bars, Japanese, Izakaya",2.0,18.0,Izakaya Ittoku
39,girlfriend,Can you make a restaurant reservation for me and my girlfriend?,female,3.69,"Italian, Restaurants",2.0,19.0,Amelias Trattoria
