,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.22,"Nightlife, Seafood, Wine Bars, Bars, Restaurants, Italian",2.0,0.0,Giacomo's Ristorante - Boston
1,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.95,"Restaurants, Italian",2.0,1.0,Cantina Italiana
2,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.86,"Pasta Shops, Seafood, Bars, Nightlife, Specialty Food, Wine Bars, Italian, Food, Restaurants",2.0,2.0,Giacomo's
3,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.4,"Wine Bars, Food, Italian, Restaurants, Nightlife, Coffee & Tea, Bars",2.0,3.0,L'Osteria
4,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.44,"Brazilian, Breakfast & Brunch, Italian, Restaurants",2.0,4.0,Theo's Cozy Corner
5,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.68,"Wine Bars, Nightlife, Bars, Restaurants, Italian",2.0,5.0,Lucia Ristorante
6,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.02,"Italian, Restaurants",2.0,6.0,D'Parma Restaurant
7,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.05,"Food, Bakeries, Salad, Italian, Seafood, Restaurants",2.0,7.0,Al Dente Restaurant
8,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.6,"Restaurants, Italian",2.0,8.0,Assaggio
9,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.26,"Restaurants, Italian",2.0,9.0,Tony & Elaine’s
10,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.84,"Bars, Restaurants, Salad, Italian, Wine Bars, Nightlife",2.0,10.0,Panza
11,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.47,"Italian, Nightlife, Bars, Seafood, Restaurants, Wine Bars",2.0,11.0,Loconte's Italian Cuisine
12,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.01,"Beer, Wine & Spirits, Restaurants, Wine Bars, Nightlife, Food, Italian, Bars",2.0,12.0,Limoncello Ristorante
13,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.95,"Pizza, Italian, Restaurants, Pasta Shops, Organic Stores, Cocktail Bars, Nightlife, Specialty Food, Bars, Food, Gluten-Free",2.0,13.0,La Famiglia Giorgio's
14,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.65,"Pizza, Gluten-Free, Italian, American (New), Restaurants",2.0,14.0,Antico Forno
15,Catholic church,restaurants that I would like on my way to the Catholic church,all,3.83,"Bars, Wine Bars, Food, Restaurants, Vegetarian, Italian, Cafes, Nightlife, Desserts",3.0,15.0,Stella
16,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.0,"Bars, Italian, Nightlife, Restaurants, Salad",2.0,16.0,Anchovies
17,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.36,"Bakeries, Delis, Restaurants, Italian, Food",2.0,17.0,Domenic's
18,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.21,"Italian, Restaurants, Delis",2.0,18.0,Dino's
19,Catholic church,restaurants that I would like on my way to the Catholic church,all,4.27,"Pizza, Italian, Restaurants",2.0,19.0,Italian Express Pizzeria
20,Christian church,restaurants that I would like on my way to the Christian church,all,4.05,"Thai, Seafood, Vietnamese, Restaurants",2.0,0.0,Pho Basil
21,Christian church,restaurants that I would like on my way to the Christian church,all,3.53,"Restaurants, Chinese, Malaysian, Thai",2.0,1.0,Penang
22,Christian church,restaurants that I would like on my way to the Christian church,all,4.16,"Vietnamese, Food, Noodles, Juice Bars & Smoothies, Local Services, Restaurants",1.0,2.0,Pho Viet's
23,Christian church,restaurants that I would like on my way to the Christian church,all,4.44,"Brazilian, Breakfast & Brunch, Italian, Restaurants",2.0,3.0,Theo's Cozy Corner
24,Christian church,restaurants that I would like on my way to the Christian church,all,3.98,"Restaurants, Vietnamese",2.0,4.0,Pho Common
25,Christian church,restaurants that I would like on my way to the Christian church,all,4.1,"Beer, Wine & Spirits, Japanese, Sushi Bars, Restaurants, Food",2.0,5.0,Irashai Sushi and Teriyaki
26,Christian church,restaurants that I would like on my way to the Christian church,all,4.29,"Vietnamese, Restaurants",1.0,6.0,New Saigon
27,Christian church,restaurants that I would like on my way to the Christian church,all,4.1,"Asian Fusion, Restaurants, Vietnamese, Thai",2.0,7.0,Beantown Pho & Grill
28,Christian church,restaurants that I would like on my way to the Christian church,all,4.07,"Restaurants, Thai",1.0,8.0,Rod Thai Family Taste
29,Christian church,restaurants that I would like on my way to the Christian church,all,3.97,"Vietnamese, Restaurants",1.0,9.0,Saigon Hut
30,Christian church,restaurants that I would like on my way to the Christian church,all,3.23,"Food, Vegan, Thai, Vietnamese, Restaurants, Desserts",2.0,10.0,Pho & I
31,Christian church,restaurants that I would like on my way to the Christian church,all,4.44,"Fast Food, American (New), Burgers, Restaurants, Specialty Food, Breakfast & Brunch, Sandwiches, Food, Coffee & Tea",2.0,11.0,Wheelhouse
32,Christian church,restaurants that I would like on my way to the Christian church,all,4.33,"Restaurants, American (New), Asian Fusion",2.0,12.0,Moonshine 152
33,Christian church,restaurants that I would like on my way to the Christian church,all,3.52,"Restaurants, Puerto Rican, Caribbean, Food, Beer, Wine & Spirits, Latin American",2.0,13.0,Vejigantes
34,Christian church,restaurants that I would like on my way to the Christian church,all,3.62,"Thai, Restaurants",2.0,14.0,Equator Thai Restaurant
35,Christian church,restaurants that I would like on my way to the Christian church,all,3.26,"Restaurants, Desserts, Japanese, Food, Noodles, Asian Fusion, Ramen",2.0,15.0,wagamama - prudential
36,Christian church,restaurants that I would like on my way to the Christian church,all,4.23,"Buffets, Restaurants, Indian, Pakistani, Vegetarian",2.0,16.0,Vaisakhi Indian Kitchen
