,example_label,input_sentence,label,avg_stars,categories,price,rank,recommended_item
0,school,Where can I get food on my way to the [MASK]?,all,3.39,"Food, Asian Fusion, Restaurants, Food Trucks, Food Stands",1.0,0.0,Saté Grill-on-Wheels
1,school,Where can I get food on my way to the [MASK]?,all,3.33,"Tex-Mex, Breakfast & Brunch, Soul Food, Mexican, Restaurants",1.0,1.0,Beantown Taqueria
2,school,Where can I get food on my way to the [MASK]?,all,3.65,"Mexican, Restaurants",1.0,2.0,Felipe's Taqueria
3,school,Where can I get food on my way to the [MASK]?,all,3.9,"Restaurants, Thai",1.0,3.0,Rod Dee
4,school,Where can I get food on my way to the [MASK]?,all,2.86,"Sandwiches, Coffee & Tea, Food, Pizza, Restaurants",1.0,4.0,Anthony's Pizza
5,school,Where can I get food on my way to the [MASK]?,all,3.45,"Breakfast & Brunch, Restaurants, Mexican, Beer, Wine & Spirits, Food, Diners",1.0,5.0,Mass Ave Diner
6,school,Where can I get food on my way to the [MASK]?,all,2.11,"Italian, Mediterranean, Restaurants, Pizza",1.0,6.0,Cafe Dilara
7,school,Where can I get food on my way to the [MASK]?,all,3.87,"Pizza, Coffee & Tea, Desserts, Restaurants, Food, Sandwiches",1.0,7.0,OggiGourmet
8,school,Where can I get food on my way to the [MASK]?,all,3.08,"American (Traditional), Nightlife, Bars, Burgers, Restaurants",1.0,8.0,Tasty Burger
9,school,Where can I get food on my way to the [MASK]?,all,3.8,"Restaurants, Cajun/Creole, Tex-Mex, Mexican",2.0,9.0,Border Café
10,school,Where can I get food on my way to the [MASK]?,all,3.33,"Vietnamese, Restaurants",2.0,10.0,Le's Restaurant
11,school,Where can I get food on my way to the [MASK]?,all,3.64,"Seafood, Restaurants, Sushi Bars, Japanese",2.0,11.0,Genki Ya - Cambridge
12,school,Where can I get food on my way to the [MASK]?,all,3.75,"Event Planning & Services, Chinese, Caterers, Thai, Restaurants, Noodles, Vegan, Gluten-Free",2.0,12.0,Sugar & Spice
13,school,Where can I get food on my way to the [MASK]?,all,3.7,"Food, Restaurants, Food Trucks, Noodles, Asian Fusion, Vietnamese, Salad",1.0,13.0,Bon Me - One Kendall Square
14,school,Where can I get food on my way to the [MASK]?,all,3.56,"Restaurants, American (Traditional), Burgers, American (New)",1.0,14.0,Flat Patties
15,school,Where can I get food on my way to the [MASK]?,all,2.98,"Thai, Restaurants, Salad, Asian Fusion, Noodles",2.0,15.0,Spicies Cambridge
16,school,Where can I get food on my way to the [MASK]?,all,3.41,"Restaurants, Food, Caterers, Event Planning & Services, Mexican",2.0,16.0,Jose's Mexican Restaurant
17,school,Where can I get food on my way to the [MASK]?,all,3.73,"Mexican, Restaurants",1.0,17.0,El Jefe's Taqueria
